TF	binding_mass	weighted_mass	n_targets	log2_weight_change	top_cluster	top_organ	atlas_informed	symbol
AT1G45249	934.5	842.8877	1869	-0.1487		(not in atlas set)	False	ABF2
AT1G46264	61.5	54.7931	123	-0.1638		(not in atlas set)	False	AT-HSFB4
AT1G47655	1452.0252	1322.3558	2874	-0.1349		(not in atlas set)	False	
AT1G47870	13.0	12.1684	26	-0.0883		(not in atlas set)	False	ATE2F2
AT1G49010	1729.3973	1582.1845	3410	-0.1283		(not in atlas set)	False	
AT1G49560	1611.6294	1492.9313	3241	-0.1103		(not in atlas set)	False	
AT1G50640	1611.8803	1482.0099	3155	-0.1211		(not in atlas set)	False	ATERF3
AT1G51220	1322.8642	1202.7162	2709	-0.1373		(not in atlas set)	False	AtWIP5
AT1G51600	97.0	87.0523	194	-0.1544		(not in atlas set)	False	GATA28
AT1G51700	1403.6974	1284.7435	2798	-0.1277		(not in atlas set)	False	ADOF1
AT1G52150	1284.5	1134.6447	2569	-0.1788		(not in atlas set)	False	ATHB-15
AT1G52880	1577.8891	1365.7681	3182	-0.2081		(not in atlas set)	False	ANAC018
AT1G53170	2747.7896	2530.147	5221	-0.119		(not in atlas set)	False	ATERF-8
AT1G53230	329.0	293.3401	658	-0.165		(not in atlas set)	False	TCP3
AT1G54330	1381.5	1152.6086	2763	-0.2611		(not in atlas set)	False	ANAC020
AT1G55110	1342.5	1220.7965	2685	-0.137		(not in atlas set)	False	AtIDD7
AT1G60920	32.0	29.5085	64	-0.1133		(not in atlas set)	False	AGL55
AT1G62300	1428.7629	1289.8009	2859	-0.1475	seedling_15d_15	seedling_15d	True	ATWRKY6
AT1G63030	128.5	116.1647	257	-0.1444	stem_11	stem	True	ddf2
AT1G63040	25.0	23.2372	50	-0.1013		(not in atlas set)	False	
AT1G64620	2005.8834	1835.2879	3903	-0.1282		(not in atlas set)	False	
AT1G65620	196.0	180.3207	392	-0.1197		(not in atlas set)	False	AS2
AT1G65910	1386.0	1161.8891	2772	-0.2543		(not in atlas set)	False	anac028
AT1G66370	272.0	244.6685	544	-0.1522		(not in atlas set)	False	AtMYB113
AT1G66420	11.0	10.3138	22	-0.085		(not in atlas set)	False	
AT1G67260	31.5	30.4325	63	-0.0482	rosette_30d_8	rosette_30d	True	TCP1
AT1G68320	1302.649	1172.5621	2612	-0.1517		(not in atlas set)	False	AtMYB62
AT1G68550	1921.8076	1774.3225	3820	-0.1151		(not in atlas set)	False	CRF10
AT1G68670	610.5	558.2719	1221	-0.1288		(not in atlas set)	False	
AT1G69010	1508.5	1347.4704	3017	-0.1627		(not in atlas set)	False	BIM2
AT1G69180	1451.1368	1285.1968	2881	-0.1751	flower_2	flower	True	CRC
AT1G69490	1434.683	1232.6469	2879	-0.2188	silique_16	silique	True	ANAC029
AT1G69560	298.2539	266.3584	603	-0.1626		(not in atlas set)	False	ATMYB105
AT1G69570	1883.8026	1729.6136	3655	-0.1231		(not in atlas set)	False	
AT1G69690	292.5865	266.7521	587	-0.1329		(not in atlas set)	False	AtTCP15
AT1G69780	1438.5991	1269.402	2834	-0.1804		(not in atlas set)	False	ATHB13
AT1G70910	18.0	17.1345	36	-0.0673		(not in atlas set)	False	DEP
AT1G70920	1108.7174	994.2234	2218	-0.1571	silique_14	silique	True	ATHB18
AT1G71450	2389.3105	2176.0146	4601	-0.1348		(not in atlas set)	False	
AT1G71696	1427.0	1272.0637	2854	-0.1657		(not in atlas set)	False	SOL1
AT1G72010	596.5	536.5525	1193	-0.1525		(not in atlas set)	False	
AT1G72360	233.5228	222.9175	468	-0.0668		(not in atlas set)	False	AtERF73
AT1G72740	1814.5623	1663.0279	3569	-0.1257		(not in atlas set)	False	
AT1G73730	57.5	51.4343	115	-0.1579		(not in atlas set)	False	AtEIL3
AT1G74370	22.0	19.8607	44	-0.1408		(not in atlas set)	False	
AT1G74480	1401.4607	1299.1726	2832	-0.1093		(not in atlas set)	False	AtRKD2
AT1G74650	1546.4664	1386.7153	3103	-0.1572	silique_9	silique	True	ATMYB31
AT1G74840	1168.105	1064.6043	2354	-0.1337		(not in atlas set)	False	
AT1G75080	317.5	280.9032	635	-0.1761		(not in atlas set)	False	BZR1
AT1G75240	1847.3295	1630.6808	3614	-0.1799		(not in atlas set)	False	AtHB33
AT1G75390	310.0	287.4754	620	-0.1085		(not in atlas set)	False	AtbZIP44
AT1G75490	861.0444	785.3898	1688	-0.1325		(not in atlas set)	False	
AT1G76110	700.8502	591.115	1397	-0.2453		(not in atlas set)	False	
AT1G76420	1514.328	1280.7929	3036	-0.2415		(not in atlas set)	False	ANAC031
AT1G76870	132.5	121.1165	265	-0.1286		(not in atlas set)	False	
AT1G76880	153.5	142.0186	307	-0.1114		(not in atlas set)	False	
AT1G76890	1776.9596	1588.0455	3531	-0.1621		(not in atlas set)	False	AT-GT2
AT1G77200	2132.0132	1935.8585	3938	-0.1392		(not in atlas set)	False	
AT1G77640	241.0	218.5825	482	-0.1402	seedling_15d_14	seedling_15d	True	
AT1G78700	1577.9899	1407.1059	3155	-0.1652		(not in atlas set)	False	BEH4
