kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	4	-0.6	0.343			AT3G47620	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT3G48160	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT3G49530	-0.0	0.044	0.043	-0.001	1.0
2way	4	-0.6	0.343			AT3G49930	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT3G50410	-0.0	0.132	0.128	-0.004	1.0
2way	4	-0.6	0.343			AT3G51080	-0.0	0.026	0.032	0.006	1.0
2way	4	-0.6	0.343			AT3G53200	-0.0	0.105	0.096	-0.01	1.0
2way	4	-0.6	0.343			AT3G55370	-0.0	0.184	0.181	-0.003	1.0
2way	4	-0.6	0.343			AT3G60580	-0.0	0.088	0.085	-0.003	1.0
2way	4	-0.6	0.343			AT3G61120	-0.0	0.009	0.0	-0.009	1.0
2way	4	-0.6	0.343			AT4G01550	-0.0	0.061	0.064	0.002	1.0
2way	4	-0.6	0.343			AT4G01720	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT4G05100	-0.0	0.061	0.064	0.002	1.0
2way	4	-0.6	0.343			AT4G11660	-0.0	0.07	0.064	-0.006	1.0
2way	4	-0.6	0.343			AT4G12670	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT4G14410	-0.0	0.009	0.0	-0.009	1.0
2way	4	-0.6	0.343			AT4G17460	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT4G18170	-0.0	0.044	0.053	0.009	1.0
2way	4	-0.6	0.343			AT4G18890	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT4G23550	-0.0	0.079	0.074	-0.004	1.0
2way	4	-0.6	0.343			AT4G24240	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT4G26640	-0.0	0.026	0.032	0.006	1.0
2way	4	-0.6	0.343			AT4G27950	-0.0	0.079	0.074	-0.004	1.0
2way	4	-0.6	0.343			AT4G28110	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT4G28140	-0.0	0.018	0.021	0.004	1.0
2way	4	-0.6	0.343			AT4G29230	-0.0	0.07	0.074	0.004	1.0
2way	4	-0.6	0.343			AT4G37790	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT4G38910	-0.0	0.018	0.011	-0.007	1.0
2way	4	-0.6	0.343			AT5G04410	-0.0	0.044	0.053	0.009	1.0
