gene	node	trajectory
AT1G11260	9	0,-0.0606285,-1.2538,0.00382774
AT1G11330	0	0,-0.0606285,1.14487,0.0313974
AT1G11545	18	0,-0.0606285,1.63183,0.0357698
AT1G11700	18	0,-0.0606285,1.63183,0.0357698
AT1G12090	0	0,-0.0606285,1.14487,0.0313974
AT1G12110	0	0,-0.0606285,1.14487,0.0313974
AT1G13260	54	0,0.163101,0.0417034,0.766731
AT1G14120	54	0,0.163101,0.0417034,0.766731
AT1G14210	0	0,-0.0606285,1.14487,0.0313974
AT1G14730	27	0,-1.2747,0.0662563,-0.120547
AT1G15040	54	0,0.163101,0.0417034,0.766731
AT1G15410	18	0,-0.0606285,1.63183,0.0357698
AT1G15550	18	0,-0.0606285,1.63183,0.0357698
AT1G16130	18	0,-0.0606285,1.63183,0.0357698
AT1G16500	27	0,-1.2747,0.0662563,-0.120547
AT1G16510	0	0,-0.0606285,1.14487,0.0313974
AT1G17345	54	0,0.163101,0.0417034,0.766731
AT1G17830	0	0,-0.0606285,1.14487,0.0313974
AT1G17980	0	0,-0.0606285,1.14487,0.0313974
AT1G18000	54	0,0.163101,0.0417034,0.766731
AT1G18010	57	0,0.163101,0.0417034,-1.07882
AT1G18020	18	0,-0.0606285,1.63183,0.0357698
AT1G18100	18	0,-0.0606285,1.63183,0.0357698
AT1G18140	27	0,-1.2747,0.0662563,-0.120547
AT1G18290	0	0,-0.0606285,1.14487,0.0313974
AT1G18330	57	0,0.163101,0.0417034,-1.07882
AT1G18400	18	0,-0.0606285,1.63183,0.0357698
AT1G18870	54	0,0.163101,0.0417034,0.766731
AT1G19050	0	0,-0.0606285,1.14487,0.0313974
AT1G19180	18	0,-0.0606285,1.63183,0.0357698
AT1G19340	0	0,-0.0606285,1.14487,0.0313974
AT1G19450	0	0,-0.0606285,1.14487,0.0313974
AT1G19530	54	0,0.163101,0.0417034,0.766731
AT1G19960	54	0,0.163101,0.0417034,0.766731
AT1G20190	18	0,-0.0606285,1.63183,0.0357698
AT1G20630	9	0,-0.0606285,-1.2538,0.00382774
AT1G20900	0	0,-0.0606285,1.14487,0.0313974
AT1G21110	27	0,-1.2747,0.0662563,-0.120547
AT1G21130	54	0,0.163101,0.0417034,0.766731
AT1G21270	0	0,-0.0606285,1.14487,0.0313974
AT1G21326	54	0,0.163101,0.0417034,0.766731
AT1G21680	54	0,0.163101,0.0417034,0.766731
AT1G21910	0	0,-0.0606285,1.14487,0.0313974
AT1G22150	57	0,0.163101,0.0417034,-1.07882
AT1G22180	0	0,-0.0606285,1.14487,0.0313974
AT1G22610	57	0,0.163101,0.0417034,-1.07882
AT1G22640	9	0,-0.0606285,-1.2538,0.00382774
AT1G22650	27	0,-1.2747,0.0662563,-0.120547
AT1G22770	57	0,0.163101,0.0417034,-1.07882
AT1G22890	9	0,-0.0606285,-1.2538,0.00382774
AT1G23020	0	0,-0.0606285,1.14487,0.0313974
AT1G23080	18	0,-0.0606285,1.63183,0.0357698
AT1G23390	54	0,0.163101,0.0417034,0.766731
AT1G23730	54	0,0.163101,0.0417034,0.766731
AT1G24530	18	0,-0.0606285,1.63183,0.0357698
AT1G25145	54	0,0.163101,0.0417034,0.766731
AT1G25230	0	0,-0.0606285,1.14487,0.0313974
AT1G25520	0	0,-0.0606285,1.14487,0.0313974
AT1G26665	9	0,-0.0606285,-1.2538,0.00382774
AT1G26730	18	0,-0.0606285,1.63183,0.0357698
AT1G26800	54	0,0.163101,0.0417034,0.766731
AT1G27020	18	0,-0.0606285,1.63183,0.0357698
AT1G27030	18	0,-0.0606285,1.63183,0.0357698
AT1G27980	0	0,-0.0606285,1.14487,0.0313974
AT1G28330	54	0,0.163101,0.0417034,0.766731
AT1G28370	0	0,-0.0606285,1.14487,0.0313974
AT1G28660	0	0,-0.0606285,1.14487,0.0313974
AT1G29090	57	0,0.163101,0.0417034,-1.07882
AT1G29640	57	0,0.163101,0.0417034,-1.07882
AT1G30210	54	0,0.163101,0.0417034,0.766731
AT1G30280	18	0,-0.0606285,1.63183,0.0357698
AT1G30750	27	0,-1.2747,0.0662563,-0.120547
AT1G30840	27	0,-1.2747,0.0662563,-0.120547
AT1G31335	9	0,-0.0606285,-1.2538,0.00382774
AT1G32190	0	0,-0.0606285,1.14487,0.0313974
AT1G33055	54	0,0.163101,0.0417034,0.766731
AT1G33170	27	0,-1.2747,0.0662563,-0.120547
AT1G33260	27	0,-1.2747,0.0662563,-0.120547
AT1G33790	0	0,-0.0606285,1.14487,0.0313974
AT1G33800	0	0,-0.0606285,1.14487,0.0313974
AT1G34355	9	0,-0.0606285,-1.2538,0.00382774
AT1G35250	27	0,-1.2747,0.0662563,-0.120547
AT1G35290	57	0,0.163101,0.0417034,-1.07882
AT1G35320	0	0,-0.0606285,1.14487,0.0313974
AT1G35420	9	0,-0.0606285,-1.2538,0.00382774
AT1G36280	0	0,-0.0606285,1.14487,0.0313974
AT1G41830	0	0,-0.0606285,1.14487,0.0313974
AT1G43160	54	0,0.163101,0.0417034,0.766731
AT1G43800	54	0,0.163101,0.0417034,0.766731
AT1G43910	18	0,-0.0606285,1.63183,0.0357698
AT1G44100	18	0,-0.0606285,1.63183,0.0357698
AT1G44800	0	0,-0.0606285,1.14487,0.0313974
AT1G46480	27	0,-1.2747,0.0662563,-0.120547
AT1G47395	18	0,-0.0606285,1.63183,0.0357698
AT1G48100	9	0,-0.0606285,-1.2538,0.00382774
AT1G49010	9	0,-0.0606285,-1.2538,0.00382774
AT1G49032	9	0,-0.0606285,-1.2538,0.00382774
AT1G49200	54	0,0.163101,0.0417034,0.766731
AT1G49230	0	0,-0.0606285,1.14487,0.0313974
AT1G49570	54	0,0.163101,0.0417034,0.766731
AT1G49620	0	0,-0.0606285,1.14487,0.0313974
AT1G49660	18	0,-0.0606285,1.63183,0.0357698
AT1G49720	9	0,-0.0606285,-1.2538,0.00382774
AT1G52280	0	0,-0.0606285,1.14487,0.0313974
AT1G52342	54	0,0.163101,0.0417034,0.766731
AT1G52820	54	0,0.163101,0.0417034,0.766731
AT1G52870	9	0,-0.0606285,-1.2538,0.00382774
AT1G53140	9	0,-0.0606285,-1.2538,0.00382774
AT1G53180	54	0,0.163101,0.0417034,0.766731
AT1G53440	0	0,-0.0606285,1.14487,0.0313974
AT1G53490	0	0,-0.0606285,1.14487,0.0313974
AT1G53500	0	0,-0.0606285,1.14487,0.0313974
AT1G54540	27	0,-1.2747,0.0662563,-0.120547
AT1G54740	9	0,-0.0606285,-1.2538,0.00382774
AT1G55000	9	0,-0.0606285,-1.2538,0.00382774
AT1G55120	0	0,-0.0606285,1.14487,0.0313974
AT1G55960	9	0,-0.0606285,-1.2538,0.00382774
AT1G56170	0	0,-0.0606285,1.14487,0.0313974
AT1G56660	18	0,-0.0606285,1.63183,0.0357698
AT1G58290	9	0,-0.0606285,-1.2538,0.00382774
AT1G60010	54	0,0.163101,0.0417034,0.766731
AT1G60140	9	0,-0.0606285,-1.2538,0.00382774
AT1G60270	27	0,-1.2747,0.0662563,-0.120547
AT1G61260	18	0,-0.0606285,1.63183,0.0357698
AT1G61820	9	0,-0.0606285,-1.2538,0.00382774
AT1G62290	57	0,0.163101,0.0417034,-1.07882
AT1G62380	18	0,-0.0606285,1.63183,0.0357698
AT1G62420	54	0,0.163101,0.0417034,0.766731
AT1G62560	27	0,-1.2747,0.0662563,-0.120547
AT1G62790	18	0,-0.0606285,1.63183,0.0357698
AT1G62870	27	0,-1.2747,0.0662563,-0.120547
AT1G62975	57	0,0.163101,0.0417034,-1.07882
AT1G63940	0	0,-0.0606285,1.14487,0.0313974
AT1G64370	54	0,0.163101,0.0417034,0.766731
AT1G64390	0	0,-0.0606285,1.14487,0.0313974
AT1G64500	57	0,0.163101,0.0417034,-1.07882
AT1G64590	27	0,-1.2747,0.0662563,-0.120547
AT1G64640	18	0,-0.0606285,1.63183,0.0357698
AT1G64660	54	0,0.163101,0.0417034,0.766731
AT1G64780	27	0,-1.2747,0.0662563,-0.120547
AT1G64900	9	0,-0.0606285,-1.2538,0.00382774
AT1G64980	0	0,-0.0606285,1.14487,0.0313974
AT1G65310	18	0,-0.0606285,1.63183,0.0357698
AT1G65490	27	0,-1.2747,0.0662563,-0.120547
AT1G65710	9	0,-0.0606285,-1.2538,0.00382774
AT1G65840	0	0,-0.0606285,1.14487,0.0313974
AT1G65900	27	0,-1.2747,0.0662563,-0.120547
AT1G65970	54	0,0.163101,0.0417034,0.766731
AT1G66160	0	0,-0.0606285,1.14487,0.0313974
AT1G67360	0	0,-0.0606285,1.14487,0.0313974
AT1G67830	27	0,-1.2747,0.0662563,-0.120547
AT1G67900	27	0,-1.2747,0.0662563,-0.120547
AT1G67910	54	0,0.163101,0.0417034,0.766731
AT1G68330	0	0,-0.0606285,1.14487,0.0313974
AT1G68530	57	0,0.163101,0.0417034,-1.07882
AT1G68650	9	0,-0.0606285,-1.2538,0.00382774
AT1G68850	27	0,-1.2747,0.0662563,-0.120547
AT1G69030	0	0,-0.0606285,1.14487,0.0313974
AT1G69230	54	0,0.163101,0.0417034,0.766731
AT1G69520	0	0,-0.0606285,1.14487,0.0313974
AT1G69530	0	0,-0.0606285,1.14487,0.0313974
AT1G69870	27	0,-1.2747,0.0662563,-0.120547
AT1G69880	54	0,0.163101,0.0417034,0.766731
AT1G70290	54	0,0.163101,0.0417034,0.766731
AT1G70700	9	0,-0.0606285,-1.2538,0.00382774
AT1G70830	57	0,0.163101,0.0417034,-1.07882
AT1G70850	9	0,-0.0606285,-1.2538,0.00382774
AT1G71880	18	0,-0.0606285,1.63183,0.0357698
AT1G72030	9	0,-0.0606285,-1.2538,0.00382774
AT1G72060	54	0,0.163101,0.0417034,0.766731
AT1G72240	57	0,0.163101,0.0417034,-1.07882
AT1G72360	18	0,-0.0606285,1.63183,0.0357698
AT1G72416	18	0,-0.0606285,1.63183,0.0357698
AT1G72450	0	0,-0.0606285,1.14487,0.0313974
AT1G72610	54	0,0.163101,0.0417034,0.766731
AT1G72770	9	0,-0.0606285,-1.2538,0.00382774
AT1G72790	0	0,-0.0606285,1.14487,0.0313974
AT1G73120	57	0,0.163101,0.0417034,-1.07882
AT1G73260	9	0,-0.0606285,-1.2538,0.00382774
AT1G73330	54	0,0.163101,0.0417034,0.766731
AT1G73600	27	0,-1.2747,0.0662563,-0.120547
AT1G73630	27	0,-1.2747,0.0662563,-0.120547
AT1G74310	0	0,-0.0606285,1.14487,0.0313974
AT1G74460	27	0,-1.2747,0.0662563,-0.120547
AT1G74670	54	0,0.163101,0.0417034,0.766731
AT1G74890	54	0,0.163101,0.0417034,0.766731
AT1G75750	57	0,0.163101,0.0417034,-1.07882
AT1G75785	0	0,-0.0606285,1.14487,0.0313974
AT1G76040	0	0,-0.0606285,1.14487,0.0313974
AT1G76410	54	0,0.163101,0.0417034,0.766731
AT1G76590	54	0,0.163101,0.0417034,0.766731
AT1G77120	54	0,0.163101,0.0417034,0.766731
AT1G77450	9	0,-0.0606285,-1.2538,0.00382774
AT1G77520	54	0,0.163101,0.0417034,0.766731
AT1G77530	54	0,0.163101,0.0417034,0.766731
AT1G77760	27	0,-1.2747,0.0662563,-0.120547
AT1G78070	27	0,-1.2747,0.0662563,-0.120547
AT1G78270	57	0,0.163101,0.0417034,-1.07882
AT1G78340	57	0,0.163101,0.0417034,-1.07882
AT1G78450	9	0,-0.0606285,-1.2538,0.00382774
AT1G78530	27	0,-1.2747,0.0662563,-0.120547
AT1G78990	27	0,-1.2747,0.0662563,-0.120547
AT1G80160	54	0,0.163101,0.0417034,0.766731
AT1G80310	57	0,0.163101,0.0417034,-1.07882
AT1G80320	27	0,-1.2747,0.0662563,-0.120547
AT1G80380	54	0,0.163101,0.0417034,0.766731
AT1G80440	54	0,0.163101,0.0417034,0.766731
AT1G80920	54	0,0.163101,0.0417034,0.766731
AT2G01010	54	0,0.163101,0.0417034,0.766731
AT2G01180	0	0,-0.0606285,1.14487,0.0313974
AT2G01520	54	0,0.163101,0.0417034,0.766731
AT2G01610	54	0,0.163101,0.0417034,0.766731
AT2G01890	0	0,-0.0606285,1.14487,0.0313974
AT2G02170	0	0,-0.0606285,1.14487,0.0313974
AT2G02710	9	0,-0.0606285,-1.2538,0.00382774
AT2G03090	27	0,-1.2747,0.0662563,-0.120547
AT2G03200	27	0,-1.2747,0.0662563,-0.120547
AT2G03590	0	0,-0.0606285,1.14487,0.0313974
AT2G04040	54	0,0.163101,0.0417034,0.766731
AT2G05070	57	0,0.163101,0.0417034,-1.07882
AT2G05100	57	0,0.163101,0.0417034,-1.07882
AT2G05230	54	0,0.163101,0.0417034,0.766731
AT2G05250	9	0,-0.0606285,-1.2538,0.00382774
AT2G05380	57	0,0.163101,0.0417034,-1.07882
AT2G05440	27	0,-1.2747,0.0662563,-0.120547
AT2G05510	54	0,0.163101,0.0417034,0.766731
AT2G05520	57	0,0.163101,0.0417034,-1.07882
AT2G05540	57	0,0.163101,0.0417034,-1.07882
AT2G07180	9	0,-0.0606285,-1.2538,0.00382774
AT2G08650	9	0,-0.0606285,-1.2538,0.00382774
AT2G08665	57	0,0.163101,0.0417034,-1.07882
AT2G14247	18	0,-0.0606285,1.63183,0.0357698
AT2G14890	0	0,-0.0606285,1.14487,0.0313974
AT2G15570	0	0,-0.0606285,1.14487,0.0313974
AT2G15880	54	0,0.163101,0.0417034,0.766731
AT2G15890	54	0,0.163101,0.0417034,0.766731
AT2G15960	9	0,-0.0606285,-1.2538,0.00382774
AT2G15970	57	0,0.163101,0.0417034,-1.07882
AT2G16060	54	0,0.163101,0.0417034,0.766731
AT2G16890	57	0,0.163101,0.0417034,-1.07882
AT2G17450	54	0,0.163101,0.0417034,0.766731
AT2G17760	27	0,-1.2747,0.0662563,-0.120547
AT2G18150	54	0,0.163101,0.0417034,0.766731
AT2G18230	0	0,-0.0606285,1.14487,0.0313974
AT2G18328	27	0,-1.2747,0.0662563,-0.120547
AT2G18700	54	0,0.163101,0.0417034,0.766731
AT2G18910	0	0,-0.0606285,1.14487,0.0313974
AT2G19572	54	0,0.163101,0.0417034,0.766731
AT2G19800	9	0,-0.0606285,-1.2538,0.00382774
AT2G19810	9	0,-0.0606285,-1.2538,0.00382774
AT2G20340	27	0,-1.2747,0.0662563,-0.120547
AT2G20635	9	0,-0.0606285,-1.2538,0.00382774
AT2G20670	54	0,0.163101,0.0417034,0.766731
AT2G20750	18	0,-0.0606285,1.63183,0.0357698
AT2G21100	27	0,-1.2747,0.0662563,-0.120547
AT2G21185	9	0,-0.0606285,-1.2538,0.00382774
AT2G21590	18	0,-0.0606285,1.63183,0.0357698
AT2G22240	27	0,-1.2747,0.0662563,-0.120547
AT2G22450	9	0,-0.0606285,-1.2538,0.00382774
AT2G22470	0	0,-0.0606285,1.14487,0.0313974
AT2G22500	18	0,-0.0606285,1.63183,0.0357698
AT2G22510	27	0,-1.2747,0.0662563,-0.120547
AT2G22540	27	0,-1.2747,0.0662563,-0.120547
AT2G22590	57	0,0.163101,0.0417034,-1.07882
AT2G22860	54	0,0.163101,0.0417034,0.766731
AT2G23010	54	0,0.163101,0.0417034,0.766731
AT2G23540	27	0,-1.2747,0.0662563,-0.120547
AT2G23910	27	0,-1.2747,0.0662563,-0.120547
AT2G24545	9	0,-0.0606285,-1.2538,0.00382774
AT2G24762	18	0,-0.0606285,1.63183,0.0357698
AT2G25000	0	0,-0.0606285,1.14487,0.0313974
AT2G25090	9	0,-0.0606285,-1.2538,0.00382774
AT2G25450	9	0,-0.0606285,-1.2538,0.00382774
AT2G25510	57	0,0.163101,0.0417034,-1.07882
AT2G25530	27	0,-1.2747,0.0662563,-0.120547
AT2G25900	54	0,0.163101,0.0417034,0.766731
AT2G26500	9	0,-0.0606285,-1.2538,0.00382774
AT2G26760	9	0,-0.0606285,-1.2538,0.00382774
AT2G27402	54	0,0.163101,0.0417034,0.766731
AT2G27690	18	0,-0.0606285,1.63183,0.0357698
AT2G28140	27	0,-1.2747,0.0662563,-0.120547
AT2G28260	0	0,-0.0606285,1.14487,0.0313974
AT2G28470	27	0,-1.2747,0.0662563,-0.120547
AT2G28570	54	0,0.163101,0.0417034,0.766731
AT2G28671	27	0,-1.2747,0.0662563,-0.120547
AT2G28780	18	0,-0.0606285,1.63183,0.0357698
AT2G28950	27	0,-1.2747,0.0662563,-0.120547
AT2G29060	0	0,-0.0606285,1.14487,0.0313974
AT2G29630	9	0,-0.0606285,-1.2538,0.00382774
AT2G29730	0	0,-0.0606285,1.14487,0.0313974
AT2G29740	0	0,-0.0606285,1.14487,0.0313974
AT2G29750	18	0,-0.0606285,1.63183,0.0357698
AT2G30210	27	0,-1.2747,0.0662563,-0.120547
AT2G30600	9	0,-0.0606285,-1.2538,0.00382774
AT2G30766	54	0,0.163101,0.0417034,0.766731
AT2G30820	9	0,-0.0606285,-1.2538,0.00382774
AT2G30870	0	0,-0.0606285,1.14487,0.0313974
AT2G31110	0	0,-0.0606285,1.14487,0.0313974
AT2G31380	27	0,-1.2747,0.0662563,-0.120547
AT2G31390	0	0,-0.0606285,1.14487,0.0313974
AT2G31680	0	0,-0.0606285,1.14487,0.0313974
AT2G31810	9	0,-0.0606285,-1.2538,0.00382774
AT2G31980	18	0,-0.0606285,1.63183,0.0357698
AT2G32150	9	0,-0.0606285,-1.2538,0.00382774
AT2G32300	27	0,-1.2747,0.0662563,-0.120547
AT2G32550	0	0,-0.0606285,1.14487,0.0313974
AT2G33770	27	0,-1.2747,0.0662563,-0.120547
AT2G33830	54	0,0.163101,0.0417034,0.766731
AT2G33850	54	0,0.163101,0.0417034,0.766731
AT2G34180	54	0,0.163101,0.0417034,0.766731
AT2G34420	54	0,0.163101,0.0417034,0.766731
AT2G34600	9	0,-0.0606285,-1.2538,0.00382774
AT2G34810	57	0,0.163101,0.0417034,-1.07882
AT2G35290	18	0,-0.0606285,1.63183,0.0357698
AT2G35380	27	0,-1.2747,0.0662563,-0.120547
AT2G35760	18	0,-0.0606285,1.63183,0.0357698
AT2G36100	27	0,-1.2747,0.0662563,-0.120547
AT2G36430	9	0,-0.0606285,-1.2538,0.00382774
AT2G36490	9	0,-0.0606285,-1.2538,0.00382774
AT2G36570	27	0,-1.2747,0.0662563,-0.120547
AT2G36870	27	0,-1.2747,0.0662563,-0.120547
AT2G36885	9	0,-0.0606285,-1.2538,0.00382774
AT2G37180	57	0,0.163101,0.0417034,-1.07882
AT2G37870	54	0,0.163101,0.0417034,0.766731
AT2G38110	27	0,-1.2747,0.0662563,-0.120547
AT2G38180	0	0,-0.0606285,1.14487,0.0313974
AT2G38210	9	0,-0.0606285,-1.2538,0.00382774
AT2G38230	9	0,-0.0606285,-1.2538,0.00382774
AT2G38280	0	0,-0.0606285,1.14487,0.0313974
AT2G38310	0	0,-0.0606285,1.14487,0.0313974
AT2G38380	27	0,-1.2747,0.0662563,-0.120547
AT2G38530	57	0,0.163101,0.0417034,-1.07882
AT2G38640	18	0,-0.0606285,1.63183,0.0357698
AT2G38800	9	0,-0.0606285,-1.2538,0.00382774
AT2G38820	9	0,-0.0606285,-1.2538,0.00382774
AT2G38870	57	0,0.163101,0.0417034,-1.07882
AT2G39000	9	0,-0.0606285,-1.2538,0.00382774
AT2G39130	18	0,-0.0606285,1.63183,0.0357698
AT2G39180	18	0,-0.0606285,1.63183,0.0357698
AT2G39220	27	0,-1.2747,0.0662563,-0.120547
AT2G39310	9	0,-0.0606285,-1.2538,0.00382774
AT2G39400	54	0,0.163101,0.0417034,0.766731
AT2G39430	27	0,-1.2747,0.0662563,-0.120547
AT2G39510	0	0,-0.0606285,1.14487,0.0313974
AT2G39570	54	0,0.163101,0.0417034,0.766731
AT2G39650	0	0,-0.0606285,1.14487,0.0313974
AT2G39980	54	0,0.163101,0.0417034,0.766731
AT2G40130	54	0,0.163101,0.0417034,0.766731
AT2G40300	54	0,0.163101,0.0417034,0.766731
AT2G40370	27	0,-1.2747,0.0662563,-0.120547
AT2G40460	27	0,-1.2747,0.0662563,-0.120547
AT2G40610	0	0,-0.0606285,1.14487,0.0313974
AT2G40940	0	0,-0.0606285,1.14487,0.0313974
AT2G41190	18	0,-0.0606285,1.63183,0.0357698
AT2G41230	18	0,-0.0606285,1.63183,0.0357698
AT2G41240	54	0,0.163101,0.0417034,0.766731
AT2G41410	0	0,-0.0606285,1.14487,0.0313974
AT2G41480	27	0,-1.2747,0.0662563,-0.120547
AT2G41990	0	0,-0.0606285,1.14487,0.0313974
AT2G42247	27	0,-1.2747,0.0662563,-0.120547
AT2G42320	0	0,-0.0606285,1.14487,0.0313974
AT2G42610	27	0,-1.2747,0.0662563,-0.120547
AT2G42870	0	0,-0.0606285,1.14487,0.0313974
AT2G43100	9	0,-0.0606285,-1.2538,0.00382774
AT2G43120	18	0,-0.0606285,1.63183,0.0357698
AT2G43140	54	0,0.163101,0.0417034,0.766731
AT2G43510	57	0,0.163101,0.0417034,-1.07882
AT2G43535	54	0,0.163101,0.0417034,0.766731
AT2G43540	9	0,-0.0606285,-1.2538,0.00382774
AT2G43590	27	0,-1.2747,0.0662563,-0.120547
AT2G44080	54	0,0.163101,0.0417034,0.766731
AT2G44230	27	0,-1.2747,0.0662563,-0.120547
AT2G44300	0	0,-0.0606285,1.14487,0.0313974
AT2G44940	27	0,-1.2747,0.0662563,-0.120547
AT2G45210	0	0,-0.0606285,1.14487,0.0313974
AT2G45220	9	0,-0.0606285,-1.2538,0.00382774
AT2G45560	9	0,-0.0606285,-1.2538,0.00382774
AT2G45660	54	0,0.163101,0.0417034,0.766731
AT2G45680	57	0,0.163101,0.0417034,-1.07882
AT2G45685	0	0,-0.0606285,1.14487,0.0313974
AT2G46630	18	0,-0.0606285,1.63183,0.0357698
AT2G46790	57	0,0.163101,0.0417034,-1.07882
AT2G46830	27	0,-1.2747,0.0662563,-0.120547
AT2G47000	0	0,-0.0606285,1.14487,0.0313974
AT2G47010	27	0,-1.2747,0.0662563,-0.120547
AT2G47180	27	0,-1.2747,0.0662563,-0.120547
AT2G47460	57	0,0.163101,0.0417034,-1.07882
AT2G47560	27	0,-1.2747,0.0662563,-0.120547
AT2G47890	9	0,-0.0606285,-1.2538,0.00382774
AT2G48130	27	0,-1.2747,0.0662563,-0.120547
AT2G48140	27	0,-1.2747,0.0662563,-0.120547
AT3G01205	57	0,0.163101,0.0417034,-1.07882
AT3G01310	9	0,-0.0606285,-1.2538,0.00382774
AT3G01420	57	0,0.163101,0.0417034,-1.07882
AT3G01680	27	0,-1.2747,0.0662563,-0.120547
AT3G01770	9	0,-0.0606285,-1.2538,0.00382774
AT3G01970	54	0,0.163101,0.0417034,0.766731
AT3G02230	0	0,-0.0606285,1.14487,0.0313974
AT3G02410	0	0,-0.0606285,1.14487,0.0313974
AT3G02480	0	0,-0.0606285,1.14487,0.0313974
AT3G02550	18	0,-0.0606285,1.63183,0.0357698
AT3G02790	54	0,0.163101,0.0417034,0.766731
AT3G02870	18	0,-0.0606285,1.63183,0.0357698
AT3G02910	57	0,0.163101,0.0417034,-1.07882
AT3G04140	27	0,-1.2747,0.0662563,-0.120547
AT3G05150	0	0,-0.0606285,1.14487,0.0313974
AT3G05630	18	0,-0.0606285,1.63183,0.0357698
AT3G05640	0	0,-0.0606285,1.14487,0.0313974
AT3G06390	27	0,-1.2747,0.0662563,-0.120547
AT3G07350	54	0,0.163101,0.0417034,0.766731
AT3G07650	9	0,-0.0606285,-1.2538,0.00382774
AT3G07870	9	0,-0.0606285,-1.2538,0.00382774
AT3G07990	0	0,-0.0606285,1.14487,0.0313974
AT3G08860	18	0,-0.0606285,1.63183,0.0357698
AT3G09220	9	0,-0.0606285,-1.2538,0.00382774
AT3G09440	0	0,-0.0606285,1.14487,0.0313974
AT3G10020	9	0,-0.0606285,-1.2538,0.00382774
AT3G10040	0	0,-0.0606285,1.14487,0.0313974
AT3G10520	18	0,-0.0606285,1.63183,0.0357698
AT3G11280	0	0,-0.0606285,1.14487,0.0313974
AT3G11430	27	0,-1.2747,0.0662563,-0.120547
AT3G11580	0	0,-0.0606285,1.14487,0.0313974
AT3G11600	9	0,-0.0606285,-1.2538,0.00382774
AT3G12320	27	0,-1.2747,0.0662563,-0.120547
AT3G12500	27	0,-1.2747,0.0662563,-0.120547
AT3G12580	18	0,-0.0606285,1.63183,0.0357698
AT3G12610	0	0,-0.0606285,1.14487,0.0313974
AT3G12710	18	0,-0.0606285,1.63183,0.0357698
AT3G12920	0	0,-0.0606285,1.14487,0.0313974
AT3G13700	54	0,0.163101,0.0417034,0.766731
AT3G13710	57	0,0.163101,0.0417034,-1.07882
AT3G13784	27	0,-1.2747,0.0662563,-0.120547
AT3G14200	0	0,-0.0606285,1.14487,0.0313974
AT3G14230	18	0,-0.0606285,1.63183,0.0357698
AT3G14420	57	0,0.163101,0.0417034,-1.07882
AT3G14590	0	0,-0.0606285,1.14487,0.0313974
AT3G14810	27	0,-1.2747,0.0662563,-0.120547
