kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
path	8	0.465	0.342	0.497	0.28	AT5G63260	17.75	19.0	1.25	-3.0	0.857
path	8	0.465	0.342	0.497	0.28	AT5G67580	7.25	8.0	0.75	-2.0	0.857
path	8	0.465	0.342	0.497	0.28	AT1G75240	14.8	16.0	1.2	-2.8	0.858
path	8	0.465	0.342	0.497	0.28	AT3G03200	14.87	16.0	1.13	-2.8	0.858
path	8	0.465	0.342	1.81	0.981	AT2G15740	16.52	18.0	1.48	-2.4	0.859
path	8	0.465	0.342	1.81	0.981	AT4G31060	16.02	18.0	1.98	-2.4	0.859
path	8	0.465	0.342	1.81	0.981	AT1G76110	7.33	8.0	0.67	-1.6	0.864
path	8	0.465	0.342	1.81	0.981	AT5G18560	6.65	8.0	1.35	-1.6	0.864
path	8	0.465	0.342	1.81	0.981	AT1G26960	21.37	23.0	1.63	-2.8	0.866
path	8	0.465	0.342	1.81	0.981	AT3G60490	12.35	14.0	1.65	-2.2	0.866
path	8	0.465	0.342	1.81	0.981	AT4G36160	28.63	31.0	2.37	-3.2	0.866
path	8	0.465	0.342	1.81	0.981	AT2G23290	17.16	19.0	1.84	-2.6	0.869
path	8	0.465	0.342	0.497	0.28	AT2G42590	0.82	1.0	0.18	-0.6	0.872
path	8	0.465	0.342	0.497	0.28	AT3G23250	0.83	1.0	0.17	-0.6	0.872
path	8	0.465	0.342	0.497	0.28	AT5G14340	0.88	1.0	0.12	-0.6	0.872
path	8	0.465	0.342	0.497	0.28	AT5G25475	0.92	1.0	0.08	-0.6	0.872
path	8	0.465	0.342	1.81	0.981	AT1G03800	21.49	24.0	2.51	-3.0	0.875
path	8	0.465	0.342	1.81	0.981	AT1G14687	22.26	24.0	1.74	-3.0	0.875
path	8	0.465	0.342	0.497	0.28	AT1G01720	13.64	15.0	1.36	-3.0	0.876
path	8	0.465	0.342	1.81	0.981	AT3G10580	13.37	15.0	1.63	-2.4	0.876
path	8	0.465	0.342	1.81	0.981	AT5G56840	12.73	15.0	2.27	-2.4	0.876
path	8	0.465	0.342	1.81	0.981	AT2G18060	18.42	20.0	1.58	-2.8	0.878
path	8	0.465	0.342	0.497	0.28	AT3G15170	5.4	6.0	0.6	-2.0	0.883
path	8	0.465	0.342	1.81	0.981	AT5G17800	14.57	16.0	1.43	-2.6	0.884
path	8	0.465	0.342	0.497	0.28	AT3G01470	2.68	3.0	0.32	-1.4	0.885
path	8	0.465	0.342	1.81	0.981	AT2G22430	9.52	11.0	1.48	-2.2	0.888
path	8	0.465	0.342	1.81	0.981	AT1G50640	14.99	17.0	2.01	-2.8	0.892
path	8	0.465	0.342	1.81	0.981	AT1G68550	14.62	17.0	2.38	-2.8	0.892
path	8	0.465	0.342	0.497	0.28	AT1G22070	1.81	2.0	0.19	-1.2	0.897
path	8	0.465	0.342	0.497	0.28	AT1G32240	1.74	2.0	0.26	-1.2	0.897
path	8	0.465	0.342	0.497	0.28	AT3G50700	1.63	2.0	0.37	-1.2	0.897
path	8	0.465	0.342	0.497	0.28	AT1G51700	14.1	15.0	0.9	-3.4	0.9
path	8	0.465	0.342	1.81	0.981	AT3G16280	11.46	13.0	1.54	-2.6	0.902
path	8	0.465	0.342	1.81	0.981	AT5G07680	3.67	4.0	0.33	-1.4	0.904
path	8	0.465	0.342	0.497	0.28	AT1G69780	10.93	12.0	1.07	-3.2	0.906
path	8	0.465	0.342	0.497	0.28	AT5G64750	10.52	12.0	1.48	-3.2	0.906
path	8	0.465	0.342	1.81	0.981	AT4G38620	2.72	3.0	0.28	-1.2	0.906
path	8	0.465	0.342	1.81	0.981	AT5G39820	2.63	3.0	0.37	-1.2	0.906
path	8	0.465	0.342	1.81	0.981	AT5G10280	5.51	6.0	0.49	-1.8	0.907
path	8	0.465	0.342	1.81	0.981	AT1G51220	12.8	14.0	1.2	-2.8	0.908
path	8	0.465	0.342	1.81	0.981	AT5G62470	6.22	7.0	0.78	-2.0	0.91
path	8	0.465	0.342	0.497	0.28	AT5G06839	11.72	13.0	1.28	-3.4	0.911
path	8	0.465	0.342	1.81	0.981	AT5G47370	13.38	15.0	1.62	-3.0	0.914
path	8	0.465	0.342	0.497	0.28	AT3G06490	3.51	4.0	0.49	-2.0	0.915
path	8	0.465	0.342	0.497	0.28	AT3G25990	3.64	4.0	0.36	-2.0	0.915
path	8	0.465	0.342	1.81	0.981	AT1G69690	1.62	2.0	0.38	-1.0	0.915
path	8	0.465	0.342	1.81	0.981	AT1G73730	1.83	2.0	0.17	-1.0	0.915
path	8	0.465	0.342	1.81	0.981	AT3G23220	1.26	2.0	0.74	-1.0	0.915
path	8	0.465	0.342	1.81	0.981	AT3G27010	1.62	2.0	0.38	-1.0	0.915
path	8	0.465	0.342	0.497	0.28	AT2G44840	7.78	9.0	1.22	-3.0	0.917
path	8	0.465	0.342	1.81	0.981	AT3G10030	8.13	9.0	0.87	-2.4	0.918
path	8	0.465	0.342	1.81	0.981	AT5G47660	14.66	16.0	1.34	-3.2	0.92
path	8	0.465	0.342	1.81	0.981	AT1G53170	22.98	26.0	3.02	-4.0	0.922
path	8	0.465	0.342	0.497	0.28	AT3G47500	9.95	11.0	1.05	-3.4	0.923
path	8	0.465	0.342	0.497	0.28	AT3G02150	0.88	1.0	0.12	-1.0	0.924
path	8	0.465	0.342	0.497	0.28	AT5G08750	0.79	1.0	0.21	-1.0	0.924
path	8	0.465	0.342	1.81	0.981	AT2G35530	19.22	22.0	2.78	-3.8	0.925
path	8	0.465	0.342	1.81	0.981	AT4G26030	15.63	17.0	1.37	-3.4	0.925
path	8	0.465	0.342	1.81	0.981	AT3G50060	16.24	18.0	1.76	-3.6	0.93
path	8	0.465	0.342	1.81	0.981	AT5G62320	16.77	18.0	1.23	-3.6	0.93
path	8	0.465	0.342	1.81	0.981	AT1G06180	11.02	12.0	0.98	-3.0	0.931
path	8	0.465	0.342	0.497	0.28	AT3G46590	1.78	2.0	0.22	-1.6	0.932
path	8	0.465	0.342	0.497	0.28	AT5G44210	1.36	2.0	0.64	-1.6	0.932
path	8	0.465	0.342	0.497	0.28	AT3G01530	12.87	14.0	1.13	-4.0	0.933
path	8	0.465	0.342	0.497	0.28	AT1G30490	5.19	6.0	0.81	-2.8	0.935
path	8	0.465	0.342	0.497	0.28	AT5G06960	7.21	8.0	0.79	-3.2	0.935
path	8	0.465	0.342	0.497	0.28	AT5G46350	7.26	8.0	0.74	-3.2	0.935
path	8	0.465	0.342	0.497	0.28	AT5G58900	5.95	7.0	1.05	-3.0	0.935
path	8	0.465	0.342	1.81	0.981	AT5G11260	16.47	19.0	2.53	-3.8	0.935
path	8	0.465	0.342	1.81	0.981	AT1G76880	0.86	1.0	0.14	-0.8	0.937
path	8	0.465	0.342	1.81	0.981	AT3G03660	0.91	1.0	0.09	-0.8	0.937
path	8	0.465	0.342	1.81	0.981	AT4G28110	0.9	1.0	0.1	-0.8	0.937
path	8	0.465	0.342	1.81	0.981	AT5G44160	0.72	1.0	0.28	-0.8	0.937
path	8	0.465	0.342	0.497	0.28	AT2G01930	8.96	10.0	1.04	-3.6	0.938
path	8	0.465	0.342	1.81	0.981	AT4G00730	18.5	20.0	1.5	-4.0	0.939
path	8	0.465	0.342	1.81	0.981	AT5G45580	12.06	14.0	1.94	-3.4	0.939
path	8	0.465	0.342	0.497	0.28	AT5G04390	3.35	4.0	0.65	-2.4	0.94
path	8	0.465	0.342	0.497	0.28	AT5G53950	3.46	4.0	0.54	-2.4	0.94
path	8	0.465	0.342	0.497	0.28	AT1G08320	15.48	17.0	1.52	-4.6	0.942
path	8	0.465	0.342	1.81	0.981	AT4G17785	4.57	5.0	0.43	-2.2	0.946
path	8	0.465	0.342	1.81	0.981	AT4G34590	4.21	5.0	0.79	-2.2	0.946
path	8	0.465	0.342	0.497	0.28	AT3G12250	12.41	14.0	1.59	-4.4	0.947
path	8	0.465	0.342	0.497	0.28	AT2G46590	13.72	15.0	1.28	-4.6	0.949
path	8	0.465	0.342	1.81	0.981	AT4G32730	19.9	23.0	3.1	-4.6	0.951
path	8	0.465	0.342	1.81	0.981	AT1G69560	2.71	3.0	0.29	-1.8	0.952
path	8	0.465	0.342	1.81	0.981	AT5G22500	2.44	3.0	0.56	-1.8	0.952
path	8	0.465	0.342	1.81	0.981	AT5G63090	2.28	3.0	0.72	-1.8	0.952
path	8	0.465	0.342	0.497	0.28	AT1G25340	10.18	11.0	0.82	-4.2	0.954
path	8	0.465	0.342	0.497	0.28	AT2G24430	9.78	11.0	1.22	-4.2	0.954
path	8	0.465	0.342	1.81	0.981	AT3G12730	9.58	11.0	1.42	-3.4	0.954
path	8	0.465	0.342	0.497	0.28	AT3G61250	0.73	1.0	0.27	-1.4	0.955
path	8	0.465	0.342	1.81	0.981	AT2G44940	10.46	12.0	1.54	-3.6	0.956
path	8	0.465	0.342	0.497	0.28	AT3G45610	11.77	13.0	1.23	-4.6	0.957
path	8	0.465	0.342	0.497	0.28	AT5G13180	11.84	13.0	1.16	-4.6	0.957
path	8	0.465	0.342	1.81	0.981	AT2G46680	11.68	13.0	1.32	-3.8	0.958
path	8	0.465	0.342	1.81	0.981	AT1G69010	18.64	21.0	2.36	-4.8	0.962
path	8	0.465	0.342	0.497	0.28	AT3G52440	15.64	17.0	1.36	-5.4	0.964
path	8	0.465	0.342	0.497	0.28	AT4G17980	15.73	17.0	1.27	-5.4	0.964
path	8	0.465	0.342	0.497	0.28	AT1G68320	10.07	11.0	0.93	-4.6	0.965
path	8	0.465	0.342	0.497	0.28	AT1G69180	6.05	7.0	0.95	-3.8	0.965
path	8	0.465	0.342	1.81	0.981	AT1G22810	14.25	16.0	1.75	-4.4	0.965
path	8	0.465	0.342	1.81	0.981	AT2G32460	14.55	16.0	1.45	-4.4	0.965
path	8	0.465	0.342	1.81	0.981	AT5G52660	15.43	17.0	1.57	-4.6	0.967
path	8	0.465	0.342	0.497	0.28	AT3G49530	13.03	14.0	0.97	-5.2	0.968
path	8	0.465	0.342	0.497	0.28	AT5G46590	4.55	5.0	0.45	-3.4	0.968
path	8	0.465	0.342	1.81	0.981	AT2G18350	16.48	18.0	1.52	-4.8	0.969
path	8	0.465	0.342	1.81	0.981	AT2G36270	21.28	24.0	2.72	-5.4	0.969
path	8	0.465	0.342	1.81	0.981	AT4G37180	6.56	8.0	1.44	-3.4	0.969
path	8	0.465	0.342	1.81	0.981	AT4G01680	8.78	10.0	1.22	-3.8	0.97
path	8	0.465	0.342	1.81	0.981	AT5G66300	8.06	9.0	0.94	-3.6	0.97
path	8	0.465	0.342	1.81	0.981	AT3G26620	10.04	11.0	0.96	-4.0	0.971
path	8	0.465	0.342	1.81	0.981	AT4G36780	16.68	19.0	2.32	-5.0	0.971
path	8	0.465	0.342	1.81	0.981	AT2G42430	10.48	12.0	1.52	-4.2	0.972
path	8	0.465	0.342	0.497	0.28	AT3G12130	8.25	9.0	0.75	-4.6	0.973
path	8	0.465	0.342	1.81	0.981	AT1G71450	23.02	26.0	2.98	-5.8	0.973
path	8	0.465	0.342	1.81	0.981	AT4G32800	3.33	4.0	0.67	-2.6	0.973
path	8	0.465	0.342	0.497	0.28	AT3G10480	10.84	12.0	1.16	-5.2	0.974
path	8	0.465	0.342	1.81	0.981	AT1G32150	18.19	21.0	2.81	-5.4	0.974
path	8	0.465	0.342	1.81	0.981	AT3G04030	11.22	13.0	1.78	-4.4	0.974
path	8	0.465	0.342	1.81	0.981	AT2G45680	0.71	1.0	0.29	-1.4	0.975
path	8	0.465	0.342	1.81	0.981	AT3G51080	0.82	1.0	0.18	-1.4	0.975
