gene	node	trajectory
AT1G03820	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G04425	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G04650	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G04760	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G04770	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G04833	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G05020	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G05030	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G05340	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G05440	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G05490	81	0,0.136497,0.501236,3.10954,3.60427,5.89663,5.3634,3.924,3.2079
AT1G05575	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G05675	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G05680	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G05710	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G05927	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G06070	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G06570	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G06660	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G06980	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G07135	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G07167	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G07367	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G07373	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G07520	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G07880	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G07897	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G08050	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G08250	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G08260	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G08270	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G08477	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G08560	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G08630	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G08930	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G09070	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G09180	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G09200	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G09310	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G09460	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G09470	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G09815	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G09927	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G09932	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G09995	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G10040	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G10050	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G10070	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G10140	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G10370	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G10780	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G11220	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G11260	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G11580	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G12020	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G12211	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G12220	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G12320	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G12480	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G12780	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G13245	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G13260	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G13330	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G13340	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G13420	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G13480	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G13520	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G13609	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G13650	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G13930	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G14250	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G14540	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G14720	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G14890	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G15040	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G15125	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G15330	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G15380	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G15580	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G15790	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G16070	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G16130	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G16330	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G16400	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G16410	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G16530	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G16630	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G16850	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G17147	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G17180	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G17290	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G17360	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G17380	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G17460	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G17480	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G17745	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G17960	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G18250	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G18270	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G18300	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G18330	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G18370	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G18400	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G18570	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G18590	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G18740	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G18810	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G18970	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G19020	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G19380	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G19530	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G19540	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G19670	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G19770	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G20070	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G20350	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G20440	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G20450	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G20610	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G20750	81	0,0.136497,0.501236,3.10954,3.60427,5.89663,5.3634,3.924,3.2079
AT1G20930	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G21100	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G21110	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G21120	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G21140	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G21250	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G21270	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G21400	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G21520	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G21810	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G21910	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G22065	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G22160	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G22740	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G22890	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G23000	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G23052	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G23205	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G23390	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G23550	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G23710	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G23790	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G23870	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G24150	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G24580	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G24793	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G25054	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G25145	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G25210	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G25400	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G25560	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G26380	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G26420	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G26560	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G26760	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G26800	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G27100	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G27180	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G27540	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G27720	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G27730	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G27770	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G27940	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G28330	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G28370	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G28410	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G28570	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G28670	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G29395	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G29640	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G29690	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G30475	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G30510	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G30600	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G30680	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G30700	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G30720	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G30730	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G30820	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G31280	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G31290	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G31580	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G31690	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G31770	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G31820	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G31920	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G32450	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G32640	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G32860	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G32900	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G32920	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G32928	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G33610	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G34040	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G34355	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G35140	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G35210	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G35230	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G35320	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G35350	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G35430	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G35710	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G36180	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G37130	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G43605	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G43910	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G44110	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G44830	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G45010	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G45165	19710	0,0.317029,0.403852,0.797119,0.0920931,0.345726,1.51863,1.66613,0.766353
AT1G45201	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G47395	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G47400	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G48120	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G49050	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G49130	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G49200	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G49230	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G49570	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G49860	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G49870	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G49980	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G50040	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G50240	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G50490	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
