kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT1G63040	0.0	0.0	0.001	0.001	0.515
2way	0	0.0	1.065			AT2G48100	0.0	0.001	0.0	-0.001	0.515
2way	0	0.0	1.065			AT3G47620	0.0	0.0	0.001	0.001	0.515
2way	0	0.0	1.065			AT5G48670	0.0	0.0	0.001	0.001	0.515
2way	0	0.0	1.065			AT5G47370	0.509	0.039	0.051	0.012	0.517
2way	0	0.0	1.065			AT1G04880	0.0	0.015	0.022	0.007	0.523
2way	0	0.0	1.065			AT1G27730	0.0	0.067	0.075	0.009	0.527
2way	0	0.0	1.065			AT5G66730	0.483	0.044	0.035	-0.009	0.527
2way	0	0.0	1.065			AT3G12730	0.0	0.036	0.047	0.011	0.531
2way	0	0.0	1.065			AT1G25550	0.0	0.026	0.036	0.009	0.533
2way	0	0.0	1.065			AT2G40260	0.0	0.042	0.052	0.01	0.536
2way	0	0.0	1.065			AT5G44210	0.0	0.026	0.034	0.008	0.537
2way	0	0.0	1.065			AT3G48160	0.0	0.004	0.002	-0.002	0.541
2way	0	0.0	1.065			AT5G10510	0.0	0.004	0.001	-0.003	0.541
2way	0	0.0	1.065			AT5G67000	0.0	0.003	0.001	-0.002	0.541
2way	0	0.0	1.065			AT1G01250	0.0	0.011	0.006	-0.005	0.542
2way	0	0.0	1.065			AT4G00250	0.356	0.045	0.056	0.011	0.545
2way	0	0.0	1.065			AT3G10480	-0.002	0.035	0.045	0.01	0.548
2way	0	0.0	1.065			AT1G19790	0.502	0.024	0.017	-0.007	0.551
2way	0	0.0	1.065			AT1G65620	0.0	0.009	0.005	-0.004	0.555
2way	0	0.0	1.065			AT5G18270	-0.008	0.117	0.129	0.011	0.563
2way	0	0.0	1.065			AT1G25340	0.0	0.027	0.036	0.009	0.566
2way	0	0.0	1.065			AT1G33240	0.0	0.048	0.059	0.011	0.566
2way	0	0.0	1.065			AT5G46590	-0.069	0.012	0.019	0.006	0.566
2way	0	0.0	1.065			AT4G24240	0.0	0.002	0.0	-0.002	0.573
2way	0	0.0	1.065			AT5G49300	0.0	0.001	0.0	-0.001	0.573
2way	0	0.0	1.065			AT1G52880	0.0	0.049	0.06	0.01	0.574
2way	0	0.0	1.065			AT1G51600	0.0	0.005	0.002	-0.003	0.576
2way	0	0.0	1.065			AT3G50700	0.56	0.018	0.012	-0.006	0.577
2way	0	0.0	1.065			AT3G18400	-0.492	0.047	0.056	0.009	0.58
2way	0	0.0	1.065			AT5G67450	0.0	0.007	0.011	0.004	0.582
2way	0	0.0	1.065			AT2G35700	0.412	0.058	0.047	-0.01	0.584
2way	0	0.0	1.065			AT1G12260	-0.0	0.035	0.043	0.008	0.586
2way	0	0.0	1.065			AT2G17950	0.0	0.007	0.011	0.004	0.587
2way	0	0.0	1.065			AT5G51990	0.0	0.06	0.07	0.01	0.594
2way	0	0.0	1.065			AT3G10500	0.038	0.108	0.098	-0.01	0.595
2way	0	0.0	1.065			AT1G71450	-0.103	0.087	0.099	0.012	0.596
2way	0	0.0	1.065			AT4G28140	0.0	0.011	0.006	-0.005	0.596
2way	0	0.0	1.065			AT3G61150	0.0	0.036	0.046	0.009	0.597
