accession	factor	level	n_treated	n_control	gene_set	n_set_genes_measured	n_set_genes_total	mean_rank	z	p_empirical
OSD-321	genotype	ire1a-4 ire1b-2	8	10	ddr_core	11	11	0.1414	-4.112	0.0005
OSD-321	genotype	ire1a-4 ire1b-2	8	10	myb3r_repressed	252	283	0.5549	3.099	0.002
OSD-321	genotype	ire1a-4 ire1b-2	8	10	phase_early	350	400	0.4817	-1.244	0.2049
OSD-321	genotype	ire1a-4 ire1b-2	8	10	phase_late	317	400	0.5451	2.783	0.008
OSD-321	genotype	ire1a-4 ire1b-2	8	10	phase_mid	357	400	0.4904	-0.632	0.51924
OSD-321	genotype	ire1a-4 ire1b-2	8	10	sog1_dependent	153	160	0.28	-9.637	0.0005
OSD-321	genotype	ire1a-4 ire1b-2	8	10	sog1_independent	116	132	0.4347	-2.424	0.01699
OSD-321	spaceflight	Space Flight	22	22	ddr_core	11	11	0.5542	0.603	0.54073
OSD-321	spaceflight	Space Flight	22	22	myb3r_repressed	252	283	0.6855	10.201	0.0005
OSD-321	spaceflight	Space Flight	22	22	phase_early	350	400	0.3303	-11.05	0.0005
OSD-321	spaceflight	Space Flight	22	22	phase_late	317	400	0.4427	-3.504	0.001
OSD-321	spaceflight	Space Flight	22	22	phase_mid	357	400	0.6231	8.178	0.0005
OSD-321	spaceflight	Space Flight	22	22	sog1_dependent	153	160	0.4369	-2.633	0.0095
OSD-321	spaceflight	Space Flight	22	22	sog1_independent	116	132	0.4158	-3.186	0.001
OSD-346	altered gravity	uG	6	14	ddr_core	10	11	0.2197	-3.071	0.0015
OSD-346	altered gravity	uG	6	14	myb3r_repressed	255	283	0.563	3.474	0.001
OSD-346	altered gravity	uG	6	14	phase_early	363	400	0.4047	-6.402	0.0005
OSD-346	altered gravity	uG	6	14	phase_late	319	400	0.5222	1.338	0.18591
OSD-346	altered gravity	uG	6	14	phase_mid	335	400	0.4865	-0.844	0.4008
OSD-346	altered gravity	uG	6	14	sog1_dependent	146	160	0.4461	-2.251	0.02699
OSD-346	altered gravity	uG	6	14	sog1_independent	119	132	0.4697	-1.147	0.25587
OSD-346	altered gravity	0.25G by centrifugation	2	14	ddr_core	10	11	0.6931	2.083	0.03698
OSD-346	altered gravity	0.25G by centrifugation	2	14	myb3r_repressed	255	283	0.5864	4.787	0.0005
OSD-346	altered gravity	0.25G by centrifugation	2	14	phase_early	363	400	0.3544	-9.731	0.0005
OSD-346	altered gravity	0.25G by centrifugation	2	14	phase_late	319	400	0.57	4.304	0.0005
OSD-346	altered gravity	0.25G by centrifugation	2	14	phase_mid	335	400	0.5527	3.371	0.0015
OSD-346	altered gravity	0.25G by centrifugation	2	14	sog1_dependent	146	160	0.5253	1.086	0.27986
OSD-346	altered gravity	0.25G by centrifugation	2	14	sog1_independent	119	132	0.4871	-0.491	0.62369
OSD-346	altered gravity	0.38G by centrifugation	4	14	ddr_core	10	11	0.6896	2.095	0.03498
OSD-346	altered gravity	0.38G by centrifugation	4	14	myb3r_repressed	255	283	0.3868	-6.402	0.0005
OSD-346	altered gravity	0.38G by centrifugation	4	14	phase_early	363	400	0.4523	-3.139	0.0035
OSD-346	altered gravity	0.38G by centrifugation	4	14	phase_late	319	400	0.5045	0.23	0.82259
OSD-346	altered gravity	0.38G by centrifugation	4	14	phase_mid	335	400	0.451	-3.25	0.003
OSD-346	altered gravity	0.38G by centrifugation	4	14	sog1_dependent	146	160	0.5845	3.53	0.001
OSD-346	altered gravity	0.38G by centrifugation	4	14	sog1_independent	119	132	0.4737	-1.008	0.31484
OSD-346	altered gravity	0.65G by centrifugation	3	14	ddr_core	10	11	0.6875	2.017	0.04498
OSD-346	altered gravity	0.65G by centrifugation	3	14	myb3r_repressed	255	283	0.5297	1.662	0.09595
OSD-346	altered gravity	0.65G by centrifugation	3	14	phase_early	363	400	0.5731	4.733	0.0005
OSD-346	altered gravity	0.65G by centrifugation	3	14	phase_late	319	400	0.4527	-3.056	0.0025
OSD-346	altered gravity	0.65G by centrifugation	3	14	phase_mid	335	400	0.5886	5.644	0.0005
OSD-346	altered gravity	0.65G by centrifugation	3	14	sog1_dependent	146	160	0.5776	3.252	0.0005
OSD-346	altered gravity	0.65G by centrifugation	3	14	sog1_independent	119	132	0.5074	0.248	0.7996
OSD-346	altered gravity	0.64G by centrifugation	3	14	ddr_core	10	11	0.6885	1.999	0.04048
OSD-346	altered gravity	0.64G by centrifugation	3	14	myb3r_repressed	255	283	0.7007	11.451	0.0005
OSD-346	altered gravity	0.64G by centrifugation	3	14	phase_early	363	400	0.4216	-5.202	0.0005
OSD-346	altered gravity	0.64G by centrifugation	3	14	phase_late	319	400	0.5569	3.575	0.0005
OSD-346	altered gravity	0.64G by centrifugation	3	14	phase_mid	335	400	0.6331	8.724	0.0005
OSD-346	altered gravity	0.64G by centrifugation	3	14	sog1_dependent	146	160	0.5757	3.222	0.0015
OSD-346	altered gravity	0.64G by centrifugation	3	14	sog1_independent	119	132	0.4646	-1.356	0.17641
OSD-346	altered gravity	0.3G by centrifugation	2	14	ddr_core	10	11	0.2807	-2.337	0.01599
OSD-346	altered gravity	0.3G by centrifugation	2	14	myb3r_repressed	255	283	0.4866	-0.796	0.42629
OSD-346	altered gravity	0.3G by centrifugation	2	14	phase_early	363	400	0.3453	-10.05	0.0005
OSD-346	altered gravity	0.3G by centrifugation	2	14	phase_late	319	400	0.6186	7.368	0.0005
OSD-346	altered gravity	0.3G by centrifugation	2	14	phase_mid	335	400	0.4531	-3.042	0.0035
OSD-346	altered gravity	0.3G by centrifugation	2	14	sog1_dependent	146	160	0.4569	-1.855	0.07046
OSD-346	altered gravity	0.3G by centrifugation	2	14	sog1_independent	119	132	0.4756	-0.979	0.32584
OSD-346	altered gravity	0.5G by centrifugation	2	14	ddr_core	10	11	0.2509	-2.768	0.004
OSD-346	altered gravity	0.5G by centrifugation	2	14	myb3r_repressed	255	283	0.4933	-0.358	0.72514
OSD-346	altered gravity	0.5G by centrifugation	2	14	phase_early	363	400	0.4062	-6.309	0.0005
OSD-346	altered gravity	0.5G by centrifugation	2	14	phase_late	319	400	0.6181	7.365	0.0005
OSD-346	altered gravity	0.5G by centrifugation	2	14	phase_mid	335	400	0.5106	0.678	0.49025
OSD-346	altered gravity	0.5G by centrifugation	2	14	sog1_dependent	146	160	0.5199	0.881	0.37831
OSD-346	altered gravity	0.5G by centrifugation	2	14	sog1_independent	119	132	0.4807	-0.708	0.48326
OSD-406	altered gravity	Suborbital Flight	12	12	ddr_core	11	11	0.3548	-1.687	0.09545
OSD-406	altered gravity	Suborbital Flight	12	12	myb3r_repressed	263	283	0.4584	-2.342	0.01699
OSD-406	altered gravity	Suborbital Flight	12	12	phase_early	351	400	0.5193	1.28	0.2039
OSD-406	altered gravity	Suborbital Flight	12	12	phase_late	342	400	0.5865	5.639	0.0005
OSD-406	altered gravity	Suborbital Flight	12	12	phase_mid	359	400	0.4028	-6.382	0.0005
OSD-406	altered gravity	Suborbital Flight	12	12	sog1_dependent	153	160	0.4959	-0.151	0.87356
OSD-406	altered gravity	Suborbital Flight	12	12	sog1_independent	114	132	0.5458	1.699	0.08646
OSD-406	genotype	sku5	6	18	ddr_core	11	11	0.6509	1.773	0.07796
OSD-406	genotype	sku5	6	18	myb3r_repressed	263	283	0.6802	10.036	0.0005
OSD-406	genotype	sku5	6	18	phase_early	351	400	0.3522	-9.91	0.0005
OSD-406	genotype	sku5	6	18	phase_late	342	400	0.5166	1.117	0.27886
OSD-406	genotype	sku5	6	18	phase_mid	359	400	0.6687	10.885	0.0005
OSD-406	genotype	sku5	6	18	sog1_dependent	153	160	0.5593	2.569	0.01
OSD-406	genotype	sku5	6	18	sog1_independent	114	132	0.4085	-3.353	0.002
OSD-411	genotype	pgm-1	32	32	ddr_core	11	11	0.5917	1.036	0.30385
OSD-411	genotype	pgm-1	32	32	myb3r_repressed	280	283	0.5955	5.746	0.0005
OSD-411	genotype	pgm-1	32	32	phase_early	387	400	0.4472	-3.581	0.0015
OSD-411	genotype	pgm-1	32	32	phase_late	390	400	0.5157	1.131	0.25737
OSD-411	genotype	pgm-1	32	32	phase_mid	388	400	0.5704	4.905	0.0005
OSD-411	genotype	pgm-1	32	32	sog1_dependent	157	160	0.5524	2.301	0.02299
OSD-411	genotype	pgm-1	32	32	sog1_independent	129	132	0.4566	-1.697	0.08796
OSD-411	treatment	Reoriented	32	32	ddr_core	11	11	0.5378	0.428	0.68916
OSD-411	treatment	Reoriented	32	32	myb3r_repressed	280	283	0.4816	-1.09	0.26937
OSD-411	treatment	Reoriented	32	32	phase_early	387	400	0.4732	-1.881	0.06147
OSD-411	treatment	Reoriented	32	32	phase_late	390	400	0.5105	0.669	0.50875
OSD-411	treatment	Reoriented	32	32	phase_mid	388	400	0.4658	-2.32	0.01949
OSD-411	treatment	Reoriented	32	32	sog1_dependent	157	160	0.5017	0.064	0.95052
OSD-411	treatment	Reoriented	32	32	sog1_independent	129	132	0.4723	-1.09	0.28336
OSD-427	genotype	elp2-5	16	16	ddr_core	11	11	0.7447	2.76	0.0055
OSD-427	genotype	elp2-5	16	16	myb3r_repressed	279	283	0.5788	4.581	0.0005
OSD-427	genotype	elp2-5	16	16	phase_early	386	400	0.6897	12.851	0.0005
OSD-427	genotype	elp2-5	16	16	phase_late	389	400	0.5409	2.787	0.0065
OSD-427	genotype	elp2-5	16	16	phase_mid	385	400	0.6849	12.858	0.0005
OSD-427	genotype	elp2-5	16	16	sog1_dependent	153	160	0.6507	6.546	0.0005
OSD-427	genotype	elp2-5	16	16	sog1_independent	127	132	0.6128	4.411	0.0005
OSD-427	genotype	met1-7	16	16	ddr_core	11	11	0.5149	0.17	0.86807
OSD-427	genotype	met1-7	16	16	myb3r_repressed	279	283	0.651	8.667	0.0005
OSD-427	genotype	met1-7	16	16	phase_early	386	400	0.6964	13.56	0.0005
OSD-427	genotype	met1-7	16	16	phase_late	389	400	0.4555	-3.088	0.002
OSD-427	genotype	met1-7	16	16	phase_mid	385	400	0.6263	8.56	0.0005
OSD-427	genotype	met1-7	16	16	sog1_dependent	153	160	0.566	2.842	0.0085
OSD-427	genotype	met1-7	16	16	sog1_independent	127	132	0.6141	4.56	0.0005
OSD-427	spaceflight	Space Flight	24	24	ddr_core	11	11	0.5943	1.077	0.27886
OSD-427	spaceflight	Space Flight	24	24	myb3r_repressed	279	283	0.2878	-12.253	0.0005
OSD-427	spaceflight	Space Flight	24	24	phase_early	386	400	0.4188	-5.504	0.0005
OSD-427	spaceflight	Space Flight	24	24	phase_late	389	400	0.5075	0.543	0.57321
OSD-427	spaceflight	Space Flight	24	24	phase_mid	385	400	0.3646	-9.177	0.0005
OSD-427	spaceflight	Space Flight	24	24	sog1_dependent	153	160	0.5241	1.029	0.29935
OSD-427	spaceflight	Space Flight	24	24	sog1_independent	127	132	0.547	1.844	0.05897
OSD-428	altered gravity	Gravity, Altered	6	3	ddr_core	11	11	0.425	-0.855	0.3938
OSD-428	altered gravity	Gravity, Altered	6	3	myb3r_repressed	276	283	0.4154	-4.959	0.0005
OSD-428	altered gravity	Gravity, Altered	6	3	phase_early	393	400	0.6369	9.541	0.0005
OSD-428	altered gravity	Gravity, Altered	6	3	phase_late	390	400	0.4717	-1.931	0.05347
OSD-428	altered gravity	Gravity, Altered	6	3	phase_mid	381	400	0.4888	-0.775	0.44628
OSD-428	altered gravity	Gravity, Altered	6	3	sog1_dependent	157	160	0.5401	1.696	0.08246
OSD-428	altered gravity	Gravity, Altered	6	3	sog1_independent	128	132	0.5614	2.377	0.01699
OSD-428	time	actuated immediately after the microgravity exposure 	3	3	ddr_core	11	11	0.4936	-0.105	0.91454
OSD-428	time	actuated immediately after the microgravity exposure 	3	3	myb3r_repressed	276	283	0.4188	-4.798	0.0005
OSD-428	time	actuated immediately after the microgravity exposure 	3	3	phase_early	393	400	0.6462	10.113	0.0005
OSD-428	time	actuated immediately after the microgravity exposure 	3	3	phase_late	390	400	0.4698	-2.058	0.04348
OSD-428	time	actuated immediately after the microgravity exposure 	3	3	phase_mid	381	400	0.4956	-0.285	0.76962
OSD-428	time	actuated immediately after the microgravity exposure 	3	3	sog1_dependent	157	160	0.5412	1.77	0.07646
OSD-428	time	actuated immediately after the microgravity exposure 	3	3	sog1_independent	128	132	0.5442	1.689	0.08996
OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	3	3	ddr_core	11	11	0.3655	-1.552	0.12244
OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	3	3	myb3r_repressed	276	283	0.4401	-3.469	0.0005
OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	3	3	phase_early	393	400	0.5564	3.87	0.0005
OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	3	3	phase_late	390	400	0.4911	-0.619	0.54673
OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	3	3	phase_mid	381	400	0.4897	-0.731	0.47876
OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	3	3	sog1_dependent	157	160	0.5211	0.897	0.38081
OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	3	3	sog1_independent	128	132	0.5587	2.376	0.01649
OSD-434	altered gravity	Gravity, Altered	6	3	ddr_core	11	11	0.4664	-0.368	0.72714
OSD-434	altered gravity	Gravity, Altered	6	3	myb3r_repressed	276	283	0.5653	3.864	0.0005
OSD-434	altered gravity	Gravity, Altered	6	3	phase_early	393	400	0.5233	1.613	0.10545
OSD-434	altered gravity	Gravity, Altered	6	3	phase_late	390	400	0.4438	-3.868	0.0005
OSD-434	altered gravity	Gravity, Altered	6	3	phase_mid	381	400	0.5767	5.008	0.0005
OSD-434	altered gravity	Gravity, Altered	6	3	sog1_dependent	157	160	0.5025	0.114	0.90105
OSD-434	altered gravity	Gravity, Altered	6	3	sog1_independent	128	132	0.5142	0.563	0.57571
OSD-434	time	first-actuated KFT	3	3	ddr_core	11	11	0.4179	-0.945	0.35282
OSD-434	time	first-actuated KFT	3	3	myb3r_repressed	276	283	0.5915	5.294	0.0005
OSD-434	time	first-actuated KFT	3	3	phase_early	393	400	0.5677	4.62	0.0005
OSD-434	time	first-actuated KFT	3	3	phase_late	390	400	0.4596	-2.741	0.0075
OSD-434	time	first-actuated KFT	3	3	phase_mid	381	400	0.5962	6.439	0.0005
OSD-434	time	first-actuated KFT	3	3	sog1_dependent	157	160	0.5051	0.181	0.85407
OSD-434	time	first-actuated KFT	3	3	sog1_independent	128	132	0.5224	0.851	0.38831
OSD-434	time	last-actuated KFT	3	3	ddr_core	11	11	0.5132	0.123	0.90605
OSD-434	time	last-actuated KFT	3	3	myb3r_repressed	276	283	0.505	0.296	0.74763
OSD-434	time	last-actuated KFT	3	3	phase_early	393	400	0.4511	-3.381	0.001
OSD-434	time	last-actuated KFT	3	3	phase_late	390	400	0.4956	-0.302	0.75612
OSD-434	time	last-actuated KFT	3	3	phase_mid	381	400	0.5176	1.19	0.23838
OSD-434	time	last-actuated KFT	3	3	sog1_dependent	157	160	0.49	-0.435	0.66817
OSD-434	time	last-actuated KFT	3	3	sog1_independent	128	132	0.5117	0.481	0.63118
OSD-437	altered gravity	uG	8	11	ddr_core	11	11	0.3996	-1.195	0.23938
OSD-437	altered gravity	uG	8	11	myb3r_repressed	260	283	0.4743	-1.453	0.14543
OSD-437	altered gravity	uG	8	11	phase_early	363	400	0.2975	-13.526	0.0005
OSD-437	altered gravity	uG	8	11	phase_late	320	400	0.5193	1.151	0.25537
OSD-437	altered gravity	uG	8	11	phase_mid	362	400	0.4609	-2.605	0.0095
OSD-437	altered gravity	uG	8	11	sog1_dependent	149	160	0.4895	-0.433	0.66817
OSD-437	altered gravity	uG	8	11	sog1_independent	119	132	0.4044	-3.583	0.001
OSD-437	spaceflight	Space Flight	16	3	ddr_core	11	11	0.4022	-1.109	0.27586
OSD-437	spaceflight	Space Flight	16	3	myb3r_repressed	260	283	0.2644	-13.09	0.0005
OSD-437	spaceflight	Space Flight	16	3	phase_early	363	400	0.6097	7.371	0.0005
OSD-437	spaceflight	Space Flight	16	3	phase_late	320	400	0.4747	-1.574	0.12144
OSD-437	spaceflight	Space Flight	16	3	phase_mid	362	400	0.3191	-12.155	0.0005
OSD-437	spaceflight	Space Flight	16	3	sog1_dependent	149	160	0.4747	-1.056	0.28786
OSD-437	spaceflight	Space Flight	16	3	sog1_independent	119	132	0.529	1.103	0.26437
OSD-498	ionizing radiation	Cobalt-60 gamma radiation	8	8	ddr_core	11	11	0.8839	4.389	0.0005
OSD-498	ionizing radiation	Cobalt-60 gamma radiation	8	8	myb3r_repressed	283	283	0.2213	-16.564	0.0005
OSD-498	ionizing radiation	Cobalt-60 gamma radiation	8	8	phase_early	400	400	0.8645	25.271	0.0005
OSD-498	ionizing radiation	Cobalt-60 gamma radiation	8	8	phase_late	400	400	0.449	-3.662	0.0005
OSD-498	ionizing radiation	Cobalt-60 gamma radiation	8	8	phase_mid	400	400	0.4948	-0.375	0.71914
OSD-498	ionizing radiation	Cobalt-60 gamma radiation	8	8	sog1_dependent	160	160	0.958	19.672	0.0005
OSD-498	ionizing radiation	Cobalt-60 gamma radiation	8	8	sog1_independent	132	132	0.8581	14.159	0.0005
OSD-502	genotype	myb3r135	4	4	ddr_core	11	11	0.2606	-2.778	0.0045
OSD-502	genotype	myb3r135	4	4	myb3r_repressed	282	283	0.7218	13.141	0.0005
OSD-502	genotype	myb3r135	4	4	phase_early	398	400	0.4914	-0.594	0.54223
OSD-502	genotype	myb3r135	4	4	phase_late	398	400	0.5195	1.397	0.16592
OSD-502	genotype	myb3r135	4	4	phase_mid	399	400	0.6003	7.124	0.0005
OSD-502	genotype	myb3r135	4	4	sog1_dependent	160	160	0.4053	-4.145	0.0005
OSD-502	genotype	myb3r135	4	4	sog1_independent	131	132	0.5288	1.167	0.25137
OSD-502	ionizing radiation	Cobalt-60 gamma radiation	4	4	ddr_core	11	11	0.9264	4.853	0.0005
OSD-502	ionizing radiation	Cobalt-60 gamma radiation	4	4	myb3r_repressed	282	283	0.1782	-19.405	0.0005
OSD-502	ionizing radiation	Cobalt-60 gamma radiation	4	4	phase_early	398	400	0.7789	19.706	0.0005
OSD-502	ionizing radiation	Cobalt-60 gamma radiation	4	4	phase_late	398	400	0.4308	-4.759	0.0005
OSD-502	ionizing radiation	Cobalt-60 gamma radiation	4	4	phase_mid	399	400	0.4471	-3.804	0.001
OSD-502	ionizing radiation	Cobalt-60 gamma radiation	4	4	sog1_dependent	160	160	0.9826	21.716	0.0005
OSD-502	ionizing radiation	Cobalt-60 gamma radiation	4	4	sog1_independent	131	132	0.8443	13.793	0.0005
OSD-508	genotype	sog1-1	18	18	ddr_core	11	11	0.1798	-3.651	0.001
OSD-508	genotype	sog1-1	18	18	myb3r_repressed	283	283	0.8411	20.246	0.0005
OSD-508	genotype	sog1-1	18	18	phase_early	400	400	0.2106	-20.06	0.0005
OSD-508	genotype	sog1-1	18	18	phase_late	400	400	0.5312	2.201	0.02449
OSD-508	genotype	sog1-1	18	18	phase_mid	400	400	0.5262	1.871	0.06697
OSD-508	genotype	sog1-1	18	18	sog1_dependent	160	160	0.0181	-21.152	0.0005
OSD-508	genotype	sog1-1	18	18	sog1_independent	132	132	0.1574	-13.706	0.0005
OSD-508	ionizing radiation	Cobalt-60 gamma radiation	32	4	ddr_core	11	11	0.8335	3.822	0.0005
OSD-508	ionizing radiation	Cobalt-60 gamma radiation	32	4	myb3r_repressed	283	283	0.1451	-20.575	0.0005
OSD-508	ionizing radiation	Cobalt-60 gamma radiation	32	4	phase_early	400	400	0.805	21.728	0.0005
OSD-508	ionizing radiation	Cobalt-60 gamma radiation	32	4	phase_late	400	400	0.4744	-1.84	0.06697
OSD-508	ionizing radiation	Cobalt-60 gamma radiation	32	4	phase_mid	400	400	0.46	-2.787	0.0035
OSD-508	ionizing radiation	Cobalt-60 gamma radiation	32	4	sog1_dependent	160	160	0.9129	18.298	0.0005
OSD-508	ionizing radiation	Cobalt-60 gamma radiation	32	4	sog1_independent	132	132	0.7873	11.602	0.0005
OSD-510	genotype	sog1-1	24	24	ddr_core	11	11	0.134	-4.17	0.0005
OSD-510	genotype	sog1-1	24	24	myb3r_repressed	283	283	0.7239	13.036	0.0005
OSD-510	genotype	sog1-1	24	24	phase_early	400	400	0.3018	-14.154	0.0005
OSD-510	genotype	sog1-1	24	24	phase_late	400	400	0.6025	7.239	0.0005
OSD-510	genotype	sog1-1	24	24	phase_mid	400	400	0.4796	-1.417	0.15342
OSD-510	genotype	sog1-1	24	24	sog1_dependent	160	160	0.0449	-19.796	0.0005
OSD-510	genotype	sog1-1	24	24	sog1_independent	132	132	0.2312	-10.592	0.0005
OSD-510	ionizing radiation	Cobalt-60 gamma radiation	24	24	ddr_core	11	11	0.8896	4.476	0.0005
OSD-510	ionizing radiation	Cobalt-60 gamma radiation	24	24	myb3r_repressed	283	283	0.1163	-22.527	0.0005
OSD-510	ionizing radiation	Cobalt-60 gamma radiation	24	24	phase_early	400	400	0.8597	25.067	0.0005
OSD-510	ionizing radiation	Cobalt-60 gamma radiation	24	24	phase_late	400	400	0.441	-4.146	0.0005
OSD-510	ionizing radiation	Cobalt-60 gamma radiation	24	24	phase_mid	400	400	0.4429	-3.913	0.0005
OSD-510	ionizing radiation	Cobalt-60 gamma radiation	24	24	sog1_dependent	160	160	0.9689	20.775	0.0005
OSD-510	ionizing radiation	Cobalt-60 gamma radiation	24	24	sog1_independent	132	132	0.863	14.493	0.0005
OSD-518	genotype	lazy1 mutant	7	7	ddr_core	10	11	0.6623	1.815	0.07146
OSD-518	genotype	lazy1 mutant	7	7	myb3r_repressed	248	283	0.5729	3.991	0.0005
OSD-518	genotype	lazy1 mutant	7	7	phase_early	351	400	0.6629	11.031	0.0005
OSD-518	genotype	lazy1 mutant	7	7	phase_late	267	400	0.4356	-3.759	0.0005
OSD-518	genotype	lazy1 mutant	7	7	phase_mid	360	400	0.5756	4.887	0.0005
OSD-518	genotype	lazy1 mutant	7	7	sog1_dependent	153	160	0.5347	1.43	0.15942
OSD-518	genotype	lazy1 mutant	7	7	sog1_independent	117	132	0.5774	2.806	0.0035
OSD-518	genotype	tac1 mutant	7	7	ddr_core	10	11	0.5288	0.307	0.75362
OSD-518	genotype	tac1 mutant	7	7	myb3r_repressed	248	283	0.5452	2.527	0.01249
OSD-518	genotype	tac1 mutant	7	7	phase_early	351	400	0.518	1.167	0.24638
OSD-518	genotype	tac1 mutant	7	7	phase_late	267	400	0.44	-3.307	0.001
OSD-518	genotype	tac1 mutant	7	7	phase_mid	360	400	0.5539	3.532	0.0005
OSD-518	genotype	tac1 mutant	7	7	sog1_dependent	153	160	0.5857	3.724	0.0015
OSD-518	genotype	tac1 mutant	7	7	sog1_independent	117	132	0.5007	0.031	0.97301
OSD-519	genotype	puchi-1 mutant	18	18	ddr_core	11	11	0.6325	1.524	0.13193
OSD-519	genotype	puchi-1 mutant	18	18	myb3r_repressed	261	283	0.4987	-0.069	0.94503
OSD-519	genotype	puchi-1 mutant	18	18	phase_early	357	400	0.3611	-8.916	0.0005
OSD-519	genotype	puchi-1 mutant	18	18	phase_late	333	400	0.3968	-6.591	0.0005
OSD-519	genotype	puchi-1 mutant	18	18	phase_mid	354	400	0.459	-2.761	0.01049
OSD-519	genotype	puchi-1 mutant	18	18	sog1_dependent	153	160	0.5117	0.51	0.61719
OSD-519	genotype	puchi-1 mutant	18	18	sog1_independent	113	132	0.3964	-3.858	0.0005
OSD-522	spaceflight	Space Flight	6	6	ddr_core	8	11	0.7179	2.126	0.02699
OSD-522	spaceflight	Space Flight	6	6	myb3r_repressed	173	283	0.5891	4.126	0.0005
OSD-522	spaceflight	Space Flight	6	6	phase_early	300	400	0.6373	8.577	0.0005
OSD-522	spaceflight	Space Flight	6	6	phase_late	236	400	0.505	0.31	0.77011
OSD-522	spaceflight	Space Flight	6	6	phase_mid	222	400	0.5395	2.054	0.04148
OSD-522	spaceflight	Space Flight	6	6	sog1_dependent	122	160	0.509	0.305	0.77361
OSD-522	spaceflight	Space Flight	6	6	sog1_independent	89	132	0.6001	3.261	0.002
OSD-624	altered gravity	Suborbital Flight	18	18	ddr_core	11	11	0.308	-2.305	0.02199
OSD-624	altered gravity	Suborbital Flight	18	18	myb3r_repressed	275	283	0.3559	-8.228	0.0005
OSD-624	altered gravity	Suborbital Flight	18	18	phase_early	388	400	0.5616	4.158	0.0005
OSD-624	altered gravity	Suborbital Flight	18	18	phase_late	375	400	0.4544	-3.042	0.003
OSD-624	altered gravity	Suborbital Flight	18	18	phase_mid	377	400	0.3287	-11.812	0.0005
OSD-624	altered gravity	Suborbital Flight	18	18	sog1_dependent	155	160	0.4878	-0.478	0.62119
OSD-624	altered gravity	Suborbital Flight	18	18	sog1_independent	123	132	0.5444	1.647	0.10145
OSD-658	ionizing radiation	mixed radiation	8	6	ddr_core	10	11	0.9165	4.654	0.0005
OSD-658	ionizing radiation	mixed radiation	8	6	myb3r_repressed	241	283	0.351	-7.916	0.0005
OSD-658	ionizing radiation	mixed radiation	8	6	phase_early	339	400	0.659	10.395	0.0005
OSD-658	ionizing radiation	mixed radiation	8	6	phase_late	300	400	0.4985	-0.073	0.93453
OSD-658	ionizing radiation	mixed radiation	8	6	phase_mid	319	400	0.3444	-9.837	0.0005
OSD-658	ionizing radiation	mixed radiation	8	6	sog1_dependent	146	160	0.6826	7.707	0.0005
OSD-658	ionizing radiation	mixed radiation	8	6	sog1_independent	108	132	0.5743	2.633	0.009
OSD-678	genotype	phyD mutant	12	24	ddr_core	11	11	0.5687	0.78	0.42979
OSD-678	genotype	phyD mutant	12	24	myb3r_repressed	266	283	0.49	-0.584	0.55622
OSD-678	genotype	phyD mutant	12	24	phase_early	379	400	0.4539	-3.177	0.001
OSD-678	genotype	phyD mutant	12	24	phase_late	339	400	0.5463	3.042	0.007
OSD-678	genotype	phyD mutant	12	24	phase_mid	369	400	0.5286	1.939	0.05347
OSD-678	genotype	phyD mutant	12	24	sog1_dependent	156	160	0.5588	2.532	0.01149
OSD-678	genotype	phyD mutant	12	24	sog1_independent	120	132	0.5433	1.611	0.10595
OSD-678	spaceflight	Space Flight	18	18	ddr_core	11	11	0.4324	-0.748	0.45877
OSD-678	spaceflight	Space Flight	18	18	myb3r_repressed	266	283	0.2815	-12.281	0.0005
OSD-678	spaceflight	Space Flight	18	18	phase_early	379	400	0.4905	-0.672	0.49875
OSD-678	spaceflight	Space Flight	18	18	phase_late	339	400	0.4185	-5.317	0.0005
OSD-678	spaceflight	Space Flight	18	18	phase_mid	369	400	0.3286	-11.651	0.0005
OSD-678	spaceflight	Space Flight	18	18	sog1_dependent	156	160	0.511	0.487	0.62569
OSD-678	spaceflight	Space Flight	18	18	sog1_independent	120	132	0.4972	-0.096	0.92254
OSD-782	absorbed radiation dose	10 {centigray}	12	12	ddr_core	10	11	0.4218	-0.877	0.38681
OSD-782	absorbed radiation dose	10 {centigray}	12	12	myb3r_repressed	244	283	0.3116	-10.143	0.0005
OSD-782	absorbed radiation dose	10 {centigray}	12	12	phase_early	358	400	0.6885	12.727	0.0005
OSD-782	absorbed radiation dose	10 {centigray}	12	12	phase_late	298	400	0.5744	4.462	0.0005
OSD-782	absorbed radiation dose	10 {centigray}	12	12	phase_mid	347	400	0.3801	-7.739	0.0005
OSD-782	absorbed radiation dose	10 {centigray}	12	12	sog1_dependent	145	160	0.4823	-0.769	0.44428
OSD-782	absorbed radiation dose	10 {centigray}	12	12	sog1_independent	115	132	0.6177	4.426	0.0005
OSD-782	absorbed radiation dose	100 {centigray}	12	12	ddr_core	10	11	0.8459	3.767	0.0005
OSD-782	absorbed radiation dose	100 {centigray}	12	12	myb3r_repressed	244	283	0.297	-10.732	0.0005
