accession,sample_name,cohort,cohort_name,role,genotype,arm,time_minutes,time_days,dose,radiation,spaceflight,altered_gravity,organism_part
OSD-193,GSM2516736,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516737,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516738,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516739,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516740,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516741,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516742,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516743,B,spaceflight_development,core,Sku6,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516744,B,spaceflight_development,core,Sku6,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516745,B,spaceflight_development,core,Sku6,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516746,B,spaceflight_development,core,Sku6,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516747,B,spaceflight_development,core,Sku6,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516748,B,spaceflight_development,core,Sku6,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516749,B,spaceflight_development,core,Sku6,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516750,B,spaceflight_development,core,Sku6,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516751,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516752,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516753,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516754,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516755,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516756,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516757,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516758,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516759,B,spaceflight_development,core,Sku6,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516760,B,spaceflight_development,core,Sku6,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516761,B,spaceflight_development,core,Sku6,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516762,B,spaceflight_development,core,Sku6,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-193,GSM2516763,B,spaceflight_development,core,Sku6,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516764,B,spaceflight_development,core,Sku6,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516765,B,spaceflight_development,core,Sku6,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-193,GSM2516766,B,spaceflight_development,core,Sku6,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465142,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465144,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465146,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465148,B,spaceflight_development,core,Col-0,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465150,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465152,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465155,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465157,B,spaceflight_development,core,Col-0,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465160,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
