TF	name	n_missions	flight_mean_z	sign_consistency	flight_t	flight_p	radiation_mean_z	flight_vs_radiation_t	flight_vs_radiation_p	flight_q	flight_vs_radiation_q
AT1G50640		14	0.9246	0.786	1.934	0.07514286022264617	-2.1956	3.522	0.002820406091508226	0.5783253950205715	0.031096178277351148
AT5G25190		14	1.1939	0.643	1.931	0.07552695464604572	-0.9582	2.219	0.03871008006579376	0.5783253950205715	0.14562363453322416
AT4G26030		14	-1.4342	0.643	-1.93	0.07565917109690974	-1.0052	-0.398	0.6949484926370271	0.5783253950205715	0.8385712401337423
AT3G24520		14	1.4035	0.786	1.921	0.07692324696309752	0.1397	1.217	0.23698324536290857	0.5783253950205715	0.4449912803773482
AT3G13810		14	0.7289	0.643	1.901	0.07975626173804744	-0.1165	0.99	0.33972289296210856	0.5783253950205715	0.5458598347933541
AT4G37180		14	0.6179	0.786	1.897	0.08027260023552509	1.0108	-0.637	0.5334888078524135	0.5783253950205715	0.7266485486265633
AT5G54230		14	-1.2683	0.5	-1.887	0.08171129422521314	0.3452	-1.486	0.1539975379900784	0.5783253950205715	0.33951085119673097
AT5G62320		14	-1.3997	0.571	-1.881	0.08252465198021361	-1.4731	0.071	0.9443141226310512	0.5783253950205715	0.9730541176676484
AT4G17460		14	0.4755	0.786	1.879	0.08288069119609004	1.0156	-1.198	0.24744568521783353	0.5783253950205715	0.45214746743067014
AT5G39820		14	0.9045	0.714	1.877	0.08308143393315552	1.1978	-0.53	0.6021593559879608	0.5783253950205715	0.7862907293065935
AT3G50060		14	-0.4471	0.714	-1.875	0.08339953776389679	-1.5737	1.884	0.08318067579867743	0.5783253950205715	0.2332996469146337
AT3G06740		14	1.5223	0.857	1.863	0.0852127181199912	2.2676	-0.608	0.5499574150771607	0.5783253950205715	0.7356897706257652
AT2G03500		14	0.8793	0.786	1.855	0.08636154998510212	0.8805	-0.001	0.998844381994981	0.5783253950205715	0.998844381994981
AT4G27950		14	0.6234	0.714	1.853	0.08668651749756036	-1.2035	2.229	0.044612043849179786	0.5783253950205715	0.15663784284823126
AT2G18380		14	2.1446	0.714	1.853	0.08676124766951615	4.5618	-1.255	0.22565174022268839	0.5783253950205715	0.43479237750225325
AT1G71450		14	1.34	0.643	1.85	0.08711444111449348	-1.2165	2.361	0.028350814442155044	0.5783253950205715	0.1232870279411146
AT3G15210		14	0.8426	0.786	1.843	0.08828799855867743	-2.2613	2.716	0.018221574207316408	0.5783253950205715	0.0959669574918664
AT1G69560		14	0.5506	0.786	1.823	0.09135485011203535	-0.1546	1.436	0.1677128992319617	0.5783253950205715	0.3613450647088629
AT5G65130		14	0.7975	0.643	1.821	0.09171418843085197	-1.0517	2.727	0.01314330766241079	0.5783253950205715	0.07397078778098236
AT2G32460		14	-0.5324	0.786	-1.813	0.09290800051349596	-1.9083	2.791	0.0121097059792231	0.5783253950205715	0.07086420535989814
AT3G47600		14	0.5443	0.786	1.809	0.09368690569401436	-0.1317	1.557	0.1344575719798977	0.5783253950205715	0.3155093520716411
AT3G50260		14	1.3027	0.714	1.802	0.09470383908193614	0.9642	0.345	0.733717443251264	0.5783253950205715	0.8608467032205424
AT1G76890		14	0.657	0.571	1.791	0.09663726953197807	-0.6381	2.739	0.011990090448506427	0.5783253950205715	0.07086420535989814
AT4G11660		14	1.6281	0.786	1.783	0.09790782802510126	0.8097	0.641	0.5282454567118902	0.5783253950205715	0.7218311906061284
AT1G75490		14	0.9049	0.714	1.782	0.09811125823232342	-1.4829	3.708	0.0012320368083463466	0.5783253950205715	0.020137429212281666
AT1G68670		14	0.5791	0.643	1.778	0.09873247870649739	1.3257	-1.138	0.2732318416885927	0.5783253950205715	0.48688681564057495
AT1G28370		14	0.8801	0.714	1.778	0.09884537373515526	-1.8668	2.582	0.021809713818468655	0.5783253950205715	0.10235449851439744
AT5G60130		14	0.562	0.643	1.772	0.09975232411475667	0.1148	0.982	0.3373412400827731	0.5783253950205715	0.5447691009101443
AT3G04030		14	0.9391	0.643	1.767	0.10076458994327926	0.6294	0.324	0.7501415696117425	0.5783253950205715	0.8664595262266201
AT1G28160		14	0.9949	0.643	1.765	0.10102117953218794	-1.6273	2.608	0.018551641984503525	0.5783253950205715	0.09598739090350002
AT5G44210		14	0.5962	0.786	1.764	0.10118204786621003	-1.3585	2.467	0.028308900677033094	0.5783253950205715	0.1232870279411146
AT1G69780		14	1.2466	0.714	1.758	0.10222768210491381	0.2937	0.731	0.47548123348214055	0.5783253950205715	0.6809006183399837
AT4G28140		14	0.5772	0.643	1.757	0.10248804468718987	-0.3564	1.786	0.09006475090971351	0.5783253950205715	0.24534880420232302
AT4G06746		14	0.8039	0.643	1.73	0.1072964828919044	0.8528	-0.065	0.9487001246594178	0.5964756561069235	0.9754530565912451
AT2G02540		14	1.3465	0.786	1.722	0.10876949151040428	-0.1208	1.006	0.3296729170500542	0.5964756561069235	0.5388446989025023
AT1G34670		14	-1.5319	0.5	-1.709	0.1111318739812701	-0.3747	-0.928	0.36350010161650326	0.5964756561069235	0.5607755526548286
AT3G61120		14	-0.42	0.643	-1.706	0.11179409383996751	0.3111	-1.447	0.16926735790826541	0.5964756561069235	0.3630440165091304
AT1G18960		14	0.3307	0.786	1.705	0.11199648395256583	0.6144	-1.035	0.3122310372343488	0.5964756561069235	0.5192895145581801
AT1G63030		14	0.5189	0.571	1.686	0.11571723146548366	1.5947	-1.816	0.08892972712494841	0.6029568879052517	0.24507378289084622
AT2G22430		14	1.1151	0.786	1.681	0.11668638124823384	-1.4254	1.934	0.0721843692272145	0.6029568879052517	0.2112061173685165
AT2G42200		14	0.6913	0.786	1.674	0.11795337258826638	0.1342	0.658	0.5205234460978678	0.6029568879052517	0.7172328879371783
AT4G36620		14	0.8862	0.786	1.67	0.11878890272164154	2.0971	-1.685	0.10626831824854155	0.6029568879052517	0.27494404225613367
AT5G13910		14	0.7874	0.786	1.666	0.11957372882509211	0.4	0.514	0.6130635455811817	0.6029568879052517	0.7896525016453265
AT1G70920		14	1.0382	0.857	1.637	0.12562155224328317	-0.9787	1.936	0.06840469679160266	0.6102166906379313	0.20784504025140807
AT5G10510		14	0.4831	0.714	1.636	0.12583928704936667	-0.1898	1.389	0.1813940587584144	0.6102166906379313	0.3706068269460708
AT1G06280		14	0.7963	0.714	1.635	0.12605730245660898	0.303	0.665	0.5135864333427729	0.6102166906379313	0.7172328879371783
AT3G12820		14	-1.2503	0.5	-1.626	0.12790030019764934	-2.5096	1.029	0.3164345938241638	0.6102166906379313	0.5244405506036841
AT1G19210		14	0.8813	0.643	1.625	0.12814088261056159	-0.8462	2.238	0.036111067382673195	0.6102166906379313	0.14066732114265418
AT1G52150		14	0.804	0.786	1.617	0.1298720912200396	-0.6606	1.791	0.08987452701972137	0.6102166906379313	0.24534880420232302
AT5G47230		14	0.5441	0.786	1.605	0.13252943865162123	-0.8859	2.202	0.04319349602804595	0.6102166906379313	0.1557336977977937
AT3G20840		14	0.4426	0.714	1.605	0.1325726155449503	0.4211	0.048	0.9622093740895109	0.6102166906379313	0.9818084087669229
AT2G22540		14	0.3037	0.786	1.604	0.13272460649866744	0.0936	0.751	0.461400097361768	0.6102166906379313	0.6708700802131228
AT5G18090		14	0.2699	0.786	1.599	0.13388720638469379	-1.0911	4.659	0.00021612489462254355	0.6102166906379313	0.006073799480324569
AT5G64750		14	0.6867	0.714	1.578	0.13854406602140845	-2.183	3.277	0.005182840931537327	0.6150281377320762	0.04779269558713395
AT2G01930		14	1.3421	0.714	1.566	0.1413810930916155	-4.4396	4.292	0.00038352411406893913	0.6150281377320762	0.009089521503433857
AT5G65410		14	1.1019	0.786	1.56	0.14275909028088637	0.5884	0.409	0.687852029731535	0.6150281377320762	0.8369246015192557
AT3G07220		14	0.5204	0.714	1.556	0.14374523262584613	1.8564	-2.688	0.01399476811527766	0.6150281377320762	0.07713395449583269
AT4G38170		14	0.881	0.786	1.551	0.14491787147969373	-1.3741	2.052	0.057666861770295286	0.6150281377320762	0.1872198115008217
AT1G34370		14	0.5559	0.643	1.544	0.14660957925377568	-0.0913	1.088	0.2908066082963397	0.6150281377320762	0.5082061837762647
AT5G05550		14	1.287	0.857	1.519	0.15276653852297706	0.8109	0.386	0.7037463702779055	0.6150281377320762	0.8466390342937239
AT4G14410		14	-0.5244	0.5	-1.519	0.15279064058086378	-1.9924	1.629	0.12901097300193862	0.6150281377320762	0.3057560060145945
AT5G10140		14	0.3517	0.786	1.517	0.1532778278668918	0.0053	0.961	0.34817575853619365	0.6150281377320762	0.5525764557416811
AT2G42430		14	0.4637	0.571	1.511	0.1546272390960867	-0.6637	2.255	0.03647530934808836	0.6150281377320762	0.14066732114265418
AT2G30340		14	0.4521	0.571	1.506	0.15604192750770116	-1.1453	3.165	0.005397382981163085	0.6150281377320762	0.04779269558713395
AT5G67190		14	1.041	0.643	1.501	0.15726811834751842	1.1824	-0.141	0.8891425410500765	0.6150281377320762	0.9378437831709291
AT5G42520		14	0.5231	0.643	1.499	0.1578723879737577	-0.3663	1.671	0.1104363718484417	0.6150281377320762	0.27633787816530303
AT1G67260		14	0.3393	0.714	1.497	0.15837659456042869	0.4851	-0.42	0.6789273289917865	0.6150281377320762	0.8369246015192557
AT4G34410		14	0.8332	0.714	1.495	0.15870916130288668	-1.39	2.542	0.019776260320612773	0.6150281377320762	0.09972284459543036
AT3G21175		14	0.5691	0.786	1.49	0.1600708469136895	-0.1087	1.517	0.1445879982972813	0.6150281377320762	0.3255684983788048
AT5G45580		14	0.6043	0.5	1.484	0.16155465319467457	0.5363	0.085	0.9331535567321968	0.6150281377320762	0.9657528076224045
AT1G14580		14	0.4132	0.643	1.481	0.16247449707618114	0.3919	0.039	0.9697950316904995	0.6150281377320762	0.9863942727071718
AT2G06200		14	0.3859	0.643	1.474	0.16421189062195696	-0.368	2.49	0.021708983061657663	0.6150281377320762	0.10235449851439744
AT1G12610		14	0.6371	0.643	1.473	0.16443848159501165	2.9505	-2.795	0.013264803715998948	0.6150281377320762	0.07397078778098236
AT1G30490		14	0.6907	0.786	1.464	0.1669613428389364	-0.2226	1.215	0.23939404324097846	0.6150281377320762	0.4449912803773482
AT4G36740		14	1.303	0.786	1.463	0.1671631330846378	-0.331	1.08	0.29489651683251294	0.6150281377320762	0.5082061837762647
AT4G18890		14	0.4052	0.571	1.463	0.16719418254412838	-0.8276	3.122	0.00513092091961499	0.6150281377320762	0.04779269558713395
AT3G46070		14	-0.4375	0.714	-1.461	0.16788450142298844	-2.3017	3.129	0.006932958005654075	0.6150281377320762	0.05263971804144956
AT5G03790		14	1.2125	0.714	1.459	0.1684183512474754	0.3531	0.547	0.5918638002855636	0.6150281377320762	0.7750857973247457
AT3G26620		14	0.4435	0.786	1.452	0.17030430842438357	0.2712	0.277	0.7857502867169202	0.6150281377320762	0.8867753235805242
AT5G22990		14	1.4662	0.786	1.448	0.17138022622066515	4.5095	-2.165	0.04176519517764244	0.6150281377320762	0.15228232703232703
AT3G24050		14	1.5288	0.571	1.439	0.1736619599588854	1.8893	-0.231	0.8194021789639667	0.6150281377320762	0.9032479833230703
AT4G17785		14	-0.7816	0.571	-1.434	0.17527058880218674	-0.4157	-0.469	0.6435968059386462	0.6150281377320762	0.8135063627064488
AT4G05100		14	-1.0252	0.571	-1.421	0.17882875948517943	-0.5979	-0.406	0.6886088493512863	0.6150281377320762	0.8369246015192557
AT1G16490		14	-1.185	0.5	-1.42	0.17906955285438952	-2.3351	0.853	0.4044316739276319	0.6150281377320762	0.608573376005389
AT3G23250		14	-0.8446	0.571	-1.42	0.17912909086816584	-2.0951	1.162	0.2619025060245185	0.6150281377320762	0.4738236177695487
AT3G50700		14	0.4099	0.571	1.415	0.1804986624832208	-0.0273	0.961	0.3485661609003432	0.6150281377320762	0.5525764557416811
AT2G45420		14	0.3603	0.571	1.412	0.1815537444143765	-1.1479	3.083	0.0073394202152952046	0.6150281377320762	0.05435758096953011
AT5G63090		14	0.5132	0.571	1.411	0.1816467652866028	-0.7439	2.278	0.03387851672445479	0.6150281377320762	0.13639359523385283
AT5G18560		14	0.6439	0.786	1.407	0.18292993828436982	-0.7603	1.676	0.11282478471447921	0.6150281377320762	0.279194935083659
AT3G02940		14	-1.2505	0.571	-1.405	0.18357699020930418	0.3016	-1.271	0.21728633324540156	0.6150281377320762	0.4238424771947339
AT3G11440		14	-0.5125	0.714	-1.402	0.184248935776276	-1.5047	1.522	0.1466226435011488	0.6150281377320762	0.327826099148795
AT1G06180		14	-0.9498	0.5	-1.389	0.18819041984305263	-1.296	0.305	0.7639434037852526	0.6214011089507554	0.8746598391164486
AT1G55110		14	0.4788	0.571	1.372	0.19314827485082636	0.2572	0.215	0.83369123355579	0.6214011089507554	0.9110084241008737
AT3G04070		14	1.2134	0.714	1.372	0.19332947552884464	3.1205	-1.542	0.137610499227065	0.6214011089507554	0.31663775064868355
AT5G56110		14	-1.1065	0.571	-1.37	0.1938751157461963	-0.9662	-0.109	0.9146372036258739	0.6214011089507554	0.9549295914508023
AT4G16750		14	0.9407	0.571	1.361	0.19660976690140197	0.7058	0.235	0.8164818545447643	0.6214011089507554	0.9022237221001296
AT3G30210		14	-0.501	0.429	-1.358	0.1975062861778976	-1.3121	1.156	0.2649828663610295	0.6214011089507554	0.47757368309934595
AT4G36780		14	0.955	0.571	1.357	0.1977487421931333	0.5089	0.408	0.6878595917620023	0.6214011089507554	0.8369246015192557
AT2G01060		14	0.423	0.571	1.357	0.19784114275981501	0.004	0.66	0.5195454631553287	0.6214011089507554	0.7172328879371783
AT5G66700		14	1.0341	0.714	1.357	0.19795689335773012	0.2174	0.624	0.5409381640455407	0.6214011089507554	0.7276802940580035
AT1G68550		14	0.6748	0.643	1.346	0.20145535012220236	-1.7607	2.322	0.03549755529661828	0.6258835464827677	0.14066732114265418
AT3G27785		14	-0.4176	0.643	-1.344	0.2020257017127921	-2.0227	2.63	0.018832969101319624	0.6258835464827677	0.09598739090350002
AT1G53170		14	0.7415	0.714	1.33	0.20622797854132413	-2.5488	2.905	0.011105196184056596	0.633025810133779	0.06748542296465161
AT3G01220		14	1.0004	0.714	1.324	0.2083340729530086	0.6962	0.211	0.8352387365042133	0.633025810133779	0.9110084241008737
AT2G38090		14	0.5434	0.643	1.324	0.2083376083984589	0.215	0.599	0.5551219044276461	0.633025810133779	0.7391229851087199
AT1G09540		14	-0.8183	0.571	-1.318	0.21016683513995008	-1.2043	0.407	0.6884456920369819	0.634516432205964	0.8369246015192557
AT5G07680		14	0.5682	0.786	1.307	0.21376703525153454	1.3523	-1.325	0.1989802793130722	0.6406454102975417	0.39628845543863955
AT5G10280		14	-0.9754	0.5	-1.304	0.214900042694745	-1.9594	0.882	0.3882436468362328	0.6406454102975417	0.589831694231969
AT4G28500		14	0.6991	0.643	1.292	0.21872053829728144	3.5309	-3.471	0.0023977605975738425	0.6431185744466628	0.028012495880853375
AT1G31140		14	0.2483	0.571	1.292	0.21897775950273124	1.0075	-1.571	0.14123806552472956	0.6431185744466628	0.321859822397701
AT5G58900		14	1.006	0.571	1.281	0.22242305860766295	0.4263	0.503	0.6205300107075393	0.6431185744466628	0.7928065365913036
AT1G77640		14	0.4195	0.643	1.278	0.2235991775875167	-0.1655	1.194	0.24620125807690352	0.6431185744466628	0.45214746743067014
AT1G33240		14	0.3868	0.643	1.275	0.22471351417368432	-1.2025	3.516	0.0021298613008503514	0.6431185744466628	0.02588600657956581
AT2G46770	ANAC043	14	0.8385	0.714	1.272	0.22557635698835607	2.0632	-1.343	0.1931841322677309	0.6431185744466628	0.3880054181987476
AT1G75240		14	0.8591	0.714	1.27	0.22641890403234788	0.4032	0.375	0.7121650956875294	0.6431185744466628	0.8502928346495943
AT5G06950		14	0.9196	0.714	1.269	0.22658397032192548	-0.8892	2.025	0.05543953045313151	0.6431185744466628	0.18122991334334027
AT1G51220		14	-0.192	0.5	-1.25	0.2333304829079833	-0.4102	0.744	0.4678946193802441	0.65832529106181	0.6768540416718798
AT1G69010		14	0.7299	0.643	1.245	0.23498045502810802	-0.243	1.278	0.21456862198582038	0.6590576075936284	0.4217685067443091
AT2G02070		14	0.3496	0.571	1.241	0.2366226332543202	-0.2908	0.671	0.5164208381745874	0.6597595774267516	0.7172328879371783
AT3G23220		14	0.4791	0.786	1.223	0.24307657105005376	-0.1809	0.77	0.4542352477614372	0.6737911969457631	0.6665867103372174
AT1G69180		14	0.6584	0.643	1.204	0.2501505729935363	-1.7102	2.866	0.009540289103897816	0.6870044971277691	0.06340184914494174
AT4G25470		14	0.7499	0.571	1.202	0.25074214768587355	3.5549	-2.142	0.05001825369752576	0.6870044971277691	0.16951744312802178
AT2G18350		14	0.6341	0.643	1.196	0.2531567795650299	0.4078	0.236	0.816306201746838	0.6896339857116331	0.9022237221001296
AT3G60530		14	1.4024	0.5	1.184	0.25753153887001723	3.016	-0.95	0.35292365613734034	0.6974392624175494	0.5556389115918626
AT1G53230		14	0.3418	0.571	1.177	0.2601299126090019	0.2519	0.176	0.8620323740239815	0.6974392624175494	0.9265381979305379
AT4G14770		14	-0.4177	0.5	-1.177	0.2604361802698444	-1.8715	2.309	0.03395452370800556	0.6974392624175494	0.13639359523385283
AT1G20910		14	0.4362	0.643	1.167	0.2640978724008254	2.3401	-2.627	0.018795514931047228	0.7032718624606249	0.09598739090350002
AT5G44160		14	0.3703	0.714	1.152	0.2701718634086842	-0.5345	1.656	0.11530517548736686	0.7149214004114895	0.28318473150783363
AT5G14340		14	-0.6276	0.571	-1.148	0.27148913939676816	-0.3922	-0.279	0.783261836513895	0.7149214004114895	0.8867753235805242
AT4G24240		14	-0.6069	0.571	-1.13	0.27899680295548834	0.7661	-1.999	0.05815524139323312	0.7300181304595119	0.18752098245164966
AT1G69490		14	1.3309	0.714	1.126	0.2806037845887298	5.0261	-2.283	0.032627392769164945	0.7300181304595119	0.13332227734986365
AT1G79180		14	-0.9288	0.5	-1.119	0.28323941823022375	-2.2014	0.983	0.33789475879236797	0.7300181304595119	0.5447691009101443
AT5G25390		14	0.3532	0.643	1.115	0.2849345352517603	-0.2366	0.951	0.3566855363204049	0.7300181304595119	0.5561478428153681
AT5G51990		14	0.6748	0.5	1.114	0.28553596236591194	3.3268	-2.203	0.043682929494102844	0.7300181304595119	0.1557336977977937
AT5G17800		14	0.506	0.714	1.112	0.2864628106866439	-0.1826	1.011	0.3239974854541434	0.7300181304595119	0.5321051669863275
AT1G21910		14	0.4937	0.643	1.108	0.2881238025051415	0.6473	-0.289	0.7756432647591047	0.7303245047456528	0.8816664448340902
AT5G29000		14	0.5803	0.643	1.091	0.29512602346423983	1.6838	-1.215	0.24037020624582295	0.744085852999144	0.44506046000203153
AT5G25830		14	1.6078	0.5	1.085	0.2976073196834996	2.4358	-0.363	0.7204810082335851	0.744085852999144	0.855201505913107
AT2G23290		14	-0.3763	0.571	-1.084	0.29826226175071174	-0.6496	0.526	0.6048950634445964	0.744085852999144	0.7867067899220079
AT4G25490		14	0.6207	0.643	1.073	0.3027436949136732	3.4135	-2.571	0.020641150037273785	0.751311577953304	0.10099670720947386
AT2G15740		14	1.0867	0.786	1.068	0.30483382296208755	4.0438	-1.997	0.05912696099155986	0.7525585004376536	0.1880951644966401
AT5G47370		14	0.719	0.714	1.055	0.31047997996509535	0.4559	0.208	0.8380446407434592	0.760382222974457	0.9110852286981643
AT3G15270		14	0.609	0.714	1.054	0.3112112895718242	0.462	0.162	0.8731499702483388	0.760382222974457	0.9363644477323815
AT3G28920		14	0.7159	0.786	1.05	0.3129355582763053	0.325	0.379	0.7083137933229631	0.7606741262716344	0.8484780605855252
AT5G45300		14	0.7337	0.5	1.046	0.3147896484653105	0.3001	0.457	0.652152101557929	0.7612770070028427	0.8221279152618572
AT5G06960		14	0.7908	0.643	1.034	0.31980670429402885	2.2778	-1.398	0.17635052250967323	0.769484151448577	0.36662345469116275
AT4G10350		14	0.7245	0.714	1.016	0.32806197264887516	2.3079	-1.614	0.12103301948453025	0.7817931978486392	0.29399379578646345
AT4G24020		14	-0.3619	0.571	-1.016	0.3282211948773823	-1.7923	3.042	0.005987947100797269	0.7817931978486392	0.05099391787259506
AT1G78700		14	0.7098	0.571	1.008	0.3316648552270177	0.2709	0.419	0.6798389236410497	0.7852196857565196	0.8369246015192557
AT2G20110		14	-0.3296	0.643	-1.006	0.3329729047195368	-0.112	-0.334	0.7431110094226376	0.7852196857565196	0.8664595262266201
AT5G05790		14	0.8612	0.571	0.989	0.3406484601887192	0.5804	0.261	0.7968556092579089	0.7853996218323119	0.894988589285099
AT3G57230		14	0.2006	0.643	0.985	0.3423772353575444	-0.074	0.611	0.5509912839074824	0.7853996218323119	0.7356897706257652
