TF	name	mean_coefficient	sd_across_folds	sign_stability
AT5G41570		0.0148	0.0024	1.0
AT3G61250		-0.0148	0.0035	1.0
AT2G46680		-0.0147	0.0035	1.0
AT1G71450		-0.0146	0.0026	1.0
AT3G30530		-0.0145	0.0058	0.955
AT2G30340		-0.0144	0.0043	1.0
AT4G17460		0.0144	0.0071	0.909
AT4G01250		0.0143	0.0026	1.0
AT4G38910		-0.0143	0.0059	0.955
AT2G42430		-0.0142	0.0051	1.0
AT4G18890		-0.0141	0.0029	1.0
AT3G48160		0.0139	0.0083	0.955
AT3G52440		-0.0139	0.0042	1.0
AT3G61120		0.0138	0.0078	0.909
AT3G11280		-0.0137	0.0035	1.0
AT3G18990		-0.0136	0.0045	1.0
AT3G04070		0.0134	0.0032	1.0
AT2G38090		-0.0134	0.006	0.955
AT1G68550		-0.0134	0.0027	1.0
AT3G47620		-0.0132	0.0059	0.955
AT1G75240		-0.0132	0.002	1.0
AT3G12250		-0.013	0.0033	1.0
AT3G28920		-0.013	0.0017	1.0
AT1G20980		0.0129	0.0031	1.0
AT5G07680		0.0127	0.0031	1.0
AT3G11440		-0.0126	0.0062	1.0
AT2G26960		-0.0126	0.0047	1.0
AT3G50260		0.0125	0.0024	1.0
AT2G43000		0.0125	0.003	1.0
AT2G45420		-0.0124	0.0034	1.0
AT3G50410		-0.0124	0.0039	1.0
AT1G24250		0.0124	0.0039	1.0
AT5G14340		-0.0123	0.0034	1.0
AT4G28140		-0.0123	0.0048	1.0
AT3G04030		-0.0122	0.0031	1.0
AT3G45610		-0.0122	0.0033	1.0
AT3G12720		-0.0121	0.0027	1.0
AT3G02940		0.012	0.0022	1.0
AT4G16750		0.012	0.0025	1.0
AT3G45150		-0.0119	0.0044	1.0
AT1G19790		-0.0118	0.0043	1.0
AT1G65620		0.0118	0.0037	1.0
AT5G13790		0.0118	0.0043	0.955
AT3G01530		-0.0117	0.0026	1.0
AT2G18060		0.0117	0.003	1.0
AT3G60530		0.0117	0.0037	1.0
AT4G24240		-0.0117	0.0037	0.955
AT5G04410		0.0116	0.0023	1.0
AT3G17730		0.0116	0.002	1.0
AT1G29280		0.0116	0.0026	1.0
AT1G36060		-0.0115	0.0018	1.0
AT4G36780		-0.0115	0.0038	1.0
AT5G60850		-0.0113	0.0029	1.0
AT5G24110		0.0112	0.003	1.0
AT4G37260		-0.0111	0.006	0.955
AT5G50570		0.011	0.0042	0.955
AT5G29000		0.0107	0.003	1.0
AT5G25190		-0.0105	0.0024	1.0
AT1G13260		-0.0105	0.006	0.955
AT1G18570		-0.0105	0.0035	0.955
AT3G12730		-0.0103	0.0039	1.0
AT1G76420		0.0103	0.0018	1.0
