contrast	accession	factor	level	mission	space_program	platform	n_treated	n_control	n_genes	cross_factor_control	is_flight	is_radiation
OSD-346|altered gravity|0.25G by centrifugation	OSD-346	altered gravity	0.25G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	2	14	18910	False	True	False
OSD-346|altered gravity|0.38G by centrifugation	OSD-346	altered gravity	0.38G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	4	14	18910	False	True	False
OSD-346|altered gravity|0.65G by centrifugation	OSD-346	altered gravity	0.65G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	3	14	18910	False	True	False
OSD-346|altered gravity|0.64G by centrifugation	OSD-346	altered gravity	0.64G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	3	14	18910	False	True	False
OSD-346|altered gravity|0.3G by centrifugation	OSD-346	altered gravity	0.3G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	2	14	18910	False	True	False
OSD-346|altered gravity|0.5G by centrifugation	OSD-346	altered gravity	0.5G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	2	14	18910	False	True	False
OSD-406|altered gravity|Suborbital Flight	OSD-406	altered gravity	Suborbital Flight	VSS Unity		rna-seq	12	12	19795	False	True	False
OSD-406|genotype|sku5	OSD-406	genotype	sku5	VSS Unity		rna-seq	6	18	19795	False	False	False
OSD-411|genotype|pgm-1	OSD-411	genotype	pgm-1	(unknown)	NASA	rna-seq	32	32	23385	False	False	False
OSD-411|treatment|Reoriented	OSD-411	treatment	Reoriented	(unknown)	NASA	rna-seq	32	32	23385	False	False	False
OSD-427|genotype|elp2-5	OSD-427	genotype	elp2-5	SpaceX-10	NASA	rna-seq	16	16	20295	False	False	False
OSD-427|genotype|met1-7	OSD-427	genotype	met1-7	SpaceX-10	NASA	rna-seq	16	16	20295	False	False	False
OSD-427|spaceflight|Space Flight	OSD-427	spaceflight	Space Flight	SpaceX-10	NASA	rna-seq	24	24	20295	False	True	False
OSD-428|altered gravity|Gravity, Altered	OSD-428	altered gravity	Gravity, Altered	(unknown)		microarray	6	3	27500	False	True	False
OSD-428|time|actuated immediately after the microgravity exposure 	OSD-428	time	actuated immediately after the microgravity exposure 	(unknown)		microarray	3	3	27500	False	False	False
OSD-428|time|actuated after level flight had been maintained for about a minute and a half after the parabola	OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	(unknown)		microarray	3	3	27500	False	False	False
OSD-434|altered gravity|Gravity, Altered	OSD-434	altered gravity	Gravity, Altered	(unknown)		microarray	6	3	27500	False	True	False
OSD-434|time|first-actuated KFT	OSD-434	time	first-actuated KFT	(unknown)		microarray	3	3	27500	False	False	False
OSD-434|time|last-actuated KFT	OSD-434	time	last-actuated KFT	(unknown)		microarray	3	3	27500	False	False	False
OSD-437|altered gravity|uG	OSD-437	altered gravity	uG	SpaceX-9	NASA	rna-seq	8	11	18732	False	True	False
OSD-437|spaceflight|Space Flight	OSD-437	spaceflight	Space Flight	SpaceX-9	NASA	rna-seq	16	3	18732	False	True	False
OSD-498|ionizing radiation|Cobalt-60 gamma radiation	OSD-498	ionizing radiation	Cobalt-60 gamma radiation	(unknown)		rna-seq	8	8	19955	False	False	True
OSD-502|genotype|myb3r135	OSD-502	genotype	myb3r135	(unknown)		rna-seq	4	4	20452	False	False	False
OSD-502|ionizing radiation|Cobalt-60 gamma radiation	OSD-502	ionizing radiation	Cobalt-60 gamma radiation	(unknown)		rna-seq	4	4	20452	False	False	True
OSD-508|genotype|sog1-1	OSD-508	genotype	sog1-1	(unknown)		rna-seq	18	18	20387	False	False	False
OSD-508|ionizing radiation|Cobalt-60 gamma radiation	OSD-508	ionizing radiation	Cobalt-60 gamma radiation	(unknown)		rna-seq	32	4	20387	False	False	True
OSD-510|genotype|sog1-1	OSD-510	genotype	sog1-1	(unknown)		rna-seq	24	24	20044	False	False	False
OSD-510|ionizing radiation|Cobalt-60 gamma radiation	OSD-510	ionizing radiation	Cobalt-60 gamma radiation	(unknown)		rna-seq	24	24	20044	False	False	True
OSD-518|genotype|lazy1 mutant	OSD-518	genotype	lazy1 mutant	(unknown)		rna-seq	7	7	20031	False	False	False
OSD-518|genotype|tac1 mutant	OSD-518	genotype	tac1 mutant	(unknown)		rna-seq	7	7	20031	False	False	False
OSD-519|genotype|puchi-1 mutant	OSD-519	genotype	puchi-1 mutant	(unknown)		rna-seq	18	18	19181	False	False	False
OSD-522|spaceflight|Space Flight	OSD-522	spaceflight	Space Flight	SpaceX-13	NASA	rna-seq	6	6	16021	False	True	False
OSD-624|altered gravity|Suborbital Flight	OSD-624	altered gravity	Suborbital Flight	Unity 22	NASA	rna-seq	18	18	20029	False	True	False
OSD-658|absorbed radiation dose*|40 {centigray}	OSD-658	absorbed radiation dose*	40 {centigray}	(unknown)	NASA	rna-seq	4	6	18424	True	False	True
OSD-658|absorbed radiation dose*|80 {centigray}	OSD-658	absorbed radiation dose*	80 {centigray}	(unknown)	NASA	rna-seq	4	6	18424	True	False	True
OSD-658|ionizing radiation|mixed radiation	OSD-658	ionizing radiation	mixed radiation	(unknown)	NASA	rna-seq	8	6	18424	False	False	True
OSD-678|genotype|phyD mutant	OSD-678	genotype	phyD mutant	SpaceX-3	NASA	rna-seq	12	24	19356	False	False	False
OSD-678|spaceflight|Space Flight	OSD-678	spaceflight	Space Flight	SpaceX-3	NASA	rna-seq	18	18	19356	False	True	False
OSD-782|absorbed radiation dose|10 {centigray}	OSD-782	absorbed radiation dose	10 {centigray}	(unknown)		rna-seq	12	12	18313	False	False	True
OSD-782|absorbed radiation dose|100 {centigray}	OSD-782	absorbed radiation dose	100 {centigray}	(unknown)		rna-seq	12	12	18313	False	False	True
OSD-782|ionizing radiation|cesium-137 gamma radiation	OSD-782	ionizing radiation	cesium-137 gamma radiation	(unknown)		rna-seq	24	12	18313	False	False	True
