Gene	10|1	10|2	20|1	20|2	45|1	45|2	90|1	90|2	180|1	180|2	360|1	360|2	720|1	720|2	1440|1	1440|2	20|3	20|4	90|3	90|4	180|3	180|4	360|3	360|4	720|3	720|4	1440|3	1440|4
AT2G40765	0.0451	-0.2695	0.3011	-0.0908	-0.1763	-0.2486	-0.0144	-0.1756	0.6453	0.0611	0.3384	1.4427	0.6941	0.0982	0.8537	0.4625	0.1704	-0.0738	0.0706	0.4056	-0.1701	0.1626	-0.0709	0.1924	-0.035	0.3274	0.2498	0.3992
AT2G40770	-0.1614	0.0882	-0.0966	0.0177	0.0452	0.0198	0.017	-0.0853	0.0838	-0.1979	-0.8804	-1.8796	-0.9409	-0.862	-0.5137	-0.662	-0.0077	-0.201	0.1216	0.0178	-0.1386	0.0913	-0.0688	-0.1246	0.0468	-0.0651	0.0669	-0.1678
AT2G40780	0.1751	0.2905	0.0525	-0.0472	-0.1319	-0.0893	0.5885	0.2459	0.2889	0.3875	0.0218	0.1101	0.1128	-0.0258	0.6824	0.2978	-0.358	-0.4336	0.0126	0.2949	-0.1048	0.4447	-0.0059	0.2584	-0.1607	0.2142	0.1541	0.0468
AT2G40800	-0.0847	-0.0441	0.0701	0.0092	-0.4557	-0.2746	0.0256	-0.1288	0.0548	-0.159	-0.1768	-0.2535	-0.2905	0.029	-0.0455	0.2287	-0.0294	-0.1362	-0.0267	0.1191	-0.0744	0.0815	0.1745	0.1291	0.0838	-0.0058	-0.0045	0.3298
AT2G40810	0.1428	0.5075	0.1544	-0.1439	0.2185	0.2552	-0.1011	0.3785	-0.0696	0.3165	-0.0398	-0.5583	0.0769	0.1243	-0.0356	-0.0987	0.4352	0.6567	-0.0466	0.0673	0.2273	0.2487	0.193	-0.0792	0.0341	0.1096	0.1373	-0.0051
AT2G40815	0.0305	-0.0483	0.1776	-0.1111	0.0273	0.4804	-0.5309	-0.1099	-0.0647	0.299	0.1481	-0.2388	-0.3738	0.2739	-0.3741	-0.3204	0.3363	0.2499	-0.56	-0.3395	0.0497	0.1199	0.1551	-0.0788	0.0201	-0.0186	0.3175	0.2473
AT2G40820	-0.4714	0.1671	-0.2151	-0.1979	-0.2087	0.0985	0.0497	-0.0093	-0.0311	0.2655	0.4601	-0.014	0.1932	0.2672	-0.1863	0.0941	-0.4779	-0.7702	-0.088	-0.1345	-0.1102	-0.0203	0.0085	0.0528	-0.0718	-0.0219	-0.3809	-0.2207
AT2G40830	0.0168	0.0935	0.0222	0.2463	0.0394	0.1821	0.2812	0.4095	-0.1054	0.1425	-0.0992	-0.5108	-0.0506	-0.0253	0.303	0.061	-0.0266	-0.2169	0.0312	0.1938	0.1628	0.2033	-0.2203	-0.0041	0.1136	0.2799	0.4277	0.5343
AT2G40840	0.6237	0.5496	0.3987	0.3441	-0.6371	-0.3219	-0.1961	-0.4884	0.3157	0.2223	0.7536	-0.5957	0.8727	1.2829	1.1779	0.5891	-0.344	-0.4485	-0.0832	-0.448	-0.2575	0.1585	0.5177	0.8427	0.0284	0.3461	0.099	0.7962
AT2G40850	0.0145	0.3208	0.0564	0.0187	-0.4212	-0.1345	-0.0636	-0.0416	0.2708	-0.172	0.0186	-0.6511	-0.175	0.0246	-0.0003	-0.0656	0.0215	-0.254	-0.2943	-0.0078	-0.2017	-0.0295	-0.0996	-0.2397	-0.0742	0.329	-0.2908	0.2612
AT2G40860	-0.1238	-0.0338	0.1366	0.0009	0.151	0.2912	0.0405	-0.0016	0.1921	-0.1183	-0.4068	-1.6797	-0.6056	-0.7043	-0.4842	-0.2719	0.227	0.1207	-0.2103	-0.3684	-0.3981	-0.5565	-0.5386	-0.4022	0.0548	0.1246	-0.1338	-0.2574
AT2G40880	0.8541	0.5477	0.7448	0.3664	0.8438	0.3787	0.7452	0.7406	0.7301	0.1082	1.0118	1.7686	0.9082	0.6316	1.1113	0.8443	0.1044	0.3916	0.2533	0.4798	0.2409	0.0205	-0.0787	0.1861	0.4314	0.6248	0.6192	0.6263
AT2G40890	0.2176	0.5248	0.108	0.3572	-0.1062	-0.0669	0.0623	-0.0183	0.0619	0.6318	0.4208	0.1854	0.4468	0.31	0.1301	0.0824	-0.4107	-0.3642	0.0218	0.3808	0.259	0.2409	-0.0109	0.1961	0.3716	0.2352	0.0738	0.6962
AT2G40900	-1.0766	-0.5916	-1.1896	-1.4424	-1.4221	-0.9488	0.3445	-0.7408	-0.8438	-0.1314	-0.4884	-0.4565	-0.6839	-0.5788	-0.4259	-0.2116	-1.1336	-0.7508	0.6848	0.6948	0.4424	0.5654	0.1303	0.1724	0.0634	0.1816	0.2443	0.117
AT2G40920	0.0517	0.0235	-0.0937	0.0621	-0.024	0.0485	0.0327	-0.2487	0.3844	0.4703	-0.2228	0.1713	-0.0212	-0.0571	-0.0948	-0.1078	-0.2113	-0.3393	0.077	0.2737	0.0614	0.2483	0.0797	-0.1871	-0.2322	0.0107	0.1508	-0.416
