Gene	5760|1	5760|2	5760|3	5760|4	5760|5	5760|6	5760|7	5760|8	11520|1	11520|2	11520|3	11520|4	11520|5	11520|6	11520|7	11520|8	11520|9	11520|10	11520|11	11520|12	5760|9	5760|10	5760|11	5760|12	5760|13	5760|14	5760|15	5760|16	11520|13	11520|14	11520|15	11520|16	11520|17	11520|18	11520|19	11520|20	11520|21	11520|22	11520|23	11520|24	5760|17	5760|18	5760|19	5760|20	5760|21	5760|22	5760|23	5760|24	5760|25	5760|26	5760|27	5760|28	8640|1	8640|2	8640|3	8640|4	5760|29	5760|30	5760|31	5760|32	8640|5	8640|6	8640|7	8640|8
AT1G01120	-0.7659	-1.0183	-0.8153	-1.0884	-0.973	-0.6928	-0.8792	-1.1305	-0.4725	0.1665	-0.3514	-0.3437	-0.0059	-0.1928	0.2825	0.2806	-0.3977	-0.4054	0.1124	-0.5265	0.0741	-0.1085	-0.4825	-0.4041	-1.1425	-0.8693	-1.0723	-0.8199	-0.17	0.1118	-0.0442	-0.5345	-0.5586	-0.277	-0.9232	-0.4329	0.0263	0.136	-0.2123	-0.1939	-0.3146	-0.4971	-1.1435	-0.8712	-0.7928	-1.4376	-1.4125	-0.9488	0.8374	0.4175	0.941	0.4228	0.8325	0.3023	0.1161	0.99	0.9577	-0.4987	-1.2014	0.6531	0.6702	-0.0883	-0.0169	0.3896
AT1G01130	-0.5145	-0.071	0.22	-0.2222	-0.4363	-0.5471	-0.4212	0.0788	-0.2438	0.0515	0.1105	0.2337	0.0239	-0.0439	0.0258	-0.3198	0.5005	0.3773	0.3184	0.023	0.166	0.0407	-0.1367	0.0433	0.0447	0.4868	0.1959	-0.2477	-0.8719	-0.1512	-0.2241	-0.1229	-0.6789	0.0419	0.0701	-0.031	0.1919	0.0985	0.1601	-0.015	0.3591	0.2338	0.1219	0.0564	0.2364	-0.4282	-0.6611	-0.1096	2.0078	1.6325	2.1602	0.8888	0.4268	0.7564	0.2528	0.784	0.8419	0.4313	0.174	1.6688	0.4884	-0.1031	0.302	0.2021
AT1G01140	-0.1835	0.2915	0.5624	0.101	0.5544	0.7853	0.4853	-0.2219	-0.1986	-0.4965	-0.6175	-0.1841	0.5634	-0.2149	-0.1232	-0.1136	-0.7308	-1.1642	-1.0433	-0.7453	-0.6173	0.0289	-0.5882	-0.2255	-0.4457	0.0157	-0.2552	-0.7303	0.1801	0.3355	0.2984	0.5592	-0.179	-0.0237	0.2001	-0.0608	-0.1363	0.417	-0.0892	0.3986	-0.9765	-0.3303	0.3594	-0.9474	-0.5846	-0.1767	-0.2997	0.3692	0.9348	0.6647	0.7906	0.6679	0.8319	1.0101	0.6215	1.2471	0.6622	0.738	0.655	0.5763	1.1787	0.4387	0.3223	0.8634
AT1G01160	-0.0553	0.0118	0.0593	-0.1617	-0.1038	-0.0248	-0.022	0.0922	0.1915	0.0374	-0.0588	0.4592	0.3006	0.2952	0.2501	0.161	0.5646	0.0465	0.1428	0.2968	0.1789	-0.0667	-0.3736	0.38	-0.0564	0.1646	0.1172	0.05	0.3192	0.022	0.0665	0.637	0.4102	0.1129	0.728	0.1574	0.3233	0.4028	0.2715	0.5214	0.2698	0.0243	0.1713	-0.2827	0.4709	0.2324	0.4185	0.5412	-0.3751	-0.0718	-0.3567	-0.416	-0.1483	-0.4003	0.0714	-0.0942	-0.0785	-0.4835	-0.4992	-0.4701	-0.0228	0.1627	0.4894	0.1289
AT1G01170	-0.4683	0.3676	-0.5801	-0.7988	0.3529	0.6014	0.214	-0.5771	-0.2854	0.315	0.1463	-0.3465	0.059	0.174	0.2653	0.2485	-0.352	0.1407	0.3094	-0.2909	0.1263	-0.402	-0.7435	-0.3519	-0.8044	-0.5857	0.362	-0.4739	0.1809	-0.018	0.1566	-0.2062	0.2342	0.0352	-0.1529	0.2099	-0.1989	-0.5747	-0.2897	-0.2236	0.1795	-0.3488	0.6262	-0.6903	-0.2986	0.4245	0.5389	0.6183	-0.1555	-0.1591	-0.4898	0.0077	-0.1591	-0.5265	-0.2527	-0.0164	-0.6406	-0.956	-0.9296	-0.1853	-0.0952	-0.8374	-0.519	-0.6921
AT1G01180	0.026	-0.2233	0.1086	-0.1989	0.2031	0.7995	0.1405	0.0508	-0.3956	-0.2938	-0.7573	-0.874	-0.0441	-0.4278	0.0076	0.1844	-1.0047	-0.888	-0.4244	-0.5263	-0.622	-0.4721	-0.6092	-0.0146	-0.3296	-0.022	-0.3539	-0.1046	-0.364	0.2641	-0.2544	-0.0747	-0.5973	0.0308	-0.308	-0.4877	-0.7918	-0.498	-0.5364	-0.2728	-0.8553	-0.7054	-0.7324	-0.8425	-0.2479	0.1063	-0.235	-0.753	-1.3603	-1.813	-1.7741	-1.6435	-1.1025	-1.6045	-1.393	-0.6341	-0.9633	-1.1637	-0.9704	-1.4951	-0.9595	-1.0922	-0.9072	-1.3161
AT1G01200	-0.3548	-0.9651	-0.4604	-0.6351	-0.7341	-1.2395	-0.2249	-0.4559	-0.1069	-0.0353	-0.0469	-0.1854	-0.0839	-0.398	-0.2095	-0.1277	-0.1381	0.0004	0.0119	-0.0597	-1.0666	-0.2913	-1.1978	-1.3031	-0.5878	-0.4131	-0.9179	-0.3075	-0.4327	-0.685	-0.0742	-0.1648	-0.2563	-0.5086	0.0116	0.1023	-0.3376	-0.2091	-0.2208	-0.0483	-0.8901	-0.1148	-0.9771	-1.0214	-1.1266	-0.7634	-1.581	-1.4069	1.5296	1.2777	1.6372	1.6394	0.6445	1.2805	0.728	0.7079	1.5801	0.8242	0.6425	1.8991	0.3193	0.7479	1.3084	1.226
AT1G01210	0.2674	0.048	0.0711	0.1402	0.164	-0.2119	0.1156	0.1985	0.0273	-0.0368	0.0112	0.1892	-0.0199	0.2394	0.0841	0.099	0.0503	-0.1277	-0.1758	-0.1116	0.5176	0.168	-0.0402	0.1837	0.0012	-0.0678	-0.0909	0.1285	0.5461	0.2952	0.3676	0.2817	0.289	0.0381	0.0245	0.1105	-0.108	-0.4822	-0.5015	-0.384	0.2605	-0.0891	-0.0551	-0.2973	-0.0734	0.1061	-0.3874	-0.4471	-0.6655	-0.6783	-0.5949	-0.7844	0.0326	-0.4955	0.2423	0.4532	-0.5631	-0.9433	-1.0341	-0.503	0.0481	0.0062	0.2653	0.3373
AT1G01220	-0.3225	0.173	-0.0971	0.3477	-0.3697	-0.0398	0.1066	0.1086	-0.2083	-0.1391	0.3096	0.7927	0.0544	-0.0317	-0.1625	-0.3614	1.0686	0.5856	0.1368	0.0677	-0.1182	-0.2557	-0.0676	0.1449	0.6236	0.1788	0.449	-0.0465	0.2347	-0.0789	0.1432	-0.6213	0.2618	-0.0518	-0.5942	0.1703	0.5036	0.8514	0.8242	0.6613	-0.0911	-0.2286	0.4598	-0.0405	0.172	-0.3944	0.5638	0.3272	0.0258	-0.3567	-0.0379	-0.3486	-0.2517	-0.2758	0.2793	0.6122	0.1026	0.1462	0.2094	0.1142	0.6051	0.2506	0.6401	0.6338
AT1G01225	-0.1839	-0.4168	-0.4217	-0.7119	-0.3947	-0.3508	-0.5585	-0.3075	-0.0837	0.046	-0.2074	-0.031	-0.1841	0.0365	0.1135	0.0108	-0.1044	-0.2808	-0.0273	-0.1571	-0.7992	-0.7049	-0.5748	-0.9648	-0.7853	-0.495	-0.4901	-0.2572	0.195	-0.2904	0.0134	-0.038	0.0937	-0.3918	-0.1394	-0.088	0.2485	-0.1139	-0.2376	-0.1853	-0.9006	-0.8062	-0.5049	-0.6762	-1.0661	-0.2423	-0.6811	-0.8582	-0.0852	-0.6153	-0.346	0.0756	0.4303	-0.1476	-0.3605	-0.259	-0.4866	-0.0183	-0.0191	0.0491	-0.7092	0.1686	0.3746	-0.1231
AT1G01230	-0.0453	0.1225	-0.0922	-0.3248	-0.123	-0.0821	-0.015	-0.1715	-0.1434	0.1123	-0.029	-0.2544	0.1502	-0.0316	-0.2987	-0.148	-0.3466	-0.1212	0.0201	-0.2356	-0.3959	-0.272	-0.202	-0.244	-0.417	-0.1844	0.0303	-0.1375	-0.0919	-0.1408	-0.1277	-0.2954	-0.2375	-0.2865	-0.441	-0.2733	-0.2148	-0.0904	-0.1928	-0.1775	-0.5415	-0.4176	-0.2669	-0.3475	-0.3896	-0.0111	-0.2723	-0.0087	0.3574	-0.1655	0.1799	-0.395	0.0536	0.2363	-0.2145	0.0884	0.8628	0.4224	0.3694	0.3508	0.5979	0.5746	0.6306	0.6301
AT1G01240	0.6695	0.3788	-0.0004	-0.8268	0.6519	0.5932	0.4268	-0.1909	0.6391	0.3628	0.3387	0.1498	0.7993	0.1838	-0.1447	0.4148	0.0205	0.2094	0.2334	0.5097	0.433	-0.8254	-0.9135	0.4351	-0.9561	-0.1297	0.2495	0.5401	0.3269	0.4525	0.1188	-0.1047	0.1251	0.2506	-0.3065	-0.083	0.123	0.4884	0.3059	0.4612	0.2312	-1.0272	1.5848	-1.1153	0.2333	0.5917	1.3168	1.9966	0.1758	-0.5535	-0.5949	-0.0056	-0.9285	-0.4587	-0.4727	-0.4111	-0.4846	0.1909	0.1565	-0.2576	0.6497	-0.2338	0.2147	-0.0194
AT1G01260	-0.038	-0.2112	0.1592	-0.1723	-0.0124	-0.3799	0.461	0.1757	0.1594	-0.1922	0.3636	0.1427	0.1252	-0.303	-0.1873	-0.0339	0.1951	0.4161	-0.1398	0.2119	-0.4458	-0.1409	-0.9415	-0.0113	-0.1198	0.2116	-0.1587	0.0145	0.3333	-0.2407	-0.1603	-0.306	0.2468	-0.3274	-0.3925	-0.2468	0.4323	0.6151	0.0559	0.0214	-0.5324	-0.2275	0.2002	-1.028	-0.0979	-0.2603	0.4115	0.1511	-0.4744	-0.1557	-0.201	-0.8225	-0.9274	-0.3823	-0.3304	-0.3562	0.0861	-0.1976	-0.2102	0.0694	0.0872	0.2012	0.1038	0.3232
AT1G01290	0.1397	-0.3149	0.0096	-0.056	0.0513	-0.0924	-0.5919	0.0797	0.2135	0.0388	0.0818	0.1983	0.309	0.0355	0.1194	-0.2647	0.1386	0.0221	-0.0209	0.1538	-0.0481	0.0607	0.1355	0.008	-0.1157	-0.0501	-0.3746	0.0799	0.346	0.4566	0.1964	0.3234	0.3236	0.4342	0.301	0.1741	0.2801	0.4364	0.2223	0.2758	-0.0704	0.0383	-0.255	0.1131	-0.0144	0.0912	0.0982	-0.1985	0.2223	0.4052	0.3972	-0.0423	-0.1837	0.066	0.0735	0.0624	0.277	-0.1438	-0.2899	0.4158	0.4478	0.1407	0.4491	0.7092
AT1G01300	-0.4539	-0.398	0.0778	-0.234	-0.8372	-0.9389	-0.3176	-0.5452	0.0276	-0.123	-0.0871	-0.1042	-0.1992	-0.2462	-0.4569	-0.2263	-0.2032	-0.1862	-0.2221	-0.0715	-0.3758	-0.1573	-0.1257	-0.3218	-0.3331	-0.0213	-0.4971	-0.5529	-0.7645	-0.4615	-0.3665	-0.2204	-0.5366	-0.2337	0.0075	-0.1386	-0.0149	0.3931	0.2658	0.3717	-0.1479	0.0706	-0.721	0.1022	-0.0939	-0.2489	-0.0911	-0.2719	0.679	1.2884	1.1938	0.1511	0.3141	0.5394	0.5118	0.4003	1.5655	0.8463	0.1929	1.4838	1.6539	1.1446	1.1812	1.7624
AT1G01320	0.004	0.2949	0.1462	0.2538	0.4443	0.2063	0.2106	-0.5514	0.0804	-0.1167	-0.1251	-0.2003	0.0147	-0.4393	0.0342	0.1043	0.0069	0.0821	0.0905	0.2875	0.3734	-0.0386	-0.8714	0.8037	0.461	0.3534	0.502	0.2111	-0.2236	-0.1226	0.2033	0.1982	-0.1345	-0.0336	0.2872	0.2924	-0.1692	0.6066	0.3169	0.9808	0.4625	0.0504	1.3282	-0.7824	0.8928	-0.1528	1.0832	1.5256	0.4806	0.2555	0.2161	0.2352	0.3268	0.1599	0.3056	0.523	-0.4859	0.086	0.2334	0.1448	-0.1633	-0.1846	0.0461	-0.3038
AT1G01340	-0.4919	-0.7914	-1.0329	-0.6607	-0.2212	-0.4283	-0.2056	-0.9884	-0.6358	0.3044	0.3069	0.2608	-0.2342	-0.2501	-0.055	0.0416	0.7382	0.7844	0.7818	-0.1583	-1.5207	0.2053	-0.4276	-1.2164	-0.1832	-0.5555	-0.3139	-0.0145	0.014	-0.2428	-0.1407	-0.4274	0.2826	0.0258	-0.1588	0.1279	0.8989	0.7845	0.4871	1.1472	-1.2521	0.474	-0.9305	-0.1589	-0.9478	-0.0651	-0.108	-0.3779	0.5802	0.447	0.503	0.4585	0.5018	0.3423	0.3008	0.2681	0.0004	0.2808	0.2384	0.8545	0.0602	0.6854	0.4097	-0.0316
AT1G01350	0.1296	0.4059	0.0142	0.0879	0.3774	0.2089	0.4062	0.1733	0.2274	0.0793	0.1559	0.1487	0.3787	0.2981	0.0437	0.2185	0.328	0.3353	0.2586	0.4068	-0.2778	-0.301	-0.4133	-0.3224	0.2673	0.1936	0.5853	0.309	0.2291	0.2158	0.2463	0.2718	0.1889	0.1756	0.2317	0.2061	0.3918	0.4163	-0.1054	0.0828	-0.3179	-0.3411	0.4012	-0.4535	-0.3626	0.076	-0.136	0.1023	-0.3869	-0.1377	0.0192	-0.6083	-0.2056	-0.2251	-0.0485	-0.0814	0.3714	0.0627	-0.1	-0.0024	0.4738	0.2062	0.488	0.469
AT1G01360	-0.1914	-0.0593	-0.2727	-0.3473	0.3092	0.1945	0.0221	-0.315	0.0573	0.2732	-0.1046	0.0712	0.3137	0.0638	0.1982	0.4038	0.0408	-0.135	0.2427	0.0269	-0.1625	-0.1847	-0.2769	-0.3971	-0.3778	-0.3032	-0.0898	-0.2218	0.1496	0.0822	-0.1281	-0.0507	0.0795	0.0147	-0.1207	-0.1982	0.0375	0.0351	0.0301	0.1241	-0.2326	-0.2548	-0.1061	-0.347	-0.4672	0.0389	-0.1273	0.1006	-1.0207	-0.7486	-0.2454	-0.8249	-0.4788	-0.4648	-0.1731	-0.747	-0.0358	0.197	-0.0347	-0.0943	-0.2597	0.1293	-0.0581	0.1118
AT1G01370	-0.0645	-0.1958	-0.0701	0.2186	0.2246	-0.3225	0.125	0.2936	0.42	-0.07	0.2935	0.3869	-0.0524	-0.1674	0.3226	-0.0042	0.4204	0.3271	-0.0365	0.4535	-0.1145	0.0157	-0.2525	-0.1266	0.2521	-0.0366	-0.1623	-0.031	0.1787	0.2268	0.3493	0.0437	0.1857	0.2337	0.0507	0.3564	-0.017	-0.1765	-0.369	-0.1758	-0.1075	0.0228	-0.2898	-0.2454	-0.1196	0.1873	-0.2813	-0.1715	-0.8849	-1.2914	-1.2514	-0.721	-0.8421	-0.6445	0.4906	-0.3099	-0.4233	-0.1039	-0.7479	-0.7736	-0.8658	0.0226	1.1247	0.2845
AT1G01380	-0.2991	-0.0102	-0.0032	-0.3347	-0.6265	-0.3788	0.1598	0.175	-0.2536	0.2607	0.4137	0.2654	0.0805	0.0976	0.0054	-0.1557	0.1408	0.2892	0.1362	-0.3781	0.5421	0.4504	-0.5393	-0.0459	-0.4593	-0.1278	-0.1347	-0.4236	0.1012	-0.0566	0.3932	0.006	-0.1115	-0.2695	-0.2068	0.1804	-0.5156	-0.2957	-0.7827	-0.6447	0.3294	0.2377	-0.0494	-0.752	-0.2586	-0.6443	0.0922	-1.3266	0.3146	-0.1086	-0.122	-0.5685	-0.0844	-0.1416	-0.2005	0.1361	0.0249	-0.2914	0.3403	-0.3145	-0.3096	0.336	0.2532	0.0224
AT1G01420	-0.145	-0.4659	0.0579	-0.4533	0.3875	0.2387	-0.1965	-1.1395	-0.4365	-0.3614	-0.0236	0.2741	0.0567	-0.3266	-0.1475	0.0353	0.5722	0.2745	-0.0634	-0.1384	-0.8873	-1.012	-0.4803	-1.3104	-0.1553	0.3559	-0.1678	0.1531	-0.6583	-1.0429	-0.0872	-1.2366	-0.4015	-0.7862	-0.9798	0.1696	-0.7679	-0.4778	-0.8899	-0.5006	-0.6305	-0.7552	0.1421	-0.2235	-1.0536	0.2127	-1.0203	-0.424	0.0638	-0.7377	0.08	-0.0838	0.1892	0.0913	-0.7709	0.0488	0.2349	0.5429	0.1682	-0.9644	-0.1592	-0.0132	0.0378	0.3077
AT1G01430	-0.3566	0.0896	-0.2095	-0.0106	-0.0589	-0.4444	-0.5081	-0.6224	-0.0177	-0.0085	-0.1158	0.0361	-0.5609	-0.3558	-0.2721	-0.5849	0.0242	-0.1277	-0.0205	-0.0296	-0.5582	-0.3237	-0.5101	-0.435	-0.0226	-0.2214	0.0777	-0.3686	-0.1553	-0.3059	-0.1995	-0.2215	0.0637	-0.087	-0.0025	0.0195	0.2971	0.5687	0.4655	0.4256	-0.3392	-0.1047	-0.2556	-0.2911	-0.2161	-0.2822	-0.3674	-0.1157	-1.0923	-1.2099	-0.8325	-1.0522	-0.6986	-0.8586	-0.6437	-0.2487	0.2222	-0.0606	-0.2916	-0.9253	0.0046	0.0312	-0.1017	-0.0526
AT1G01440	0.2102	-0.1947	0.309	-0.4804	-0.0864	0.1959	-0.0527	-0.5446	-0.0689	-0.5913	-0.1504	0.2719	-0.3061	0.1049	-1.0589	-0.1251	0.2297	-0.1926	-0.6335	-0.1112	0.0382	-0.2361	-0.4526	-0.4211	-0.5226	0.2668	-0.2369	0.168	-0.6381	-0.6652	-0.546	-0.761	-0.5262	-0.5534	-0.6491	-0.4342	0.0228	0.3102	0.2548	0.1482	0.1501	-0.1242	1.2031	-0.3407	-0.3092	-0.1334	0.8926	0.8854	-0.0024	-0.1418	-0.0703	-0.2064	-0.2868	-0.1908	-0.2818	-0.4299	-0.289	-0.5467	-0.2747	0.1719	0.1039	0.0482	0.1424	0.1659
AT1G01448	-0.3294	0.1544	0.3559	-0.2642	0.1764	-0.1073	-0.0117	-0.3441	0.6423	0.5483	0.2514	0.8079	0.7047	0.8886	-0.2299	0.6075	1.0643	0.5078	0.8047	0.8987	1.2858	-0.1341	0.2611	1.0138	-0.0078	0.6123	0.4108	-0.073	0.38	0.1164	0.3773	0.4174	0.6097	0.346	0.6471	0.607	0.3872	0.7506	0.3805	0.6729	1.5155	0.0956	0.988	0.4908	1.2435	0.3768	1.5461	1.8321	0.4102	0.1805	-0.2281	-0.0165	-0.4729	-0.3358	-0.555	-0.1923	-0.2268	-0.3528	0.1152	0.4182	0.4528	-0.1342	-0.0337	-0.0321
AT1G01470	-0.2812	-0.1429	-0.1727	-0.9067	0.2875	0.4921	0.2051	-0.5342	-0.2774	-0.1608	-0.3343	-0.2156	-0.2362	-0.154	-0.3322	-0.038	-0.0341	-0.1528	0.0208	-0.0959	-0.4366	-0.1243	-0.3687	-0.372	-0.7252	0.0088	0.0386	-0.0997	-0.5141	-0.1883	-0.0966	-0.3123	-0.3285	-0.0039	-0.1268	0.0889	-0.1675	0.1196	-0.1934	-0.3551	-0.251	0.0613	0.1789	-0.1832	-0.1864	-0.0334	-0.2174	0.1337	1.6126	1.8785	1.2811	0.9318	0.5739	0.2981	0.2623	0.3186	2.2226	0.5642	-0.404	2.1942	2.1244	-0.0851	-0.2287	0.9201
