"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_wo_WT_GC_Rep1","Atha_Col-0_wo_WT_GC_Rep2","Atha_Col-0_wo_WT_GC_Rep3","Atha_Col-0_wo_WT_FLT_Rep1","Atha_Col-0_wo_WT_FLT_Rep2","Atha_Col-0_wo_WT_FLT_Rep3","Atha_Col-0_wo_act2-3_GC_Rep1","Atha_Col-0_wo_act2-3_GC_Rep2","Atha_Col-0_wo_act2-3_GC_Rep3","Atha_Col-0_wo_act2-3_FLT_Rep1","Atha_Col-0_wo_act2-3_FLT_Rep2","Atha_Col-0_wo_act2-3_FLT_Rep3"
"AT1G01260","bHLH013|bHLH13|JAM2",NA,"NM_001083971|NM_001197954|NM_100009|NP_001077440|NP_001184883|NP_171634",839545,"3702.AT1G01260.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0019222|GO:2000112|GO:0031323|GO:1990837|GO:0043565|GO:0003700|GO:0003676|GO:0140110|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0098772|GO:0003690|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261050_at",1,5.71898141401149,5.93249191046362,5.96381089531724,6.1577364039489,6.02244510806255,6.0201290582195,5.95439125808884,5.94595085078755,6.06627540903765,6.28444121809087,6.01520709775678,6.04203111768986
"AT1G01280","CYP703|CYP703A2","member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).","NM_100010|NP_171635",839470,"3702.AT1G01280.1",NA,"261051_at",1,2.25068807231813,2.16709252865663,2.34990849819053,2.3307544683299,2.49711530463917,2.51444912519641,2.4318135332016,2.30746378492487,2.36043692535517,2.31861684703423,2.33493125537257,2.54363527951328
"AT1G01290","CNX3","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria","NM_001160827|NM_100011|NP_001154299|NP_171636",839445,"3702.AT1G01290.1",NA,"261044_at",1,6.53331745024314,6.37548959293741,6.49981927473733,6.7186956009537,6.45976836596134,6.56542231269692,6.41983040155712,5.85903390254851,6.21545223296169,6.40487094290652,6.56688909052053,6.43614478324854
"AT1G01300",NA,NA,"NM_100012|NP_171637",839375,"3702.AT1G01300.1",NA,"261055_at",1,7.55492965466643,7.40335955384581,7.17036116688285,7.08558174846592,6.86089107502574,7.29293963678079,7.86733814633722,7.6797803016264,7.29681903236772,7.35010050414446,7.31460524236683,7.1482729341086
"AT1G01310",NA,NA,"NM_100013|NP_171638",839333,"3702.AT1G01310.1","GO:0005615|GO:0110165|GO:0005576","261045_at",1,2.70601170532852,2.50504217774741,2.62048141376896,2.61104006094109,2.56425702738283,2.52221481306285,2.64308560416624,2.37302648528607,2.60000128877497,2.54400319424746,2.66017151912022,2.45137908030002
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261053_at",1,5.12728168951628,4.80133021610293,5.03649729549629,5.42905679424433,5.43521762069807,5.41359653283807,5.30665575390166,5.41359653283807,5.08279938679303,5.27186210060215,5.57887750039805,5.45702965466336
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261054_at",1,2.50740645994,2.42689376005404,2.52186152148099,2.48464637948879,2.67561236363066,2.57104407902738,2.47641466890226,2.79749471599402,2.57446897324122,2.49798535534495,2.40840959346943,2.53963497051992
"AT1G01340","ACBK1|ATCNGC10|CNGC10","member of Cyclic nucleotide gated channel family","NM_001197956|NM_100016|NP_001184885|NP_563625",838832,"3702.AT1G01340.2",NA,"261027_at",1,5.39713114350692,5.31313162645595,5.43794517928834,4.61267486856436,4.58745302298432,4.84909227162963,5.20623216075692,5.17338105883821,5.28131844096195,4.38065653669577,4.59312497075168,4.57917087946937
"AT1G01350|AT5G06420",NA,NA,NA,NA,NA,NA,"250736_s_at",2,7.47845510048623,7.44343835913788,7.67048302539171,7.60732447037523,7.57483891992933,7.6026943993565,7.49167574143805,7.4405423028289,7.43358113954552,7.46879208189849,7.64823599560319,7.67018134355979
"AT1G01360","PYL9|RCAR1","Encodes RCAR1 (regulatory components of ABA receptor).  Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2.  Functions as abscisic acid sensor.","NM_100018|NP_563626",838452,"3702.AT1G01360.1","GO:0031399|GO:0007165|GO:0019220|GO:0051246|GO:0043412|GO:0051171|GO:0044260|GO:0033993|GO:0036211|GO:0035303|GO:0050790|GO:0006793|GO:0071396|GO:0009755|GO:0006796|GO:0050789|GO:0051174|GO:1901701|GO:0009719|GO:0032870|GO:0006807|GO:0065009|GO:0051336|GO:0044267|GO:0019538|GO:0023052|GO:0043666|GO:0071704|GO:0008152|GO:0010033|GO:0051716|GO:0071495|GO:1901700|GO:0070887|GO:0071310|GO:0043170|GO:0010921|GO:1901564|GO:0006470|GO:0044237|GO:0007154|GO:0009987|GO:0044238|GO:0006464|GO:0080090|GO:0009737|GO:0050896|GO:0032268|GO:0009725|GO:0035304|GO:0042221|GO:0060255|GO:0050794|GO:0016311|GO:0065007|GO:0019222|GO:0031323|GO:0016788|GO:0038023|GO:0019902|GO:0016791|GO:0036094|GO:0005488|GO:0003824|GO:0019888|GO:0019899|GO:0004857|GO:0019212|GO:0004721|GO:0030234|GO:0042578|GO:0019208|GO:0031406|GO:0016787|GO:0060089|GO:0005515|GO:0098772|GO:0008289|GO:0043177|GO:0043167|GO:0043168|GO:0019903|GO:0004864|GO:0140096|GO:0005737|GO:0005634|GO:0043231|GO:0005622|GO:0043227|GO:0110165|GO:0043226|GO:0043229","261056_at",1,8.6119484262685,8.85661482910015,8.82016375484146,8.63007023456772,8.63782436950198,8.84949380337255,8.68989309315005,8.93072519075206,8.70175525447192,8.38846521736441,8.59649186970669,8.58027949981103
