"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Ler-0_sShoots_FLT_Rep1","Atha_Ler-0_sShoots_FLT_Rep2","Atha_Ler-0_sShoots_FLT_Rep3","Atha_Ler-0_sShoots_GC_Rep1","Atha_Ler-0_sShoots_GC_Rep2","Atha_Ler-0_sShoots_GC_Rep3"
"AT5G48690",NA,NA,"NM_001125925|NM_001344799|NM_124246|NP_001119397|NP_001332692|NP_199680",834927,"3702.AT5G48690.1",NA,"248662_at",1,1.22615910379178,1.05669059476983,1.08951167415003,1.27008634588381,1.59290032049539,1.39976206268896
"AT5G48710","SUMO6",NA,"NM_001344800|NM_001344801|NM_001344802|NM_124248|NP_001318763|NP_001331737|NP_001331738|NP_199682",834929,"3702.AT5G48710.1","GO:0018205|GO:0070647|GO:0043412|GO:0043170|GO:0044260|GO:0016925|GO:1901564|GO:0036211|GO:0044237|GO:0018193|GO:0009987|GO:0006464|GO:0044238|GO:0006807|GO:0044267|GO:0019538|GO:0032446|GO:0071704|GO:0008152|GO:0019899|GO:0005515|GO:0005488|GO:0044389|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0005622|GO:0043229","248667_at",1,1.4406626438134,1.68797075133993,1.31543033050897,1.48221443732807,1.42454314868605,1.11720941938635
"AT5G48720","XRI|XRI1","Encodes XRI1 (X-ray induced 1). Required for post-meiotic stages of pollen development and male and female meiosis. Maybe required for meiotic DNA repair. Inducible by X-ray.  Homozygous xri1 mutants are sterile due to extensive chromosome fragmentation.","NM_001161298|NM_001344803|NM_001344804|NM_124249|NP_001154770|NP_001330159|NP_001330160|NP_199683",834930,"3702.AT5G48720.2",NA,"248668_at",1,4.28892235060012,3.85109764963416,4.18691392740261,4.27316234775969,4.32789076243592,4.2258823392384
"AT5G48730",NA,NA,"NM_124250|NP_199684",834931,"3702.AT5G48730.1",NA,"248669_at",1,1.57180909672235,1.55908368420082,1.65677532140177,1.5101628730251,1.56021878628505,1.48696742639332
"AT5G48740",NA,NA,"NM_124251|NP_199685",834932,"3702.AT5G48740.1",NA,"248670_at",1,1.40533013102479,1.58510577026994,1.53073958256245,1.39119326224504,1.48123349279926,1.52499843906565
"AT5G48750",NA,NA,"NM_124252|NP_199686",834933,"3702.AT5G48750.1",NA,"248671_at",1,1.09671321178582,1.7290555346391,1.07289916999177,1.51329183268818,1.18681053385006,0.927711155451055
"AT5G48760",NA,NA,"NM_001085268|NM_124253|NP_001078737|NP_199687",834934,"3702.AT5G48760.2","GO:0010629|GO:0010608|GO:0031324|GO:2000113|GO:0048519|GO:0051246|GO:0051171|GO:0006518|GO:0044260|GO:0010467|GO:0009058|GO:0006412|GO:0050789|GO:0006807|GO:0009889|GO:0044271|GO:0034248|GO:0010556|GO:0010468|GO:0044267|GO:0019538|GO:0048523|GO:0071704|GO:0008152|GO:0034645|GO:0009059|GO:0009890|GO:0043170|GO:1901566|GO:1901564|GO:0044237|GO:0044249|GO:0009892|GO:0051248|GO:1901576|GO:0034641|GO:0009987|GO:0051172|GO:0044238|GO:0043604|GO:0080090|GO:0010558|GO:0043043|GO:0032268|GO:0032269|GO:0017148|GO:0031326|GO:0060255|GO:0050794|GO:0010605|GO:0065007|GO:0006417|GO:0006414|GO:0019222|GO:2000112|GO:0031327|GO:0031323|GO:0043603|GO:0003735|GO:0003723|GO:0003676|GO:0005198|GO:0005488|GO:0097159|GO:0003729|GO:1901363|GO:0043232|GO:0005737|GO:1990904|GO:0043228|GO:0022626|GO:0032991|GO:0022625|GO:0005622|GO:0015934|GO:0005829|GO:0110165|GO:0043226|GO:0005840|GO:0043229|GO:0044391","248655_at",1,5.7578018851661,5.53506770772059,5.62211756609815,5.05886392840109,5.04811632961357,5.21473026079974
"AT5G48770",NA,NA,"NM_124254|NP_199688",834935,"3702.AT5G48770.1",NA,"248672_at",1,1.86039776786739,1.79931426906004,1.90538174491965,1.97447891688274,2.02546782731769,2.12354413635953
"AT5G48780",NA,NA,"NM_001203565|NM_001344805|NP_001190494|NP_001318764",834936,"3702.AT5G48780.1",NA,"248673_at",1,1.07522843459589,1.10780295261255,1.49134095905308,0.862132818114718,1.22056392348536,1.6027222555694
"AT5G48790",NA,NA,"NM_001344806|NM_001344807|NM_124256|NP_001332148|NP_001332149|NP_568702",834937,"3702.AT5G48790.1",NA,"248624_at",1,3.34898462234911,2.95247641577796,2.79845389956707,1.69616984379976,2.76591727908761,2.58585398710316
