"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_sl_FLT_BA1","Atha_Col-0_sl_FLT_BA2","Atha_Col-0_sl_FLT_BA3","Atha_Col-0_sl_FLT_BA4","Atha_Col-0_sl_FLT_BA5","Atha_Col-0_sl_FLT_BG1","Atha_Col-0_sl_GC_BA1","Atha_Col-0_sl_GC_BA2","Atha_Col-0_sl_GC_BA3","Atha_Col-0_sl_GC_BA4","Atha_Col-0_sl_GC_BA5","Atha_Col-0_sl_GC_BG1","Atha_Col-0_UdCC_FLT_BB2","Atha_Col-0_UdCC_FLT_BB3","Atha_Col-0_UdCC_FLT_BB4","Atha_Col-0_UdCC_FLT_BB5","Atha_Col-0_UdCC_FLT_BG2","Atha_Col-0_UdCC_FLT_BG3","Atha_Col-0_UdCC_GC_BB2","Atha_Col-0_UdCC_GC_BB3","Atha_Col-0_UdCC_GC_BB4","Atha_Col-0_UdCC_GC_BB5","Atha_Col-0_UdCC_GC_BG2","Atha_Col-0_UdCC_GC_BG3"
NA,NA,NA,NA,NA,NA,NA,"265532_at",0,1.06635566364301,1.09110840258209,0.808315697082898,2.59197688232596,3.61265079414866,1.44883524596123,0.979131854510072,0.924413922424516,1.18555830091574,1.53128591298481,2.21894280883189,1.02033354798453,0.818241378486754,0.669732520680722,0.708841467036441,0.676474170260182,0.479381891217824,0.545724089395958,0.780824170176955,0.698822333630922,0.868035080906121,0.776116505415671,0.498697319953122,0.71184649959516
NA,NA,NA,NA,NA,NA,NA,"265534_at",0,1.63451596336698,1.20959515656262,1.07603080822925,1.34027572159717,1.47308156626019,1.03281703298346,2.28778936763136,0.839258056401869,1.77303060503437,1.42389438805575,0.859591266018688,1.59180288744266,0.958674528696778,0.960090605876046,1.21072162184251,0.865652085567097,0.866314107352772,1.05175788308354,1.21352666521938,1.18202288589814,1.07497823408655,1.19468042451674,1.13908133220738,1.51371604877415
NA,NA,NA,NA,NA,NA,NA,"245856_at",0,1.24543977228605,1.39985360517245,1.31218363568913,0.988276224320345,0.905704287318628,1.87848519882952,1.60218683997917,1.24968937352958,1.4368174970179,2.11341544658041,0.931055485756812,2.08254066050721,0.810779556326646,0.83394736020456,1.03206940778642,0.689249110238909,0.911718519872237,0.775195742116209,1.10023991520895,0.977244971799942,0.941351651056006,0.851747480298848,1.12908881432155,0.876240441609894
NA,NA,NA,NA,NA,NA,NA,"245857_at",0,1.14164807494789,0.987390360827283,0.917584479579452,2.30579900692917,1.28363245071291,1.5021363013598,1.0551515962866,0.958760046989773,1.27283840298481,0.993348503275722,1.06352318320844,1.20605340533118,1.005702274489,0.818738762135384,0.948580766238553,0.8170823618001,0.786918438250739,0.849719694252922,1.14215999848427,0.910891758791599,0.942586420389001,0.932334290900741,0.895235754578455,0.977994533983004
NA,NA,NA,NA,NA,NA,NA,"245858_at",0,0.9332798288952,0.873157465196825,0.934072403794913,4.96142074224328,5.4157197203543,1.20042501584666,1.27524969181714,0.930435856168996,2.30569058047496,0.981013125857818,2.18591838816513,1.74309724353663,0.565520433167805,0.801848451825747,0.949478838614867,0.772747169918693,0.882268078107729,0.751115765687404,0.926703397843949,0.803762567742702,0.720622662166542,0.89724738033308,0.85923092905682,0.922532457499186
NA,NA,NA,NA,NA,NA,NA,"265540_at",0,1.72558246332636,2.06372987021765,1.98352532599348,1.72393667696062,1.26945446003037,2.37121287448977,2.59658896626225,1.2934880304861,1.98401364574768,1.97960331642555,3.24283825769319,1.52339229762307,1.17534607780562,0.974553035668551,1.42799164498141,1.0452651520959,0.82671619319846,0.998614122759779,1.36672306124677,1.03649592877054,1.17107364658935,1.22926710948424,1.14022559530376,0.805338937879933
NA,NA,NA,NA,NA,NA,NA,"249505_at",0,5.9815553006605,5.43861799775024,6.0004225105451,6.23808908413872,5.34388145529458,6.1222367093082,5.57039221198724,5.37163128174009,5.95204892138586,5.34440927183858,6.1608831343642,5.15368009549192,5.24122878376415,4.79696907332846,4.99540672220316,4.91768489222529,4.89746967964876,3.89267335983262,4.91493663710528,4.36262654204912,5.16531374256035,4.46225158432818,5.34959882378899,4.05488014742521
NA,NA,NA,NA,NA,NA,NA,"263357_s_at",0,0.692126542170973,1.40279507875046,1.35256332361372,5.17974074075223,6.47878526689536,0.765976215295853,1.03674967940854,1.10251406354066,1.30333306839846,1.26401805276045,1.17719384318416,0.977102558838717,0.778001634827016,0.734432524778206,0.759725828540422,0.707569807415592,0.604849668830708,0.706104327952377,0.79013124833018,0.735713724492193,0.858979247842986,0.926407652506742,0.728075092459816,1.03003045048204
NA,NA,NA,NA,NA,NA,NA,"245865_at",0,2.80995261424769,2.58854721222199,3.02400136980247,2.64383558380361,1.89128909063488,1.78811584755907,3.04488956262493,2.73986886679981,4.67188946346272,2.02422564017356,2.78550712210083,2.14212245020063,1.29129253334239,1.6604160934531,1.19362346332948,1.40497510512244,0.844244885489488,1.07487248385061,1.12737484023714,1.11907860619711,1.2953172179953,1.15216747376959,1.38278600498259,1.10888645858272
NA,NA,NA,NA,NA,NA,NA,"262267_at",0,0.913141047543654,0.779613300225981,1.32335842980967,1.32958589904235,0.802242934266893,1.00102819568219,1.04048183505005,0.818227980707796,1.33574908626844,2.40309887288115,0.982254250901384,1.42958582132316,0.692386646254968,0.701526822064612,0.907336712902159,0.635136759126405,0.635310279710246,0.54846328049996,0.873554754789066,0.669643538793166,0.687452695097908,0.713090933069879,0.450596490193318,0.564711283463347
