"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_HypocotylCC_WT_FLT_Rep1","Atha_Col-0_HypocotylCC_WT_FLT_Rep2","Atha_Col-0_HypocotylCC_WT_FLT_Rep3","Atha_Col-0_HypocotylCC_WT_FLT_Rep4","Atha_Col-0_HypocotylCC_WT_FLT_Rep5","Atha_Col-0_HypocotylCC_WT_GC_Rep1","Atha_Col-0_HypocotylCC_WT_GC_Rep2","Atha_Col-0_HypocotylCC_WT_GC_Rep3","Atha_Col-0_HypocotylCC_WT_GC_Rep4","Atha_Col-0_HypocotylCC_WT_GC_Rep5","Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep1","Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep2","Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep3","Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep1","Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep2","Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep3"
"AT1G01240",NA,NA,"NM_001331263|NM_001331264|NM_100007|NM_202006|NM_202007|NP_001320619|NP_001320620|NP_563623|NP_973735|NP_973736",839274,"3702.AT1G01240.3",NA,"261026_at",1,6.30783098613777,6.15557208754123,6.48547482361357,6.70863621156969,7.00607133218101,6.5235223462916,6.40371534623982,7.15522835193852,6.34968549019484,6.64235573795886,6.11524898398336,5.56138163128108,5.94756530257976,5.87537373945884,5.88812464917663,6.25140046972794
"AT1G01250",NA,"encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.","NM_100008|NP_563624",839322,"3702.AT1G01250.1",NA,"261059_at",1,1.82483910659744,2.18451007447572,1.87059179211468,1.94211440633981,1.62413626370011,1.96030394718093,1.96011446370286,1.98951004263732,1.62300752124366,1.74130913545379,2.0168439452304,1.91577766744772,1.97609392835916,1.82529437855374,2.05630819794068,1.85695931180393
"AT1G01260","bHLH013|bHLH13|JAM2",NA,"NM_001083971|NM_001197954|NM_100009|NP_001077440|NP_001184883|NP_171634",839545,"3702.AT1G01260.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0019222|GO:2000112|GO:0031323|GO:1990837|GO:0043565|GO:0003700|GO:0003676|GO:0140110|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0098772|GO:0003690|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261050_at",1,1.9553543325735,2.00878481802251,1.85982222866295,1.7068280842821,1.77937730348036,1.89438831953868,1.68012004498398,1.80930179970885,1.88041001892316,1.99802165026822,1.80723567084915,1.95339453131291,1.763785339119,1.83754767762521,1.86390902614191,1.93256510195161
"AT1G01280","CYP703|CYP703A2","member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).","NM_100010|NP_171635",839470,"3702.AT1G01280.1",NA,"261051_at",1,1.62852342912758,2.12623288634561,1.80859460370134,1.68931282754905,1.76924804500433,1.94393581882514,1.69031553830732,1.81290701984376,1.85675935241719,1.82440591991302,1.73305696991662,1.67175313931136,1.62163703460848,1.87976434046029,1.93566240303012,1.77672706591344
"AT1G01290","CNX3","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria","NM_001160827|NM_100011|NP_001154299|NP_171636",839445,"3702.AT1G01290.1",NA,"261044_at",1,2.75064632120608,2.65359269530927,2.77744286211048,2.90807942971694,2.89882753282755,3.0018578810867,2.57748784900719,3.02715645381518,2.77839738411345,2.90855369520114,2.39156571145601,2.19309711662109,2.45268713148575,2.59268318685768,2.54755894672567,2.76022021939355
"AT1G01300",NA,NA,"NM_100012|NP_171637",839375,"3702.AT1G01300.1",NA,"261055_at",1,2.23250497264862,2.24966075521501,2.319782498912,2.032956824534,2.16798222992719,2.33905984633175,1.93106433245688,1.97463445220753,2.48662991356204,2.22571502276091,2.08552071138806,2.06215469761994,2.28509612339504,2.33890264970516,2.09704741378761,2.08931745365942
"AT1G01310",NA,NA,"NM_100013|NP_171638",839333,"3702.AT1G01310.1","GO:0005615|GO:0110165|GO:0005576","261045_at",1,1.95769222416447,1.76182948061114,1.86803543928728,1.63747190545217,1.97305226282448,1.78454669068632,1.92440279066178,1.90400987851517,1.89551491405136,2.4077042948338,1.86208034282227,1.78246366632952,2.17020220031563,1.88787398793457,1.7038522210525,1.8751658624296
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261053_at",1,2.45266154372565,2.20597674300287,2.36784696434571,2.5087647602055,2.10908088201916,2.19974730922289,2.00112336176699,2.46440281943175,2.17641159887551,2.00385464776227,2.78451434123716,2.13244785133102,2.47656870737089,2.28258723554968,2.11275782732444,2.23551636239953
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261054_at",1,2.02129023416077,2.06262103978401,2.27309991374808,2.2990645010607,2.5193324161835,1.99775888241806,2.14610989616073,2.08650674690934,2.14968423575849,2.22291863688622,2.45569138868088,2.69583258443067,2.2825294362625,2.64286744142051,2.094634668664,2.43596611472722
"AT1G01340","ACBK1|ATCNGC10|CNGC10","member of Cyclic nucleotide gated channel family","NM_001197956|NM_100016|NP_001184885|NP_563625",838832,"3702.AT1G01340.2",NA,"261027_at",1,2.27367959036997,2.26776779182258,2.15455052781962,2.27908094221045,2.34090766043286,2.49172110924375,2.3232509124029,2.34083316299405,2.22312410595661,2.4704213885283,2.26286963132181,2.10293878387616,2.33655618308415,2.48662991356204,2.10771464102664,2.14493698363658
