"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep1","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep2","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep3","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep4","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep1","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep2","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep3","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep4","Atha_Col-0_HypocotylCC_WT_FLT_Rep1","Atha_Col-0_HypocotylCC_WT_FLT_Rep2","Atha_Col-0_HypocotylCC_WT_FLT_Rep3","Atha_Col-0_HypocotylCC_WT_FLT_Rep4","Atha_Col-0_HypocotylCC_WT_FLT_Rep5","Atha_Col-0_HypocotylCC_WT_GC_Rep1","Atha_Col-0_HypocotylCC_WT_GC_Rep2","Atha_Col-0_HypocotylCC_WT_GC_Rep3","Atha_Col-0_HypocotylCC_WT_GC_Rep4","Atha_Col-0_HypocotylCC_WT_GC_Rep5"
"AT1G01230","AtORM1|ORM1",NA,"NM_100006|NP_563622",839331,"3702.AT1G01230.1","GO:0031324|GO:0006629|GO:0044085|GO:0048519|GO:0051171|GO:0009058|GO:0019725|GO:0008610|GO:0006665|GO:0050789|GO:0065008|GO:0006807|GO:0009889|GO:0044087|GO:0044271|GO:0034248|GO:0010556|GO:0046890|GO:0048523|GO:0030148|GO:0071704|GO:0008152|GO:0009059|GO:0009890|GO:0043170|GO:1901566|GO:1901564|GO:0042592|GO:0044237|GO:0044249|GO:0009892|GO:1901576|GO:0034641|GO:0048878|GO:0009987|GO:0046467|GO:0051172|GO:0044238|GO:0006672|GO:0043604|GO:0080090|GO:0055082|GO:0071840|GO:0031326|GO:0006643|GO:0060255|GO:0050794|GO:0046513|GO:0065007|GO:0055088|GO:0019216|GO:0044255|GO:0019222|GO:0031327|GO:0043603|GO:0031323|GO:0098796|GO:0043231|GO:1902494|GO:1990234|GO:0042175|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005737|GO:0032991|GO:0012505|GO:0005622|GO:0043227|GO:0005789|GO:0005886","261057_at",1,7.19110500900053,7.28577810796848,8.28719153966182,7.84044209252362,7.61635884924367,7.59840846662139,7.66801922902959,7.30664340487698,7.74769176445945,8.0010856837465,7.45531384126046,7.89657997504907,8.04083905517436,7.6848289898794,7.8635748297881,7.83377226110618,7.67892216470262,7.77139656034288
"AT1G01240",NA,NA,"NM_001331263|NM_001331264|NM_100007|NM_202006|NM_202007|NP_001320619|NP_001320620|NP_563623|NP_973735|NP_973736",839274,"3702.AT1G01240.3",NA,"261026_at",1,7.29148915088396,7.05220079839561,6.57791059499303,6.79425841477604,6.51799492266597,6.40218808079027,6.69815974859151,6.72087198761044,6.51422954976195,6.45888543148104,6.77466684242996,7.05293268499529,7.30293564366965,6.92726229333074,6.62515421393408,7.33027820257968,6.64827609830986,6.87089565729703
"AT1G01250",NA,"encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.","NM_100008|NP_563624",839322,"3702.AT1G01250.1",NA,"261059_at",1,2.1440299540275,2.114121196938,2.35165152768215,1.85181206668748,2.28612009908803,2.42058134687373,2.06853459626701,2.20402198639589,2.07312301305242,2.44036633496749,2.0209050059768,2.15185293522527,1.8678863703488,2.16140784431321,2.4466375579275,2.19744695037469,1.86273703170739,1.99652554523565
"AT1G01260","bHLH013|bHLH13|JAM2",NA,"NM_001083971|NM_001197954|NM_100009|NP_001077440|NP_001184883|NP_171634",839545,"3702.AT1G01260.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0019222|GO:2000112|GO:0031323|GO:1990837|GO:0043565|GO:0003700|GO:0003676|GO:0140110|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0098772|GO:0003690|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261050_at",1,2.1818158737477,2.20605861375736,2.15211228638611,2.0369893730521,1.86335908786354,2.12544158414877,1.96743203164387,1.94249221748485,2.25335854083207,2.2193174143209,2.01875323511942,2.05413853096095,2.03609368497133,2.25539282241257,1.87174123689817,2.05565021110047,2.10605462501352,2.31617932584438
"AT1G01280","CYP703|CYP703A2","member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).","NM_100010|NP_171635",839470,"3702.AT1G01280.1",NA,"261051_at",1,1.84401216008729,1.83885316453097,1.96243783245478,2.07491448965275,1.81842886600631,2.090285055272,2.0210948816334,1.73969534551764,1.89994832279116,2.29328153077796,1.96126133613811,1.85106303382125,1.97480634075329,2.01839293032686,1.90613617236204,1.85639630892713,1.94623838551517,2.1422638943609
"AT1G01290","CNX3","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria","NM_001160827|NM_100011|NP_001154299|NP_171636",839445,"3702.AT1G01290.1",NA,"261044_at",1,2.94822360873986,3.23014948737101,3.28160016154272,3.61398617971789,2.96234988449909,2.95153881349715,3.40387726433986,3.31326977771641,3.06324158618828,3.00298741414636,3.03411221447801,3.29262993458909,3.23909573486757,3.50553645577552,2.84067933825362,3.36378141024163,3.13304770386611,3.22380164786452
"AT1G01300",NA,NA,"NM_100012|NP_171637",839375,"3702.AT1G01300.1",NA,"261055_at",1,2.63992631222408,2.46495122934578,2.47759414730542,2.15222408669278,2.12759013697737,2.11824418357315,2.20136732266941,2.35095043817062,2.46954645545531,2.38293690609018,2.57646022135998,2.196486174138,2.3493962375518,2.49059964523067,2.03565477153969,2.07476272718761,2.7173122359043,2.30640189673618
"AT1G01310",NA,NA,"NM_100013|NP_171638",839333,"3702.AT1G01310.1","GO:0005615|GO:0110165|GO:0005576","261045_at",1,1.91740382214944,2.10947735964074,1.98905547641767,2.12603544970983,2.00266086379535,2.04800476793056,2.01573126019017,1.85639630892713,2.1766028626797,1.99239739348057,2.0252226449585,1.79865328938225,2.09436132844036,1.90347092222421,2.06111308434868,2.02047548474557,2.0550690658381,2.4477337335848
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261053_at",1,3.50545824886546,3.2216218742921,2.21489532517849,3.10594889732861,2.57008537557712,2.25829525878204,2.74923490660858,3.17110218152882,2.65149578722772,2.55422816318723,2.69889047672486,2.7693634166493,2.4422366378732,2.4422366378732,2.19108768241311,2.63476692076658,2.37658490102047,2.23193975968984
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261054_at",1,2.2272299730742,2.3135304832948,2.29415994085476,2.36988526658913,2.30302806093203,2.52089760682339,2.32884807412254,2.21220622620249,2.13994657727658,2.17198256519191,2.40345216382975,2.38865844511332,2.64986699228205,2.12450935209121,2.2825396164831,2.23049922988099,2.30109804220836,2.36343476059127
