TF	Gene	Input
AT1G25580	AT1G35430	0.5951
AT1G25580	AT1G36005	0.381
AT1G25580	AT1G36078	0.8709
AT1G25580	AT1G36085	0.7621
AT1G25580	AT1G36580	0.8656
AT1G25580	AT1G36623	0.7016
AT1G25580	AT1G36745	0.6963
AT1G25580	AT1G36756	0.5009
AT1G25580	AT1G38131	0.164
AT1G25580	AT1G39060	0.587
AT1G25580	AT1G39070	0.925
AT1G25580	AT1G40087	0.3397
AT1G25580	AT1G42080	0.6771
AT1G25580	AT1G42615	0.3048
AT1G25580	AT1G42680	0.7033
AT1G25580	AT1G43080	0.5858
AT1G25580	AT1G43090	0.9884
AT1G25580	AT1G43100	0.8424
AT1G25580	AT1G43825	0.3112
AT1G25580	AT1G44080	0.0733
AT1G25580	AT1G44110	0.6824
AT1G25580	AT1G44160	0.5509
AT1G25580	AT1G44191	0.1757
AT1G25580	AT1G44414	0.3211
AT1G25580	AT1G44740	0.071
AT1G25580	AT1G45221	0.9058
AT1G25580	AT1G46408	0.1635
AT1G25580	AT1G47530	0.3839
AT1G25580	AT1G47657	0.2978
AT1G25580	AT1G47660	0.5678
AT1G25580	AT1G47690	0.9471
AT1G25580	AT1G47695	0.9744
AT1G25580	AT1G47700	0.975
AT1G25580	AT1G48200	0.1879
AT1G25580	AT1G48240	0.6533
AT1G25580	AT1G48650	0.4968
AT1G25580	AT1G48700	0.9203
AT1G25580	AT1G48720	0.836
AT1G25580	AT1G49050	0.4276
AT1G25580	AT1G49210	0.0622
AT1G25580	AT1G49650	0.5759
AT1G25580	AT1G49660	0.5753
AT1G25580	AT1G49670	0.7487
AT1G25580	AT1G49680	0.7481
AT1G25580	AT1G49730	0.018
AT1G25580	AT1G49980	0.8202
AT1G25580	AT1G50020	0.1355
AT1G25580	AT1G50530	0.6475
AT1G25580	AT1G50570	0.224
AT1G25580	AT1G50600	0.1152
AT1G25580	AT1G50980	0.2397
AT1G25580	AT1G51030	0.3328
AT1G25580	AT1G51130	0.7976
AT1G25580	AT1G51172	0.5992
AT1G25580	AT1G51470	0.3589
AT1G25580	AT1G52000	0.8557
AT1G25580	AT1G52320	0.025
AT1G25580	AT1G52347	0.4229
AT1G25580	AT1G52580	0.1094
AT1G25580	AT1G52905	0.6946
AT1G25580	AT1G52990	0.5561
AT1G25580	AT1G53090	0.2205
AT1G25580	AT1G53290	0.082
AT1G25580	AT1G53410	0.4567
AT1G25580	AT1G53860	0.8208
AT1G25580	AT1G53910	0.9785
AT1G25580	AT1G55475	0.2123
AT1G25580	AT1G55710	0.5515
AT1G25580	AT1G56000	0.1396
AT1G25580	AT1G56510	0.8534
AT1G25580	AT1G56520	0.3549
AT1G25580	AT1G56730	0.9238
AT1G25580	AT1G56960	0.9511
AT1G25580	AT1G56970	0.9517
AT1G25580	AT1G56990	0.8726
AT1G25580	AT1G57000	0.8732
AT1G25580	AT1G57010	0.9686
AT1G25580	AT1G57020	0.9692
AT1G25580	AT1G57030	0.9599
AT1G25580	AT1G57040	0.9593
AT1G25580	AT1G57050	0.8453
AT1G25580	AT1G57080	0.9052
AT1G25580	AT1G57090	0.9046
AT1G25580	AT1G57130	0.8831
AT1G25580	AT1G57140	0.8825
AT1G25580	AT1G57390	0.5439
AT1G25580	AT1G57400	0.744
AT1G25580	AT1G57410	0.7435
AT1G25580	AT1G57430	0.9098
AT1G25580	AT1G57440	0.9087
AT1G25580	AT1G57650	0.5416
AT1G25580	AT1G58037	0.3566
AT1G25580	AT1G58100	0.3927
AT1G25580	AT1G58160	0.7423
AT1G25580	AT1G58200	0.1146
AT1G25580	AT1G58248	0.0052
AT1G25580	AT1G58470	0.0401
AT1G25580	AT1G58590	0.078
AT1G25580	AT1G58643	0.993
AT1G25580	AT1G58848	0.804
AT1G25580	AT1G59453	0.9558
AT1G25580	AT1G59660	0.63
AT1G25580	AT1G59722	0.2746
AT1G25580	AT1G59850	0.5916
AT1G25580	AT1G59885	0.1332
AT1G25580	AT1G59890	0.1326
AT1G25580	AT1G59920	0.8621
AT1G25580	AT1G60550	0.2792
AT1G25580	AT1G60710	0.8959
AT1G25580	AT1G60910	0.833
AT1G25580	AT1G61095	0.7597
AT1G25580	AT1G61210	0.0652
AT1G25580	AT1G61260	0.7958
AT1G25580	AT1G61430	0.3293
AT1G25580	AT1G61640	0.2193
AT1G25580	AT1G62120	0.6358
AT1G25580	AT1G62422	0.5771
AT1G25580	AT1G62600	0.7382
AT1G25580	AT1G62630	0.6515
AT1G25580	AT1G62720	0.3717
AT1G25580	AT1G62730	0.1449
AT1G25580	AT1G62800	0.228
AT1G25580	AT1G63070	0.911
AT1G25580	AT1G63140	0.8429
AT1G25580	AT1G63150	0.8435
AT1G25580	AT1G63310	0.5672
AT1G25580	AT1G63360	0.5323
AT1G25580	AT1G63380	0.7452
AT1G25580	AT1G63615	0.5398
AT1G25580	AT1G63630	0.5393
AT1G25580	AT1G63940	0.1984
AT1G25580	AT1G64330	0.2211
AT1G25580	AT1G64440	0.3141
AT1G25580	AT1G64550	0.4747
AT1G25580	AT1G64618	0.4055
AT1G25580	AT1G64620	0.7144
AT1G25580	AT1G64720	0.1896
AT1G25580	AT1G64930	0.3124
AT1G25580	AT1G64940	0.5404
AT1G25580	AT1G64990	0.3421
AT1G25580	AT1G65240	0.0157
AT1G25580	AT1G65346	0.9634
AT1G25580	AT1G65420	0.8807
AT1G25580	AT1G65425	0.8802
AT1G25580	AT1G65484	0.3258
AT1G25580	AT1G65710	0.5096
AT1G25580	AT1G65880	0.2106
AT1G25580	AT1G65985	0.2054
AT1G25580	AT1G66040	0.0332
AT1G25580	AT1G66180	0.7533
AT1G25580	AT1G66280	0.6236
AT1G25580	AT1G66420	0.2216
AT1G25580	AT1G66430	0.6579
AT1G25580	AT1G66660	0.8156
AT1G25580	AT1G66750	0.441
AT1G25580	AT1G66780	0.1716
AT1G25580	AT1G66810	0.6725
AT1G25580	AT1G66890	0.0628
AT1G25580	AT1G67020	0.3042
AT1G25580	AT1G67100	0.1193
AT1G25580	AT1G67190	0.4014
AT1G25580	AT1G67400	0.1361
AT1G25580	AT1G67856	0.6067
AT1G25580	AT1G67900	0.1763
AT1G25580	AT1G68000	0.4351
AT1G25580	AT1G68200	0.7818
AT1G25580	AT1G68420	0.2775
AT1G25580	AT1G68690	0.4101
AT1G25580	AT1G68700	0.6835
AT1G25580	AT1G68790	0.3008
AT1G25580	AT1G69420	0.6009
AT1G25580	AT1G70090	0.4793
AT1G25580	AT1G70250	0.3479
AT1G25580	AT1G70440	0.3758
AT1G25580	AT1G70540	0.402
AT1G25580	AT1G71090	0.3735
AT1G25580	AT1G71280	0.7184
AT1G25580	AT1G71370	0.4078
AT1G25580	AT1G71470	0.4066
AT1G25580	AT1G71480	0.4072
AT1G25580	AT1G71900	0.6428
AT1G25580	AT1G72010	0.7074
AT1G25580	AT1G72350	0.32
AT1G25580	AT1G72460	0.178
AT1G25580	AT1G72780	0.7516
AT1G25580	AT1G72790	0.8057
AT1G25580	AT1G73240	0.1809
AT1G25580	AT1G74410	0.0291
AT1G25580	AT1G74940	0.2199
AT1G25580	AT1G75060	0.2094
AT1G25580	AT1G75100	0.1006
AT1G25580	AT1G75700	0.7126
AT1G25580	AT1G75850	0.1798
AT1G25580	AT1G76040	0.2461
AT1G25580	AT1G76110	0.2699
AT1G25580	AT1G76180	0.815
AT1G25580	AT1G76490	0.5079
AT1G25580	AT1G76780	0.4218
AT1G25580	AT1G76810	0.413
AT1G25580	AT1G76890	0.0605
AT1G25580	AT1G76892	0.0599
AT1G25580	AT1G77170	0.0529
AT1G25580	AT1G77370	0.1588
AT1G25580	AT1G77460	0.7097
AT1G25580	AT1G77490	0.3351
AT1G25580	AT1G78150	0.8138
AT1G25580	AT1G78590	0.2827
AT1G25580	AT1G78620	0.5497
AT1G25580	AT1G78690	0.4474
AT1G25580	AT1G78840	0.5724
AT1G25580	AT1G78880	0.0076
AT1G25580	AT1G79620	0.719
AT1G25580	AT1G79820	0.4683
AT1G25580	AT1G80770	0.2414
AT1G25580	AT1G80820	0.3997
AT1G25580	AT1G80850	0.7115
AT1G25580	AT1G80970	0.1204
AT1G25580	AT2G01010	0.918
AT1G25580	AT2G01020	0.9581
AT1G25580	AT2G01021	0.623
AT1G25580	AT2G01035	0.9284
AT1G25580	AT2G01045	0.9186
AT1G25580	AT2G01080	0.6131
AT1G25580	AT2G01650	0.185
AT1G25580	AT2G01930	0.3083
AT1G25580	AT2G02490	0.5846
AT1G25580	AT2G02493	0.5852
AT1G25580	AT2G02520	0.2897
AT1G25580	AT2G02525	0.2903
AT1G25580	AT2G02610	0.8197
AT1G25580	AT2G02640	0.7673
AT1G25580	AT2G03240	0.0198
AT1G25580	AT2G03260	0.2286
AT1G25580	AT2G03520	0.4695
AT1G25580	AT2G03870	0.8069
AT1G25580	AT2G03925	0.3118
AT1G25580	AT2G04041	0.7446
AT1G25580	AT2G04895	0.5119
AT1G25580	AT2G05045	0.8895
AT1G25580	AT2G05050	0.3624
AT1G25580	AT2G05060	0.3473
AT1G25580	AT2G05185	0.7946
AT1G25580	AT2G05245	0.8935
AT1G25580	AT2G05255	0.8912
AT1G25580	AT2G05315	0.986
AT1G25580	AT2G05355	0.9168
AT1G25580	AT2G05365	0.9162
AT1G25580	AT2G05380	0.5881
AT1G25580	AT2G05455	0.4334
AT1G25580	AT2G05465	0.6382
AT1G25580	AT2G05485	0.6376
AT1G25580	AT2G05540	0.6434
AT1G25580	AT2G05555	0.37
AT1G25580	AT2G05565	0.6539
AT1G25580	AT2G05605	0.274
AT1G25580	AT2G05840	0.4985
AT1G25580	AT2G05970	0.498
AT1G25580	AT2G06065	0.7813
AT1G25580	AT2G06355	0.5108
AT1G25580	AT2G06510	0.6277
AT1G25580	AT2G06906	0.5486
AT1G25580	AT2G07275	0.6044
AT1G25580	AT2G07599	0.9436
AT1G25580	AT2G07613	0.9535
AT1G25580	AT2G07623	0.8761
AT1G25580	AT2G07625	0.9523
AT1G25580	AT2G07626	0.8755
AT1G25580	AT2G07627	0.961
AT1G25580	AT2G07631	0.8941
AT1G25580	AT2G07633	0.783
AT1G25580	AT2G07634	0.8773
AT1G25580	AT2G07637	0.9628
AT1G25580	AT2G07640	0.4031
AT1G25580	AT2G07641	0.9919
AT1G25580	AT2G07642	0.8104
AT1G25580	AT2G07643	0.9506
AT1G25580	AT2G07644	0.4549
AT1G25580	AT2G07646	0.9139
AT1G25580	AT2G07648	0.7371
AT1G25580	AT2G07652	0.9337
AT1G25580	AT2G07655	0.9017
AT1G25580	AT2G07656	0.8505
AT1G25580	AT2G07661	0.9145
AT1G25580	AT2G07662	0.8615
AT1G25580	AT2G07665	0.4241
AT1G25580	AT2G07667	0.8045
AT1G25580	AT2G07671	0.8784
AT1G25580	AT2G07672	0.9622
AT1G25580	AT2G07673	0.9639
AT1G25580	AT2G07675	0.9587
AT1G25580	AT2G07676	0.9953
AT1G25580	AT2G07684	0.954
AT1G25580	AT2G07689	0.644
AT1G25580	AT2G07691	0.8767
AT1G25580	AT2G07692	0.9395
AT1G25580	AT2G07698	0.968
AT1G25580	AT2G07705	0.8738
AT1G25580	AT2G07706	0.9029
AT1G25580	AT2G07713	0.9773
AT1G25580	AT2G07714	0.9767
AT1G25580	AT2G07715	0.9668
AT1G25580	AT2G07718	0.5201
AT1G25580	AT2G07724	0.886
AT1G25580	AT2G07727	0.9453
AT1G25580	AT2G07728	0.9174
AT1G25580	AT2G07732	0.9802
AT1G25580	AT2G07739	0.9308
AT1G25580	AT2G07743	0.9023
AT1G25580	AT2G07751	0.9092
AT1G25580	AT2G07752	0.9663
AT1G25580	AT2G07755	0.7836
AT1G25580	AT2G07756	0.9069
AT1G25580	AT2G07757	0.8662
AT1G25580	AT2G07758	0.9296
AT1G25580	AT2G07759	0.9418
AT1G25580	AT2G07761	0.9424
AT1G25580	AT2G07763	0.9302
AT1G25580	AT2G07764	0.95
AT1G25580	AT2G07765	0.9494
AT1G25580	AT2G07768	0.9936
AT1G25580	AT2G07772	0.9657
AT1G25580	AT2G07773	0.9244
AT1G25580	AT2G07775	0.9122
AT1G25580	AT2G07776	0.9005
AT1G25580	AT2G07777	0.9959
AT1G25580	AT2G07779	0.9965
AT1G25580	AT2G07785	0.8871
AT1G25580	AT2G07787	0.9709
AT1G25580	AT2G07792	0.904
AT1G25580	AT2G07795	0.6195
AT1G25580	AT2G07798	0.9564
AT1G25580	AT2G07800	0.4433
AT1G25580	AT2G07815	0.8854
AT1G25580	AT2G07827	0.8906
AT1G25580	AT2G07830	0.8901
AT1G25580	AT2G07835	0.9872
AT1G25580	AT2G07975	0.0093
AT1G25580	AT2G08015	0.7068
AT1G25580	AT2G08070	0.1623
AT1G25580	AT2G08130	0.5247
AT1G25580	AT2G08490	0.4043
AT1G25580	AT2G08705	0.7912
AT1G25580	AT2G08860	0.0535
AT1G25580	AT2G08895	0.4049
AT1G25580	AT2G09285	0.7231
AT1G25580	AT2G09388	0.5666
AT1G25580	AT2G09610	0.8714
AT1G25580	AT2G09740	0.6405
AT1G25580	AT2G09745	0.9721
AT1G25580	AT2G09770	0.6934
AT1G25580	AT2G09840	0.9116
AT1G25580	AT2G09975	0.0314
AT1G25580	AT2G11890	0.2065
AT1G25580	AT2G12905	0.6812
AT1G25580	AT2G13105	0.3938
AT1G25580	AT2G13440	0.5573
AT1G25580	AT2G13450	0.5579
AT1G25580	AT2G13547	0.1198
AT1G25580	AT2G13610	0.3467
AT1G25580	AT2G13760	0.7807
AT1G25580	AT2G13810	0.1134
AT1G25580	AT2G13950	0.6155
AT1G25580	AT2G14120	0.3851
AT1G25580	AT2G14247	0.1472
AT1G25580	AT2G15050	0.6056
AT1G25580	AT2G15090	0.1978
AT1G25580	AT2G15460	0.3054
AT1G25580	AT2G17160	0.3944
AT1G25580	AT2G17430	0.1262
AT1G25580	AT2G17780	0.4869
AT1G25580	AT2G18000	0.772
AT1G25580	AT2G18193	0.8354
AT1G25580	AT2G18500	0.5375
AT1G25580	AT2G18600	0.6672
AT1G25580	AT2G18660	0.1943
AT1G25580	AT2G18790	0.7679
AT1G25580	AT2G19180	0.0663
AT1G25580	AT2G20000	0.5288
AT1G25580	AT2G20208	0.345
AT1G25580	AT2G20260	0.2437
AT1G25580	AT2G20320	0.6655
AT1G25580	AT2G20670	0.5346
AT1G25580	AT2G20860	0.4061
AT1G25580	AT2G21060	0.4258
AT1G25580	AT2G21160	0.5015
AT1G25580	AT2G21170	0.089
AT1G25580	AT2G21180	0.0896
AT1G25580	AT2G21740	0.8325
AT1G25580	AT2G21790	0.8255
AT1G25580	AT2G21910	0.7464
AT1G25580	AT2G22070	0.2984
AT1G25580	AT2G22360	0.153
AT1G25580	AT2G23240	0.4718
AT1G25580	AT2G24250	0.1885
AT1G25580	AT2G24550	0.5905
AT1G25580	AT2G25280	0.4526
AT1G25580	AT2G25730	0.0012
AT1G25580	AT2G26120	0.0244
AT1G25580	AT2G26380	0.3095
AT1G25580	AT2G26560	0.7528
AT1G25580	AT2G26750	0.3694
AT1G25580	AT2G27230	0.1129
AT1G25580	AT2G27350	0.7853
AT1G25580	AT2G27430	0.459
AT1G25580	AT2G27720	0.299
AT1G25580	AT2G27775	0.3077
AT1G25580	AT2G27900	0.4666
AT1G25580	AT2G28180	0.281
AT1G25580	AT2G28225	0.0471
AT1G25580	AT2G28720	0.2449
AT1G25580	AT2G29590	0.2222
AT1G25580	AT2G29820	0.8563
AT1G25580	AT2G30160	0.1239
AT1G25580	AT2G30250	0.7778
AT1G25580	AT2G30360	0.8063
AT1G25580	AT2G31320	0.8168
AT1G25580	AT2G31560	0.4974
AT1G25580	AT2G31870	0.8266
AT1G25580	AT2G31900	0.4037
AT1G25580	AT2G31920	0.0785
AT1G25580	AT2G32030	0.776
AT1G25580	AT2G32179	0.4811
AT1G25580	AT2G32180	0.4805
AT1G25580	AT2G32390	0.5026
AT1G25580	AT2G32645	0.0564
AT1G25580	AT2G33160	0.434
AT1G25580	AT2G33570	0.4154
AT1G25580	AT2G33840	0.2298
AT1G25580	AT2G33920	0.317
AT1G25580	AT2G33930	0.3176
AT1G25580	AT2G33960	0.1728
AT1G25580	AT2G33970	0.1734
AT1G25580	AT2G34238	0.4636
AT1G25580	AT2G34920	0.7917
AT1G25580	AT2G35000	0.0425
AT1G25580	AT2G35170	0.1594
AT1G25580	AT2G35945	0.6859
AT1G25580	AT2G36020	0.0727
AT1G25580	AT2G36307	0.2129
AT1G25580	AT2G36430	0.2013
AT1G25580	AT2G36510	0.1367
AT1G25580	AT2G36680	0.7196
AT1G25580	AT2G36780	0.0035
AT1G25580	AT2G36910	0.4613
AT1G25580	AT2G36930	0.1699
AT1G25580	AT2G37170	0.6574
AT1G25580	AT2G37240	0.84
AT1G25580	AT2G37250	0.0541
AT1G25580	AT2G37310	0.4607
AT1G25580	AT2G37570	0.6713
AT1G25580	AT2G37750	0.5829
AT1G25580	AT2G37760	0.5823
AT1G25580	AT2G37780	0.0285
AT1G25580	AT2G37980	0.0017
AT1G25580	AT2G38020	0.0279
AT1G25580	AT2G38210	0.655
AT1G25580	AT2G38220	0.6545
AT1G25580	AT2G38230	0.9081
AT1G25580	AT2G38250	0.7307
AT1G25580	AT2G38290	0.0681
AT1G25580	AT2G38340	0.7848
AT1G25580	AT2G38460	0.6178
AT1G25580	AT2G39340	0.1862
AT1G25580	AT2G39650	0.3956
AT1G25580	AT2G40316	0.3653
AT1G25580	AT2G40420	0.9604
AT1G25580	AT2G40690	0.5521
AT1G25580	AT2G40790	0.3834
AT1G25580	AT2G40840	0.3415
AT1G25580	AT2G40850	0.2624
AT1G25580	AT2G40960	0.9331
AT1G25580	AT2G41160	0.0826
AT1G25580	AT2G41260	0.7708
AT1G25580	AT2G41560	0.6422
AT1G25580	AT2G41620	0.5143
AT1G25580	AT2G41630	0.7237
AT1G25580	AT2G41800	0.1949
AT1G25580	AT2G42450	0.4165
AT1G25580	AT2G42725	0.2583
AT1G25580	AT2G42750	0.1495
AT1G25580	AT2G43130	0.032
AT1G25580	AT2G43290	0.3537
AT1G25580	AT2G43445	0.0111
AT1G25580	AT2G43930	0.8493
AT1G25580	AT2G44175	0.534
AT1G25580	AT2G44570	0.0396
AT1G25580	AT2G44710	0.4706
AT1G25580	AT2G44790	0.1955
AT1G25580	AT2G44995	0.5701
AT1G25580	AT2G45000	0.5707
AT1G25580	AT2G45030	0.1268
AT1G25580	AT2G45315	0.3426
AT1G25580	AT2G45380	0.872
AT1G25580	AT2G45403	0.1827
AT1G25580	AT2G45405	0.1821
AT1G25580	AT2G45460	0.8685
AT1G25580	AT2G45685	0.2368
AT1G25580	AT2G46180	0.7318
AT1G25580	AT2G46240	0.1553
AT1G25580	AT2G46440	0.943
AT1G25580	AT2G46450	0.9383
AT1G25580	AT2G46550	0.1704
AT1G25580	AT2G46610	0.6399
AT1G25580	AT2G46660	0.7039
AT1G25580	AT2G46670	0.9715
AT1G25580	AT2G47485	0.0413
AT1G25580	AT2G47490	0.0419
AT1G25580	AT2G47610	0.3496
AT1G25580	AT2G47680	0.5736
AT1G25580	AT2G47770	0.7027
AT1G25580	AT2G47990	0.0308
AT1G25580	AT2G48120	0.3455
AT1G25580	AT2G48121	0.7167
AT1G25580	AT3G01326	0.0116
AT1G25580	AT3G01510	0.3892
AT1G25580	AT3G01513	0.3898
AT1G25580	AT3G01515	0.5934
AT1G25580	AT3G01580	0.1926
AT1G25580	AT3G01590	0.1931
AT1G25580	AT3G01600	0.8819
AT1G25580	AT3G01625	0.7208
AT1G25580	AT3G01715	0.6917
AT1G25580	AT3G01835	0.5899
AT1G25580	AT3G01910	0.3287
AT1G25580	AT3G02095	0.5329
AT1G25580	AT3G02130	0.4671
AT1G25580	AT3G02260	0.0041
AT1G25580	AT3G02320	0.1675
AT1G25580	AT3G02400	0.8458
AT1G25580	AT3G02525	0.502
AT1G25580	AT3G02695	0.2641
AT1G25580	AT3G03000	0.2275
AT1G25580	AT3G03040	0
AT1G25580	AT3G03460	0.5422
AT1G25580	AT3G03620	0.3857
AT1G25580	AT3G03665	0.2513
